cond	medium	cov	log2ptr	passed	growth_rate	pred_log2ptr
complete	M22	0.5000	0.6065	False	0.4892	0.7233
complete	M22	10.0000	0.7213	True	0.4892	0.7233
complete	M22	1.0000	0.5709	False	0.4892	0.7233
complete	M22	2.0000	0.7014	True	0.4892	0.7233
complete	M22	5.0000	0.6825	False	0.4892	0.7233
complete	M23	0.5000	0.5438	False	0.4770	0.5420
complete	M23	10.0000	0.5504	False	0.4770	0.5420
complete	M23	1.0000	0.5063	False	0.4770	0.5420
complete	M23	2.0000	0.6409	True	0.4770	0.5420
complete	M23	5.0000	0.5985	False	0.4770	0.5420
complete	M24	0.5000	0.3119	False	0.4648	0.6861
complete	M24	10.0000	0.6712	True	0.4648	0.6861
complete	M24	1.0000	0.5780	False	0.4648	0.6861
complete	M24	2.0000	0.6240	True	0.4648	0.6861
complete	M24	5.0000	0.6862	True	0.4648	0.6861
complete	M25	0.5000	0.6578	False	0.4346	0.6425
complete	M25	10.0000	0.6465	False	0.4346	0.6425
complete	M25	1.0000	0.6970	False	0.4346	0.6425
complete	M25	2.0000	0.5793	True	0.4346	0.6425
complete	M25	5.0000	0.6159	True	0.4346	0.6425
complete	M27	0.5000	0.3572	False	0.3992	0.5526
complete	M27	10.0000	0.5488	True	0.3992	0.5526
complete	M27	1.0000	0.3934	False	0.3992	0.5526
complete	M27	2.0000	0.4415	False	0.3992	0.5526
complete	M27	5.0000	0.5011	True	0.3992	0.5526
complete	M2	0.5000	1.1100	False	1.5100	1.6844
complete	M2	10.0000	1.8715	True	1.5100	1.6844
complete	M2	1.0000	1.3692	False	1.5100	1.6844
complete	M2	2.0000	1.4370	False	1.5100	1.6844
complete	M2	5.0000	1.6988	True	1.5100	1.6844
complete	M3	0.5000	1.0276	False	1.4380	1.4630
complete	M3	10.0000	1.5094	False	1.4380	1.4630
complete	M3	1.0000	1.2400	False	1.4380	1.4630
complete	M3	2.0000	1.4333	True	1.4380	1.4630
complete	M3	5.0000	1.5297	False	1.4380	1.4630
complete	M4	0.5000	1.0803	False	1.3718	1.5315
complete	M4	10.0000	1.5478	True	1.3718	1.5315
complete	M4	1.0000	1.3565	False	1.3718	1.5315
complete	M4	2.0000	1.2839	False	1.3718	1.5315
complete	M4	5.0000	1.4710	True	1.3718	1.5315
complete	M6	0.5000	0.9986	False	1.3549	1.3298
complete	M6	10.0000	1.2931	True	1.3549	1.3298
complete	M6	1.0000	1.1941	False	1.3549	1.3298
complete	M6	2.0000	1.2915	True	1.3549	1.3298
complete	M6	5.0000	1.3363	True	1.3549	1.3298
complete	RUN_OUT	0.5000	0.2597	False		
complete	RUN_OUT	10.0000	0.0464	False		
complete	RUN_OUT	1.0000	0.0771	False		
complete	RUN_OUT	2.0000	0.0971	True		
complete	RUN_OUT	5.0000	0.0601	False		
frag	M10	0.5000	0.2616	False	1.1500	1.2108
frag	M10	10.0000	0.2125	True	1.1500	1.2108
frag	M10	1.0000	0.2035	False	1.1500	1.2108
frag	M10	2.0000	0.1592	True	1.1500	1.2108
frag	M10	5.0000	0.1772	True	1.1500	1.2108
frag	M12	0.5000	0.3580	False	1.0220	1.1568
frag	M12	10.0000	0.2602	True	1.0220	1.1568
frag	M12	1.0000	0.3010	False	1.0220	1.1568
frag	M12	2.0000	0.2084	True	1.0220	1.1568
frag	M12	5.0000	0.2544	True	1.0220	1.1568
frag	M13	0.5000	0.1637	False	0.8612	1.0326
frag	M13	10.0000	0.2301	True	0.8612	1.0326
frag	M13	1.0000	0.2729	False	0.8612	1.0326
frag	M13	2.0000	0.2225	True	0.8612	1.0326
frag	M13	5.0000	0.2798	True	0.8612	1.0326
frag	M17	0.5000	0.1500	False	0.7440	0.7020
frag	M17	10.0000	0.2132	True	0.7440	0.7020
frag	M17	1.0000	0.3270	False	0.7440	0.7020
frag	M17	2.0000	0.2686	True	0.7440	0.7020
frag	M17	5.0000	0.2158	True	0.7440	0.7020
frag	M18	0.5000	0.3579	False	0.7413	0.8578
frag	M18	10.0000	0.1749	True	0.7413	0.8578
frag	M18	1.0000	0.1170	False	0.7413	0.8578
frag	M18	2.0000	0.2018	True	0.7413	0.8578
frag	M18	5.0000	0.1832	True	0.7413	0.8578
frag	M19	0.5000	0.3167	False	0.5776	0.8862
frag	M19	10.0000	0.2089	True	0.5776	0.8862
frag	M19	1.0000	0.2644	False	0.5776	0.8862
frag	M19	2.0000	0.0100	False	0.5776	0.8862
frag	M19	5.0000	0.2391	True	0.5776	0.8862
frag	M1	0.5000	0.5007	False	1.7207	1.7250
frag	M1	10.0000	0.3463	True	1.7207	1.7250
frag	M1	1.0000	0.3735	False	1.7207	1.7250
frag	M1	2.0000	0.3602	True	1.7207	1.7250
frag	M1	5.0000	0.3712	True	1.7207	1.7250
frag	M22	0.5000	0.3583	False	0.4892	0.7233
frag	M22	10.0000	0.1598	True	0.4892	0.7233
frag	M22	1.0000	0.2035	False	0.4892	0.7233
frag	M22	2.0000	0.2234	True	0.4892	0.7233
frag	M22	5.0000	0.1515	True	0.4892	0.7233
frag	M23	0.5000	0.1890	False	0.4770	0.5420
frag	M23	10.0000	0.1140	True	0.4770	0.5420
frag	M23	1.0000	0.1507	False	0.4770	0.5420
frag	M23	2.0000	0.0385	False	0.4770	0.5420
frag	M23	5.0000	0.1420	True	0.4770	0.5420
frag	M24	0.5000	0.1582	False	0.4648	0.6861
frag	M24	10.0000	0.1325	True	0.4648	0.6861
frag	M24	1.0000	0.1332	False	0.4648	0.6861
frag	M24	2.0000	0.2380	False	0.4648	0.6861
frag	M24	5.0000	0.1093	True	0.4648	0.6861
frag	M25	0.5000	0.3426	False	0.4346	0.6425
frag	M25	10.0000	0.1728	True	0.4346	0.6425
frag	M25	1.0000	0.2239	False	0.4346	0.6425
frag	M25	2.0000	0.1404	True	0.4346	0.6425
frag	M25	5.0000	0.1637	True	0.4346	0.6425
frag	M27	0.5000	0.3325	False	0.3992	0.5526
frag	M27	10.0000	0.1006	True	0.3992	0.5526
frag	M27	1.0000	0.0980	False	0.3992	0.5526
frag	M27	2.0000	0.0330	False	0.3992	0.5526
frag	M27	5.0000	0.0894	True	0.3992	0.5526
frag	M2	0.5000	0.2610	False	1.5100	1.6844
frag	M2	10.0000	0.5120	True	1.5100	1.6844
frag	M2	1.0000	0.3581	False	1.5100	1.6844
frag	M2	2.0000	0.4391	True	1.5100	1.6844
frag	M2	5.0000	0.4214	True	1.5100	1.6844
frag	M3	0.5000	0.3611	False	1.4380	1.4630
frag	M3	10.0000	0.2950	True	1.4380	1.4630
frag	M3	1.0000	0.1717	False	1.4380	1.4630
frag	M3	2.0000	0.3182	True	1.4380	1.4630
frag	M3	5.0000	0.2835	True	1.4380	1.4630
frag	M4	0.5000	0.3538	False	1.3718	1.5315
