dataset	sample	genome	depth	coverage	dispersion	fraction	containment	log2(PTR)
ecoli	M23_5x	ecoli	5.0000	4.2796	0.6806	1.0000	0.9653	0.4645
ecoli	M24_0.5x	ecoli	0.5000	1.0000	0.0000	1.0000	0.3187	0.0000
ecoli	M24_10x	ecoli	10.0000	7.7856	0.8491	1.0000	0.9888	0.6457
ecoli	M24_1x	ecoli	1.0000	1.4286	0.3014	1.0000	0.5353	1.1708
ecoli	M24_2x	ecoli	2.0000	1.9264	0.5231	1.0000	0.7794	0.8740
ecoli	M24_5x	ecoli	5.0000	4.2280	0.6621	1.0000	0.9651	0.5502
ecoli	M25_0.5x	ecoli	0.5000	1.0000	0.0000	1.0000	0.3115	0.0000
ecoli	M25_10x	ecoli	10.0000	7.7024	0.9191	1.0000	0.9838	0.6281
ecoli	M25_1x	ecoli	1.0000	1.4298	0.3102	1.0000	0.5271	1.1794
ecoli	M25_2x	ecoli	2.0000	2.0145	0.5690	1.0000	0.7569	0.9485
ecoli	M25_5x	ecoli	5.0000	3.9255	0.8603	1.0000	0.9458	0.7915
ecoli	M27_0.5x	ecoli	0.5000	1.0000	0.0000	1.0000	0.3124	0.0000
ecoli	M27_10x	ecoli	10.0000	7.7282	0.9345	1.0000	0.9834	0.5221
ecoli	M27_1x	ecoli	1.0000	1.4453	0.3307	1.0000	0.5230	1.0318
ecoli	M27_2x	ecoli	2.0000	2.0137	0.5869	1.0000	0.7605	0.8957
ecoli	M27_5x	ecoli	5.0000	4.1290	0.6989	1.0000	0.9502	0.4504
ecoli	M2_0.5x	ecoli	0.5000	1.0000	0.0000	1.0000	0.2914	0.0000
ecoli	M2_10x	ecoli	10.0000	6.5727	1.4542	1.0000	0.9446	1.5489
ecoli	M2_1x	ecoli	1.0000	1.4615	0.3556	1.0000	0.4684	1.8292
ecoli	M2_2x	ecoli	2.0000	2.0076	0.6016	1.0000	0.6652	1.8510
ecoli	M2_5x	ecoli	5.0000	3.8060	1.0308	1.0000	0.8622	1.6332
ecoli	M3_0.5x	ecoli	0.5000	1.0000	0.0000	1.0000	0.3142	0.0000
ecoli	M3_10x	ecoli	10.0000	7.6613	0.8857	1.0000	0.9871	1.4821
ecoli	M3_1x	ecoli	1.0000	1.4082	0.2885	1.0000	0.5212	1.7190
ecoli	M3_2x	ecoli	2.0000	1.9580	0.5168	1.0000	0.7503	1.6737
ecoli	M3_5x	ecoli	5.0000	4.0105	0.8072	1.0000	0.9503	1.5387
ecoli	M4_0.5x	ecoli	0.5000	1.0000	0.0000	1.0000	0.3025	0.0000
ecoli	M4_10x	ecoli	10.0000	7.1599	1.2799	1.0000	0.9527	1.3795
ecoli	M4_1x	ecoli	1.0000	1.4904	0.3516	1.0000	0.4884	1.6718
ecoli	M4_2x	ecoli	2.0000	2.0000	0.5609	1.0000	0.6900	1.6417
ecoli	M4_5x	ecoli	5.0000	3.8139	0.9912	1.0000	0.8837	1.4952
ecoli	M6_0.5x	ecoli	0.5000	1.0000	0.0000	1.0000	0.3175	0.0000
ecoli	M6_10x	ecoli	10.0000	7.8774	0.8965	1.0000	0.9876	1.2709
ecoli	M6_1x	ecoli	1.0000	1.4266	0.2838	1.0000	0.5287	1.5069
ecoli	M6_2x	ecoli	2.0000	1.9521	0.5415	1.0000	0.7593	1.4513
ecoli	M6_5x	ecoli	5.0000	4.0222	0.7936	1.0000	0.9526	1.3799
ecoli	RUN_OUT_0.5x	ecoli	0.5000	1.0000	0.0000	1.0000	0.3103	0.0000
ecoli	RUN_OUT_10x	ecoli	10.0000	7.8788	0.8240	1.0000	0.9622	0.1675
ecoli	RUN_OUT_1x	ecoli	1.0000	1.4903	0.3534	1.0000	0.5140	0.9634
ecoli	RUN_OUT_2x	ecoli	2.0000	2.0938	0.6297	1.0000	0.7431	0.5858
ecoli	RUN_OUT_5x	ecoli	5.0000	4.2021	0.7507	1.0000	0.9254	0.2442
simulation	sim_s16_c1_r1	Bacillus_subtilis_168	1.0000	1.4333	0.3124	1.0000	0.5416	0.9707
simulation	sim_s16_c1_r1	Campylobacter_jejuni	1.0000	1.4132	0.2967	1.0000	0.5224	1.9930
simulation	sim_s16_c1_r1	Enterococcus_faecalis	1.0000	1.4464	0.3206	0.9485	0.5245	0.9797
simulation	sim_s16_c1_r1	Escherichia_coli_K12	1.0000	1.4091	0.2449	1.0000	0.1791	2.1357
simulation	sim_s16_c1_r1	Escherichia_coli_O157H7	1.0000	1.4444	0.2540	0.9733	0.1785	1.8560
simulation	sim_s16_c1_r1	Haemophilus_influenzae	1.0000	1.4421	0.3067	1.0000	0.5368	0.9423
simulation	sim_s16_c1_r1	Helicobacter_pylori	1.0000	1.4318	0.2946	1.0000	0.5420	1.3816
simulation	sim_s16_c1_r1	Klebsiella_pneumoniae	1.0000	1.4271	0.3055	0.9224	0.4986	1.8486
simulation	sim_s16_c1_r1	Listeria_monocytogenes	1.0000	1.4444	0.3109	1.0000	0.5422	1.6058
simulation	sim_s16_c1_r1	Neisseria_meningitidis	1.0000	1.3905	0.2653	1.0000	0.5072	2.3182
simulation	sim_s16_c1_r1	Pseudomonas_aeruginosa	1.0000	1.4600	0.3360	1.0000	0.5387	1.1914
simulation	sim_s16_c1_r1	Salmonella_enterica_LT2	1.0000	1.4528	0.3275	0.9799	0.5226	0.9935
simulation	sim_s16_c1_r1	Shigella_dysenteriae	1.0000	1.4167	0.2000	0.9457	0.1357	2.1616
simulation	sim_s16_c1_r1	Staphylococcus_aureus	1.0000	1.4531	0.3243	1.0000	0.5446	1.2648
simulation	sim_s16_c1_r1	Vibrio_cholerae	1.0000	1.3953	0.2794	0.7346	0.3860	2.1447
simulation	sim_s16_c1_r2	Bacillus_subtilis_168	1.0000	1.4231	0.3099	1.0000	0.5516	1.1030
simulation	sim_s16_c1_r2	Campylobacter_jejuni	1.0000	1.4561	0.3375	1.0000	0.5416	1.1917
simulation	sim_s16_c1_r2	Enterococcus_faecalis	1.0000	1.4308	0.3127	0.9485	0.5133	1.7907
simulation	sim_s16_c1_r2	Escherichia_coli_K12	1.0000	1.4000	0.1974	1.0000	0.1764	2.4356
simulation	sim_s16_c1_r2	Escherichia_coli_O157H7	1.0000	1.3828	0.2145	0.9689	0.1844	2.0216
simulation	sim_s16_c1_r2	Haemophilus_influenzae	1.0000	1.4477	0.3177	1.0000	0.5220	1.5034
simulation	sim_s16_c1_r2	Helicobacter_pylori	1.0000	1.4545	0.3309	1.0000	0.5403	1.1182
simulation	sim_s16_c1_r2	Klebsiella_pneumoniae	1.0000	1.4434	0.2982	0.9224	0.5113	0.8252
simulation	sim_s16_c1_r2	Listeria_monocytogenes	1.0000	1.4135	0.2970	1.0000	0.5227	1.8924
simulation	sim_s16_c1_r2	Neisseria_meningitidis	1.0000	1.4312	0.2892	1.0000	0.5062	1.9340
simulation	sim_s16_c1_r2	Pseudomonas_aeruginosa	1.0000	1.4468	0.3055	1.0000	0.5326	1.5438
simulation	sim_s16_c1_r2	Salmonella_enterica_LT2	1.0000	1.4225	0.2926	0.9799	0.5130	1.9671
simulation	sim_s16_c1_r2	Shigella_dysenteriae	1.0000	1.4167	0.2000	0.9511	0.1339	2.1874
simulation	sim_s16_c1_r2	Staphylococcus_aureus	1.0000	1.4493	0.3221	1.0000	0.5544	0.8634
simulation	sim_s16_c1_r2	Streptococcus_pneumoniae	1.0000	1.4355	0.3048	1.0000	0.5225	1.5646
simulation	sim_s16_c1_r2	Vibrio_cholerae	1.0000	1.4107	0.2972	0.7346	0.3972	1.2137
simulation	sim_s16_c2_r1	Bacillus_subtilis_168	2.0000	1.9114	0.5350	1.0000	0.7597	1.9892
simulation	sim_s16_c2_r1	Campylobacter_jejuni	2.0000	1.9279	0.4937	1.0000	0.7505	2.0070
simulation	sim_s16_c2_r1	Enterococcus_faecalis	2.0000	2.0000	0.5543	0.9485	0.7573	0.8420
simulation	sim_s16_c2_r1	Escherichia_coli_K12	2.0000	1.9226	0.4831	1.0000	0.2604	1.7838
simulation	sim_s16_c2_r1	Escherichia_coli_O157H7	2.0000	1.9298	0.4243	0.9778	0.2572	2.1787
simulation	sim_s16_c2_r1	Haemophilus_influenzae	2.0000	1.9802	0.5166	1.0000	0.7693	1.7365
simulation	sim_s16_c2_r1	Helicobacter_pylori	2.0000	1.9067	0.5174	1.0000	0.7525	1.8531
simulation	sim_s16_c2_r1	Klebsiella_pneumoniae	2.0000	1.9379	0.5179	0.9224	0.7092	1.9206
simulation	sim_s16_c2_r1	Listeria_monocytogenes	2.0000	2.0101	0.5575	1.0000	0.7939	0.7238
simulation	sim_s16_c2_r1	Neisseria_meningitidis	2.0000	1.8987	0.5254	0.9889	0.7254	1.7340
simulation	sim_s16_c2_r1	Pseudomonas_aeruginosa	2.0000	1.9770	0.5497	1.0000	0.7944	0.6035
simulation	sim_s16_c2_r1	Salmonella_enterica_LT2	2.0000	1.8953	0.5053	0.9799	0.7209	2.0512
simulation	sim_s16_c2_r1	Shigella_dysenteriae	2.0000	2.0000	0.4444	0.9511	0.1928	1.8813
simulation	sim_s16_c2_r1	Staphylococcus_aureus	2.0000	1.9697	0.5495	1.0000	0.7852	0.7384
simulation	sim_s16_c2_r1	Streptococcus_pneumoniae	2.0000	1.9551	0.5491	1.0000	0.7871	0.5460
simulation	sim_s16_c2_r1	Vibrio_cholerae	2.0000	2.0000	0.5521	0.7346	0.5783	0.5785
simulation	sim_s16_c2_r2	Bacillus_subtilis_168	2.0000	2.0130	0.5480	1.0000	0.7962	0.5320
simulation	sim_s16_c2_r2	Campylobacter_jejuni	2.0000	1.9163	0.5158	1.0000	0.7642	1.7171
simulation	sim_s16_c2_r2	Enterococcus_faecalis	2.0000	1.9630	0.5741	0.9485	0.7626	0.5693
simulation	sim_s16_c2_r2	Escherichia_coli_K12	2.0000	1.9354	0.4968	1.0000	0.2574	1.6773
simulation	sim_s16_c2_r2	Escherichia_coli_O157H7	2.0000	1.9661	0.5074	0.9778	0.2648	0.9332
simulation	sim_s16_c2_r2	Haemophilus_influenzae	2.0000	2.0130	0.5594	1.0000	0.7756	1.5060
simulation	sim_s16_c2_r2	Helicobacter_pylori	2.0000	2.0244	0.5959	1.0000	0.7857	0.5268
simulation	sim_s16_c2_r2	Klebsiella_pneumoniae	2.0000	2.0188	0.5492	0.9224	0.7167	1.5277
simulation	sim_s16_c2_r2	Listeria_monocytogenes	2.0000	1.9762	0.5432	1.0000	0.7750	1.3206
simulation	sim_s16_c2_r2	Neisseria_meningitidis	2.0000	1.9589	0.5291	1.0000	0.7323	1.4828
simulation	sim_s16_c2_r2	Pseudomonas_aeruginosa	2.0000	2.0119	0.5385	1.0000	0.7815	1.1888
simulation	sim_s16_c2_r2	Salmonella_enterica_LT2	2.0000	1.9872	0.5516	0.9799	0.7568	0.8057
simulation	sim_s16_c2_r2	Shigella_dysenteriae	2.0000	1.8889	0.4857	0.9511	0.1892	1.8628
simulation	sim_s16_c2_r2	Staphylococcus_aureus	2.0000	2.0125	0.5598	1.0000	0.7917	0.4757
simulation	sim_s16_c2_r2	Streptococcus_pneumoniae	2.0000	1.9111	0.5343	1.0000	0.7597	1.5465
simulation	sim_s16_c2_r2	Vibrio_cholerae	2.0000	1.9865	0.5630	0.7346	0.5773	0.7335
simulation	sim_s16_c4_r1	Bacillus_subtilis_168	4.0000	3.3441	0.8495	1.0000	0.9519	0.3010
simulation	sim_s16_c4_r1	Campylobacter_jejuni	4.0000	3.2687	0.8257	1.0000	0.9437	0.4687
simulation	sim_s16_c4_r1	Enterococcus_faecalis	4.0000	3.3261	0.8469	0.9485	0.9149	0.3943
simulation	sim_s16_c4_r1	Escherichia_coli_K12	4.0000	3.2500	0.6819	1.0000	0.3086	1.6837
simulation	sim_s16_c4_r1	Escherichia_coli_O157H7	4.0000	3.2971	0.7519	0.9778	0.3177	0.9982
simulation	sim_s16_c4_r1	Haemophilus_influenzae	4.0000	3.3412	0.8746	1.0000	0.9466	0.2798
simulation	sim_s16_c4_r1	Helicobacter_pylori	4.0000	3.3617	0.8300	1.0000	0.9388	0.4983
simulation	sim_s16_c4_r1	Klebsiella_pneumoniae	4.0000	3.1120	0.7301	0.9224	0.8584	1.9826
simulation	sim_s16_c4_r1	Listeria_monocytogenes	4.0000	3.3152	0.8024	1.0000	0.9508	0.6076
simulation	sim_s16_c4_r1	Neisseria_meningitidis	4.0000	3.1278	0.7232	1.0000	0.8892	1.5413
simulation	sim_s16_c4_r1	Pseudomonas_aeruginosa	4.0000	3.3367	0.8385	1.0000	0.9514	0.4459
simulation	sim_s16_c4_r1	Salmonella_enterica_LT2	4.0000	3.3333	0.8546	0.9799	0.9149	0.4445
simulation	sim_s16_c4_r1	Shigella_dysenteriae	4.0000	3.2000	0.6778	0.9511	0.2368	1.1638
simulation	sim_s16_c4_r1	Staphylococcus_aureus	4.0000	3.3867	0.7610	1.0000	0.9444	0.9282
simulation	sim_s16_c4_r1	Streptococcus_pneumoniae	4.0000	3.2920	0.8183	1.0000	0.9382	0.6665
simulation	sim_s16_c4_r1	Vibrio_cholerae	4.0000	3.2963	0.8506	0.7346	0.6988	0.4250
simulation	sim_s16_c4_r2	Bacillus_subtilis_168	4.0000	3.2472	0.7616	1.0000	0.9420	1.3478
simulation	sim_s16_c4_r2	Campylobacter_jejuni	4.0000	3.1799	0.7733	1.0000	0.9323	1.6400
simulation	sim_s16_c4_r2	Enterococcus_faecalis	4.0000	3.2360	0.7449	0.9485	0.8938	1.4339
simulation	sim_s16_c4_r2	Escherichia_coli_K12	4.0000	3.2915	0.7076	1.0000	0.3167	0.9825
simulation	sim_s16_c4_r2	Escherichia_coli_O157H7	4.0000	3.2926	0.7421	0.9778	0.3162	1.2709
simulation	sim_s16_c4_r2	Haemophilus_influenzae	4.0000	3.2926	0.8535	1.0000	0.9481	0.3192
simulation	sim_s16_c4_r2	Helicobacter_pylori	4.0000	3.1413	0.7679	1.0000	0.9310	1.1074
simulation	sim_s16_c4_r2	Klebsiella_pneumoniae	4.0000	3.2971	0.8444	0.9224	0.8845	0.4238
simulation	sim_s16_c4_r2	Listeria_monocytogenes	4.0000	3.0759	0.7579	1.0000	0.9235	1.9616
simulation	sim_s16_c4_r2	Neisseria_meningitidis	4.0000	3.1611	0.7896	1.0000	0.8884	1.6459
simulation	sim_s16_c4_r2	Pseudomonas_aeruginosa	4.0000	3.1290	0.7663	1.0000	0.9308	1.7555
simulation	sim_s16_c4_r2	Salmonella_enterica_LT2	4.0000	3.2048	0.7722	0.9799	0.9021	1.4185
simulation	sim_s16_c4_r2	Shigella_dysenteriae	4.0000	3.3220	0.7605	0.9511	0.2373	0.7259
simulation	sim_s16_c4_r2	Staphylococcus_aureus	4.0000	3.1667	0.7593	1.0000	0.9293	1.5572
simulation	sim_s16_c4_r2	Streptococcus_pneumoniae	4.0000	3.2959	0.8408	1.0000	0.9414	0.6020
simulation	sim_s16_c4_r2	Vibrio_cholerae	4.0000	3.3667	0.8311	0.7346	0.7009	0.5495
simulation	sim_s16_c8_r1	Bacillus_subtilis_168	8.0000	6.4699	0.8495	1.0000	0.9940	0.8055
simulation	sim_s16_c8_r1	Campylobacter_jejuni	8.0000	6.4049	0.8710	1.0000	0.9846	1.0779
simulation	sim_s16_c8_r1	Enterococcus_faecalis	8.0000	6.3854	0.8612	0.9485	0.9504	1.1328
simulation	sim_s16_c8_r1	Escherichia_coli_K12	8.0000	6.6000	0.7895	1.0000	0.3317	0.4369
simulation	sim_s16_c8_r1	Escherichia_coli_O157H7	8.0000	6.3989	0.7369	0.9778	0.3309	1.3088
simulation	sim_s16_c8_r1	Haemophilus_influenzae	8.0000	6.3477	0.7557	1.0000	0.9805	1.6419
simulation	sim_s16_c8_r1	Helicobacter_pylori	8.0000	6.3171	0.8180	1.0000	0.9754	1.3727
simulation	sim_s16_c8_r1	Klebsiella_pneumoniae	8.0000	6.3646	0.8736	0.9224	0.9195	1.0317
simulation	sim_s16_c8_r1	Listeria_monocytogenes	8.0000	6.6509	0.8137	1.0000	0.9945	0.2301
simulation	sim_s16_c8_r1	Neisseria_meningitidis	8.0000	6.3399	0.8555	1.0000	0.9455	1.1619
simulation	sim_s16_c8_r1	Pseudomonas_aeruginosa	8.0000	6.5701	0.7912	1.0000	0.9910	0.4787
simulation	sim_s16_c8_r1	Salmonella_enterica_LT2	8.0000	6.6111	0.7908	0.9799	0.9511	0.4616
simulation	sim_s16_c8_r1	Shigella_dysenteriae	8.0000	6.2222	0.7482	0.9511	0.2461	1.3286
simulation	sim_s16_c8_r1	Staphylococcus_aureus	8.0000	6.1186	0.8341	1.0000	0.9867	1.5065
simulation	sim_s16_c8_r1	Streptococcus_pneumoniae	8.0000	6.4851	0.8806	1.0000	0.9788	0.9211
simulation	sim_s16_c8_r1	Vibrio_cholerae	8.0000	6.6489	0.8001	0.7346	0.7286	0.2241
simulation	sim_s16_c8_r2	Bacillus_subtilis_168	8.0000	6.1019	0.8734	1.0000	0.9875	1.8118
simulation	sim_s16_c8_r2	Campylobacter_jejuni	8.0000	5.9181	0.7769	1.0000	0.9807	1.7358
simulation	sim_s16_c8_r2	Enterococcus_faecalis	8.0000	6.3133	0.8189	0.9485	0.9488	1.3245
simulation	sim_s16_c8_r2	Escherichia_coli_K12	8.0000	6.2049	0.7452	1.0000	0.3297	1.6953
simulation	sim_s16_c8_r2	Escherichia_coli_O157H7	8.0000	6.3333	0.8028	0.9778	0.3317	1.1247
simulation	sim_s16_c8_r2	Haemophilus_influenzae	8.0000	6.5738	0.8567	1.0000	0.9854	0.9017
simulation	sim_s16_c8_r2	Helicobacter_pylori	8.0000	6.1556	0.7842	1.0000	0.9703	1.7980
simulation	sim_s16_c8_r2	Klebsiella_pneumoniae	8.0000	6.5958	0.7732	0.9224	0.9210	0.2348
simulation	sim_s16_c8_r2	Listeria_monocytogenes	8.0000	6.1304	0.8444	1.0000	0.9923	1.2514
simulation	sim_s16_c8_r2	Neisseria_meningitidis	8.0000	6.5806	0.7986	1.0000	0.9477	0.2261
simulation	sim_s16_c8_r2	Pseudomonas_aeruginosa	8.0000	6.2830	0.8336	1.0000	0.9853	1.7005
simulation	sim_s16_c8_r2	Salmonella_enterica_LT2	8.0000	6.2136	0.8348	0.9799	0.9481	1.3865
simulation	sim_s16_c8_r2	Shigella_dysenteriae	8.0000	6.3158	0.7709	0.9511	0.2467	1.0941
simulation	sim_s16_c8_r2	Staphylococcus_aureus	8.0000	6.1667	0.8406	1.0000	0.9858	1.4538
simulation	sim_s16_c8_r2	Streptococcus_pneumoniae	8.0000	6.5455	0.8461	1.0000	0.9786	0.8959
simulation	sim_s16_c8_r2	Vibrio_cholerae	8.0000	5.9302	0.8448	0.7346	0.7247	1.6011
simulation	sim_s4_c1_r1	Bacillus_subtilis_168	1.0000	1.4595	0.3168	1.0000	0.5483	1.0277
simulation	sim_s4_c1_r1	Escherichia_coli_O157H7	1.0000	1.4464	0.3086	0.9778	0.5266	0.8247
simulation	sim_s4_c1_r1	Helicobacter_pylori	1.0000	1.4681	0.3383	1.0000	0.5380	1.4156
simulation	sim_s4_c1_r1	Staphylococcus_aureus	1.0000	1.4375	0.3000	1.0000	0.5334	1.4207
simulation	sim_s4_c1_r2	Escherichia_coli_O157H7	1.0000	1.4413	0.3137	0.9778	0.5231	0.9560
simulation	sim_s4_c1_r2	Haemophilus_influenzae	1.0000	1.4340	0.2948	1.0000	0.5382	1.6126
simulation	sim_s4_c1_r2	Salmonella_enterica_LT2	1.0000	1.4545	0.3019	0.9799	0.5108	1.3391
simulation	sim_s4_c1_r2	Staphylococcus_aureus	1.0000	1.4468	0.2948	1.0000	0.5302	1.5864
simulation	sim_s4_c2_r1	Klebsiella_pneumoniae	2.0000	1.9146	0.4962	0.9224	0.7130	1.9767
simulation	sim_s4_c2_r1	Listeria_monocytogenes	2.0000	1.8953	0.5156	1.0000	0.7842	1.3922
simulation	sim_s4_c2_r1	Pseudomonas_aeruginosa	2.0000	1.8947	0.5077	1.0000	0.7573	1.8947
simulation	sim_s4_c2_r1	Salmonella_enterica_LT2	2.0000	1.9681	0.5556	0.9799	0.7605	0.9587
simulation	sim_s4_c2_r2	Escherichia_coli_K12	2.0000	2.0000	0.5349	1.0000	0.7801	1.4391
simulation	sim_s4_c2_r2	Haemophilus_influenzae	2.0000	1.9819	0.5659	1.0000	0.7870	0.5683
simulation	sim_s4_c2_r2	Staphylococcus_aureus	2.0000	1.9722	0.5663	1.0000	0.7880	0.8622
simulation	sim_s4_c2_r2	Vibrio_cholerae	2.0000	2.0000	0.5543	0.7346	0.5783	0.5521
simulation	sim_s4_c4_r1	Escherichia_coli_O157H7	4.0000	3.2757	0.8271	0.9778	0.9149	0.7045
simulation	sim_s4_c4_r1	Haemophilus_influenzae	4.0000	3.3234	0.8361	1.0000	0.9492	0.4726
simulation	sim_s4_c4_r1	Staphylococcus_aureus	4.0000	3.3645	0.8165	1.0000	0.9490	0.7733
simulation	sim_s4_c4_r1	Streptococcus_pneumoniae	4.0000	3.1545	0.7271	1.0000	0.9103	1.7762
simulation	sim_s4_c4_r2	Campylobacter_jejuni	4.0000	3.3003	0.8029	1.0000	0.9477	0.7840
simulation	sim_s4_c4_r2	Haemophilus_influenzae	4.0000	3.3053	0.8421	1.0000	0.9533	0.3136
simulation	sim_s4_c4_r2	Klebsiella_pneumoniae	4.0000	3.0921	0.7544	0.9224	0.8714	1.8873
simulation	sim_s4_c4_r2	Pseudomonas_aeruginosa	4.0000	3.3111	0.7701	1.0000	0.9406	1.1463
simulation	sim_s4_c8_r1	Enterococcus_faecalis	8.0000	6.5581	0.8239	0.9485	0.9508	0.4764
simulation	sim_s4_c8_r1	Shigella_dysenteriae	8.0000	6.6437	0.8150	0.9511	0.9501	0.1986
simulation	sim_s4_c8_r1	Staphylococcus_aureus	8.0000	6.5263	0.8238	1.0000	0.9878	1.0757
simulation	sim_s4_c8_r1	Streptococcus_pneumoniae	8.0000	6.4123	0.8689	1.0000	0.9789	0.9278
simulation	sim_s4_c8_r2	Escherichia_coli_O157H7	8.0000	6.4114	0.8018	0.9778	0.9428	1.1770
simulation	sim_s4_c8_r2	Listeria_monocytogenes	8.0000	6.4500	0.8256	1.0000	0.9927	0.9892
simulation	sim_s4_c8_r2	Neisseria_meningitidis	8.0000	6.4677	0.8700	0.9889	0.9489	0.5738
simulation	sim_s4_c8_r2	Salmonella_enterica_LT2	8.0000	6.2385	0.8297	0.9799	0.9533	1.3637
simulation	sim_s8_c1_r1	Klebsiella_pneumoniae	1.0000	1.4505	0.3232	0.9224	0.5035	0.9325
simulation	sim_s8_c1_r1	Listeria_monocytogenes	1.0000	1.4519	0.3260	1.0000	0.5485	0.8971
simulation	sim_s8_c1_r1	Neisseria_meningitidis	1.0000	1.4726	0.3087	1.0000	0.5154	1.0066
simulation	sim_s8_c1_r1	Pseudomonas_aeruginosa	1.0000	1.4510	0.3166	1.0000	0.5358	1.5437
simulation	sim_s8_c1_r1	Salmonella_enterica_LT2	1.0000	1.4366	0.3076	0.9799	0.5171	1.3785
simulation	sim_s8_c1_r1	Shigella_dysenteriae	1.0000	1.4444	0.3043	0.9511	0.5100	1.2387
simulation	sim_s8_c1_r1	Staphylococcus_aureus	1.0000	1.4355	0.3172	1.0000	0.5397	1.0740
simulation	sim_s8_c1_r1	Streptococcus_pneumoniae	1.0000	1.4318	0.3119	1.0000	0.5163	1.7265
simulation	sim_s8_c1_r2	Bacillus_subtilis_168	1.0000	1.4194	0.2911	1.0000	0.5426	1.2791
simulation	sim_s8_c1_r2	Enterococcus_faecalis	1.0000	1.4340	0.2900	0.9485	0.5128	1.6462
simulation	sim_s8_c1_r2	Helicobacter_pylori	1.0000	1.4200	0.2836	1.0000	0.5246	1.4736
