arm	medium	cov	log2ptr	est_cov	passed	growth_rate	pred_log2ptr
B	M25	10.0000	0.6910429061	8.351419277	True	0.4346	0.6425
B	M25	1.0000	1.121358225	0.9171398356	False	0.4346	0.6425
B	M25	2.0000	0.873693689	1.682446526	True	0.4346	0.6425
B	M25	5.0000	0.6929530112	4.236389243	True	0.4346	0.6425
B	M27	0.5000	1.718455961	0.4921510666	False	0.3992	0.5526
B	M27	10.0000	0.540670837	8.202336756	True	0.3992	0.5526
B	M27	1.0000	1.072136627	0.8715701764	False	0.3992	0.5526
B	M27	2.0000	0.6831792964	1.639948342	True	0.3992	0.5526
B	M27	5.0000	0.6120252644	4.100119929	True	0.3992	0.5526
B	M2	0.5000	1.961929943	0.6504566519	False	1.5100	1.6844
B	M2	10.0000	1.795584459	8.458594476	True	1.5100	1.6844
B	M2	1.0000	1.633384608	1.087182587	False	1.5100	1.6844
B	M2	2.0000	1.582379246	1.88620429	False	1.5100	1.6844
B	M2	5.0000	1.854357334	4.487063667	True	1.5100	1.6844
B	M3	0.5000	2.169830686	0.5563066484	False	1.4380	1.4630
B	M3	10.0000	1.51558835	8.054714384	True	1.4380	1.4630
B	M3	1.0000	1.571266198	0.9170551063	False	1.4380	1.4630
B	M3	2.0000	1.381087633	1.682673779	True	1.4380	1.4630
B	M3	5.0000	1.496085911	4.052425682	True	1.4380	1.4630
B	M4	0.5000	1.943644119	0.6813252591	False	1.3718	1.5315
B	M4	10.0000	1.645095453	8.700351305	True	1.3718	1.5315
B	M4	1.0000	1.317786341	1.079858143	False	1.3718	1.5315
B	M4	2.0000	1.352747007	1.860766129	False	1.3718	1.5315
B	M4	5.0000	1.46027539	4.354525919	True	1.3718	1.5315
B	M6	0.5000	1.892430283	0.5540310768	False	1.3549	1.3298
B	M6	10.0000	1.343505846	8.078962652	True	1.3549	1.3298
B	M6	1.0000	1.436448672	0.9258027096	False	1.3549	1.3298
B	M6	2.0000	1.296323077	1.690874282	True	1.3549	1.3298
B	M6	5.0000	1.27472662	4.055030463	True	1.3549	1.3298
B	RUN_OUT	0.5000	1.796135718	0.5232264906	False		
B	RUN_OUT	10.0000	0.3861122506	8.698974819	False		
B	RUN_OUT	1.0000	1.12251692	0.9231199016	False		
B	RUN_OUT	2.0000	0.6259240976	1.760748148	False		
B	RUN_OUT	5.0000	0.3834865174	4.329140207	False		
C_default	M10	0.5000				1.1500	1.2108
C_default	M10	10.0000	1.0572	7.2135	True	1.1500	1.2108
C_default	M10	1.0000				1.1500	1.2108
C_default	M10	2.0000				1.1500	1.2108
C_default	M10	5.0000				1.1500	1.2108
C_default	M12	0.5000				1.0220	1.1568
C_default	M12	10.0000	1.0084	6.7200	True	1.0220	1.1568
C_default	M12	1.0000				1.0220	1.1568
C_default	M12	2.0000				1.0220	1.1568
C_default	M12	5.0000				1.0220	1.1568
C_default	M13	0.5000				0.8612	1.0326
C_default	M13	10.0000	0.8814	7.3211	True	0.8612	1.0326
C_default	M13	1.0000				0.8612	1.0326
C_default	M13	2.0000				0.8612	1.0326
C_default	M13	5.0000				0.8612	1.0326
C_default	M17	0.5000				0.7440	0.7020
C_default	M17	10.0000	0.6007	7.1566	True	0.7440	0.7020
C_default	M17	1.0000				0.7440	0.7020
C_default	M17	2.0000				0.7440	0.7020
C_default	M17	5.0000				0.7440	0.7020
C_default	M18	0.5000				0.7413	0.8578
C_default	M18	10.0000	0.7591	7.3459	True	0.7413	0.8578
C_default	M18	1.0000				0.7413	0.8578
C_default	M18	2.0000				0.7413	0.8578
C_default	M18	5.0000				0.7413	0.8578
C_default	M19	0.5000				0.5776	0.8862
C_default	M19	10.0000	0.7636	6.5480	True	0.5776	0.8862
C_default	M19	1.0000				0.5776	0.8862
C_default	M19	2.0000				0.5776	0.8862
C_default	M19	5.0000				0.5776	0.8862
C_default	M1	0.5000				1.7207	1.7250
C_default	M1	10.0000	1.6473	6.9103	True	1.7207	1.7250
C_default	M1	1.0000				1.7207	1.7250
C_default	M1	2.0000				1.7207	1.7250
C_default	M1	5.0000				1.7207	1.7250
C_default	M22	0.5000				0.4892	0.7233
C_default	M22	10.0000	0.6024	7.1216	True	0.4892	0.7233
C_default	M22	1.0000				0.4892	0.7233
C_default	M22	2.0000				0.4892	0.7233
C_default	M22	5.0000				0.4892	0.7233
C_default	M23	0.5000				0.4770	0.5420
C_default	M23	10.0000	0.5490	7.5167	True	0.4770	0.5420
C_default	M23	1.0000				0.4770	0.5420
C_default	M23	2.0000				0.4770	0.5420
C_default	M23	5.0000				0.4770	0.5420
C_default	M24	0.5000				0.4648	0.6861
C_default	M24	10.0000	0.5938	7.6020	True	0.4648	0.6861
C_default	M24	1.0000				0.4648	0.6861
C_default	M24	2.0000				0.4648	0.6861
C_default	M24	5.0000				0.4648	0.6861
C_default	M25	0.5000				0.4346	0.6425
C_default	M25	10.0000	0.6150	7.4471	True	0.4346	0.6425
C_default	M25	1.0000				0.4346	0.6425
C_default	M25	2.0000				0.4346	0.6425
C_default	M25	5.0000				0.4346	0.6425
C_default	M27	0.5000				0.3992	0.5526
C_default	M27	10.0000	0.5423	7.6674	True	0.3992	0.5526
C_default	M27	1.0000				0.3992	0.5526
C_default	M27	2.0000				0.3992	0.5526
C_default	M27	5.0000				0.3992	0.5526
C_default	M2	0.5000				1.5100	1.6844
C_default	M2	10.0000	1.5188	6.2992	True	1.5100	1.6844
C_default	M2	1.0000				1.5100	1.6844
C_default	M2	2.0000				1.5100	1.6844
C_default	M2	5.0000				1.5100	1.6844
C_default	M3	0.5000				1.4380	1.4630
C_default	M3	10.0000	1.3337	7.1331	True	1.4380	1.4630
C_default	M3	1.0000				1.4380	1.4630
C_default	M3	2.0000				1.4380	1.4630
C_default	M3	5.0000				1.4380	1.4630
C_default	M4	0.5000				1.3718	1.5315
C_default	M4	10.0000	1.4409	6.6517	True	1.3718	1.5315
C_default	M4	1.0000				1.3718	1.5315
C_default	M4	2.0000				1.3718	1.5315
C_default	M4	5.0000				1.3718	1.5315
C_default	M6	0.5000				1.3549	1.3298
C_default	M6	10.0000	1.1518	7.2350	True	1.3549	1.3298
C_default	M6	1.0000				1.3549	1.3298
C_default	M6	2.0000				1.3549	1.3298
C_default	M6	5.0000				1.3549	1.3298
C_default	RUN_OUT	0.5000					
C_default	RUN_OUT	10.0000	0.2306	7.5739	True		
C_default	RUN_OUT	1.0000					
C_default	RUN_OUT	2.0000					
C_default	RUN_OUT	5.0000					
C_relaxed	M10	0.5000	0.0000	1.0000	True	1.1500	1.2108
C_relaxed	M10	10.0000	1.0572	7.2135	True	1.1500	1.2108
C_relaxed	M10	1.0000	1.7012	1.3930	True	1.1500	1.2108
C_relaxed	M10	2.0000	1.1761	1.8476	True	1.1500	1.2108
C_relaxed	M10	5.0000	1.2734	3.6328	True	1.1500	1.2108
C_relaxed	M12	0.5000	0.0000	1.0000	True	1.0220	1.1568
C_relaxed	M12	10.0000	1.0084	6.7200	True	1.0220	1.1568
C_relaxed	M12	1.0000	1.7449	1.4174	True	1.0220	1.1568
C_relaxed	M12	2.0000	1.3187	1.9380	True	1.0220	1.1568
C_relaxed	M12	5.0000	1.2447	3.5642	True	1.0220	1.1568
C_relaxed	M13	0.5000	0.0000	1.0000	True	0.8612	1.0326
C_relaxed	M13	10.0000	0.8814	7.3211	True	0.8612	1.0326
C_relaxed	M13	1.0000	1.5243	1.4021	True	0.8612	1.0326
C_relaxed	M13	2.0000	0.9318	1.9001	True	0.8612	1.0326
C_relaxed	M13	5.0000	1.0940	3.7555	True	0.8612	1.0326
C_relaxed	M17	0.5000	0.0000	1.0000	True	0.7440	0.7020
C_relaxed	M17	10.0000	0.6007	7.1566	True	0.7440	0.7020
C_relaxed	M17	1.0000	1.2548	1.4707	True	0.7440	0.7020
C_relaxed	M17	2.0000	0.8748	1.9759	True	0.7440	0.7020
C_relaxed	M17	5.0000	0.8405	3.7654	True	0.7440	0.7020
C_relaxed	M18	0.5000	0.0000	1.0000	True	0.7413	0.8578
C_relaxed	M18	10.0000	0.7591	7.3459	True	0.7413	0.8578
C_relaxed	M18	1.0000	1.5158	1.4019	True	0.7413	0.8578
C_relaxed	M18	2.0000	1.1479	1.8919	True	0.7413	0.8578
C_relaxed	M18	5.0000	1.0165	3.6734	True	0.7413	0.8578
C_relaxed	M19	0.5000	0.0000	1.0000	True	0.5776	0.8862
C_relaxed	M19	10.0000	0.7636	6.5480	True	0.5776	0.8862
C_relaxed	M19	1.0000	1.8298	1.4208	True	0.5776	0.8862
C_relaxed	M19	2.0000	1.3320	1.9057	True	0.5776	0.8862
C_relaxed	M19	5.0000	0.8937	3.5769	True	0.5776	0.8862
C_relaxed	M1	0.5000	0.0000	1.0000	True	1.7207	1.7250
C_relaxed	M1	10.0000	1.6473	6.9103	True	1.7207	1.7250
C_relaxed	M1	1.0000	1.9751	1.4144	True	1.7207	1.7250
C_relaxed	M1	2.0000	2.0131	1.9024	True	1.7207	1.7250
C_relaxed	M1	5.0000	1.7486	3.5673	True	1.7207	1.7250
C_relaxed	M22	0.5000	0.0000	1.0000	True	0.4892	0.7233
C_relaxed	M22	10.0000	0.6024	7.1216	True	0.4892	0.7233
C_relaxed	M22	1.0000	1.3808	1.4185	True	0.4892	0.7233
C_relaxed	M22	2.0000	1.1003	1.9567	True	0.4892	0.7233
C_relaxed	M22	5.0000	0.8486	3.7302	True	0.4892	0.7233
C_relaxed	M23	0.5000	0.0000	1.0000	True	0.4770	0.5420
