cond	medium	cov	log2ptr	spread_se	Q	n_enzymes
spread_scafRel	M22	1.0000	0.0000	0.0001	1844.3906	16
spread_scafRel	M22	2.0000	0.8986	0.0171	2410.6983	16
spread_scafRel	M22	5.0000	0.7502	0.0121	126.6742	16
spread_scafRel	M23	0.5000	0.0000	0.0001	119.3292	16
spread_scafRel	M23	10.0000	0.5870	0.0085	38.4217	16
spread_scafRel	M23	1.0000	0.0000	0.0001	664.1716	16
spread_scafRel	M23	2.0000	0.0001	0.0001	5074.0266	16
spread_scafRel	M23	5.0000	0.6238	0.0111	37.3827	16
spread_scafRel	M24	0.5000	0.0000	0.0001	183.7046	16
spread_scafRel	M24	10.0000	0.6677	0.0087	14.3813	16
spread_scafRel	M24	1.0000	0.0000	0.0001	4966.3091	16
spread_scafRel	M24	2.0000	0.7457	0.0166	66.3654	16
spread_scafRel	M24	5.0000	0.7051	0.0110	21.5776	16
spread_scafRel	M25	0.5000	1.0733	0.0489	840.2699	16
spread_scafRel	M25	10.0000	0.7136	0.0104	83.5124	16
spread_scafRel	M25	1.0000	0.0000	0.0001	4729.3708	16
spread_scafRel	M25	2.0000	0.6982	0.0164	1152.1089	16
spread_scafRel	M25	5.0000	0.6242	0.0111	45.5249	16
spread_scafRel	M27	0.5000	0.0002	0.0001	2243.2509	16
spread_scafRel	M27	10.0000	0.6077	0.0105	70.1633	16
spread_scafRel	M27	1.0000	0.0000	0.0001	3078.1675	16
spread_scafRel	M27	2.0000	0.5306	0.0154	81.7098	16
spread_scafRel	M27	5.0000	0.5313	0.0109	79.7911	16
spread_scafRel	M2	0.5000	0.0000	0.0001	2108.6929	16
spread_scafRel	M2	10.0000	2.3994	0.0192	515.3411	16
spread_scafRel	M2	1.0000	2.2964	0.0297	5442.9143	16
spread_scafRel	M2	2.0000	1.9213	0.0228	3391.4789	16
spread_scafRel	M2	5.0000	2.0536	0.0193	300.7757	16
spread_scafRel	M3	0.5000	0.0000	0.0001	336.2826	16
spread_scafRel	M3	10.0000	1.5276	0.0113	56.7874	16
spread_scafRel	M3	1.0000	0.0000	0.0001	1939.1182	16
spread_scafRel	M3	2.0000	1.4766	0.0196	76.3407	16
spread_scafRel	M3	5.0000	1.5521	0.0145	76.5450	16
spread_scafRel	M4	0.5000	0.0000	0.0001	151.2529	16
spread_scafRel	M4	10.0000	1.8783	0.0164	314.2243	16
spread_scafRel	M4	1.0000	0.0000	0.0001	14022.9102	16
spread_scafRel	M4	2.0000	0.0000	0.0001	5615.6581	16
spread_scafRel	M4	5.0000	1.7857	0.0208	172.7556	16
spread_scafRel	M6	0.5000	0.0000	0.0001	1254.5256	16
spread_scafRel	M6	10.0000	1.2936	0.0110	18.6536	16
spread_scafRel	M6	1.0000	0.0000	0.0001	5331.7088	16
spread_scafRel	M6	2.0000	1.5552	0.0195	3371.7170	16
spread_scafRel	M6	5.0000	1.3221	0.0137	38.3683	16
spread_scafRel	RUN_OUT	0.5000	0.0000	0.0001	3024.7718	16
spread_scafRel	RUN_OUT	10.0000	0.4384	0.0097	463.7638	16
spread_scafRel	RUN_OUT	1.0000	0.0000	0.0001	9472.9141	16
spread_scafRel	RUN_OUT	2.0000	0.3383	0.0148	125.7098	16
spread_scafRel	RUN_OUT	5.0000	0.2959	0.0104	258.7343	16
spread_scafSelf	M10	0.5000	0.0000	0.0001	1277.2496	16
spread_scafSelf	M10	10.0000	1.2603	0.0115	32.9078	16
spread_scafSelf	M10	1.0000	0.0000	0.0001	2622.7131	16
spread_scafSelf	M10	2.0000	1.3220	0.0194	2576.1834	16
spread_scafSelf	M10	5.0000	1.2118	0.0138	46.0379	16
spread_scafSelf	M12	0.5000	0.0000	0.0001	1623.5365	16
spread_scafSelf	M12	10.0000	1.6282	0.0149	336.6543	16
spread_scafSelf	M12	1.0000	0.0000	0.0001	7234.2092	16
spread_scafSelf	M12	2.0000	1.4427	0.0202	2433.1962	16
spread_scafSelf	M12	5.0000	1.4377	0.0177	88.1042	16
spread_scafSelf	M13	0.5000	0.0000	0.0001	1260.9428	16
spread_scafSelf	M13	10.0000	1.6626	0.0176	599.1425	16
