k	medium	depth	seconds	rss_mb	log2ptr	i2	growth_rate	pred
2	M2	1	3.16	165.031	1.33763	0.651584	1.51	1.6844
2	M2	2	3.61	166.047	1.63364	0	1.51	1.6844
2	M2	5	3.72	163.219	1.7407	0	1.51	1.6844
2	M3	0.5	1.91	169.234	1.1551	0	1.438	1.463
2	M3	10	3.89	164.484	1.50934	0.0369576	1.438	1.463
2	M3	1	3.03	169.625	1.3517	0.35351	1.438	1.463
2	M3	2	3.54	169.016	1.4523	0	1.438	1.463
2	M3	5	3.42	165.75	1.5425	0.516415	1.438	1.463
2	M4	0.5	2.17	166.328	1.15792	0	1.3718	1.5315
2	M4	10	3.74	167.469	1.62533	0.653616	1.3718	1.5315
2	M4	1	3.05	164.266	1.42951	0	1.3718	1.5315
2	M4	2	3.51	171.047	1.45879	0.283249	1.3718	1.5315
2	M4	5	3.72	163.703	1.54826	0	1.3718	1.5315
2	M6	0.5	2.18	171.734	1.24797	0	1.3549	1.3298
2	M6	10	4.02	171.172	1.27552	0.673881	1.3549	1.3298
2	M6	1	2.99	156.172	1.1397	0	1.3549	1.3298
2	M6	2	3.17	164.125	1.27998	0	1.3549	1.3298
2	M6	5	3.35	161.219	1.34305	0.540707	1.3549	1.3298
2	RUN_OUT	0.5	2.17	162.234	0.0343794			
2	RUN_OUT	10	3.88	164.609	0.0228409	0		
2	RUN_OUT	1	3.04	168.734				
2	RUN_OUT	2	3.54	165.078	0.112424			
2	RUN_OUT	5	3.68	164.969	0.0653229	0.0590688		
4	M10	0.5	3.07	175.891	0.866569	0	1.15	1.2108
4	M10	10	6.19	168.031	1.25413	0	1.15	1.2108
4	M10	1	4.16	178.578	1.16076	0	1.15	1.2108
4	M10	2	4.59	177.578	1.1722	0	1.15	1.2108
4	M10	5	5.24	163.125	1.21987	0	1.15	1.2108
4	M12	0.5	3.02	175.141	1.2087	0	1.022	1.1568
4	M12	10	5.46	171.859	1.334	0.364312	1.022	1.1568
4	M12	1	4.27	170.375	1.13643	0.557872	1.022	1.1568
4	M12	2	4.76	180.219	1.2203	0	1.022	1.1568
4	M12	5	5.37	182.703	1.17066	0.408826	1.022	1.1568
4	M13	0.5	2.84	174.703	0.986783	0.835878	0.8612	1.0326
4	M13	10	4.79	171.516	1.05446	0	0.8612	1.0326
4	M13	1	4.52	173.641	0.69317	0.414401	0.8612	1.0326
4	M13	2	5.03	173.594	0.886372	0	0.8612	1.0326
4	M13	5	5.3	180.609	0.94809	0.0729062	0.8612	1.0326
4	M17	0.5	2.93	175.188	0.514569	0	0.744	0.702
4	M17	10	5.49	180.641	0.733568	0	0.744	0.702
4	M17	1	4.23	174.125	0.746779	0.257098	0.744	0.702
4	M17	2	4.6	178.578	0.640733	0.869177	0.744	0.702
4	M17	5	5.11	164.828	0.670139	0.526031	0.744	0.702
4	M18	0.5	2.75	163.125	0.698171	0	0.7413	0.8578
4	M18	10	5.97	168.875	0.876417	0	0.7413	0.8578
4	M18	1	4.18	176.891	0.72476	0	0.7413	0.8578
4	M18	2	4.67	177.312	0.938596	0	0.7413	0.8578
4	M18	5	4.91	177.25	0.915708	0	0.7413	0.8578
4	M19	0.5	2.81	161.344	0.656195	0.300084	0.5776	0.8862
4	M19	10	4.61	174.75	0.887683	0	0.5776	0.8862
4	M19	1	4.33	163.297	0.71103	0	0.5776	0.8862
4	M19	2	4.75	172.875	0.595992	0	0.5776	0.8862
4	M19	5	4.55	163.094	0.968244	0	0.5776	0.8862
