instance	medium	srr	cov	arm	log2ptr	est_cov	growth_rate
20260912	M1	SRR11558977	1	B	1.907790958	0.8990984627	1.7207
20260912	M1	SRR11558977	1	E	1.494699874	0.8042890872	1.7207
20260912	M1	SRR11558977	1	C_default			1.7207
20260912	M1	SRR11558977	1	C_relaxed	2.0068	1.4124	1.7207
20260912	M10	SRR11558980	1	A	0.9246416478	0.9098097009	1.1500
20260912	M10	SRR11558980	1	B	1.335020565	0.9098097009	1.1500
20260912	M10	SRR11558980	1	E	0.8466993217	0.8417820763	1.1500
20260912	M10	SRR11558980	1	C_default			1.1500
20260912	M10	SRR11558980	1	C_relaxed	1.3368	1.4045	1.1500
20260912	M4	SRR11558983	1	A	1.108111624	1.039088386	1.3718
20260912	M4	SRR11558983	1	B	1.429947331	1.039088386	1.3718
20260912	M4	SRR11558983	1	E	1.078324478	0.9318247768	1.3718
20260912	M4	SRR11558983	1	C_default			1.3718
20260912	M4	SRR11558983	1	C_relaxed	1.8117	1.4465	1.3718
20260912	M6	SRR11558945	2	A	1.180610175	1.67418177	1.3549
20260912	M6	SRR11558945	2	B	1.325607109	1.67418177	1.3549
20260912	M6	SRR11558945	2	E	1.224463975	1.521625033	1.3549
20260912	M6	SRR11558945	2	C_default			1.3549
20260912	M6	SRR11558945	2	C_relaxed	1.1580	1.8539	1.3549
20260912	M3	SRR11558946	2	A	1.340809246	1.690740959	1.4380
20260912	M3	SRR11558946	2	B	1.328919026	1.690740959	1.4380
20260912	M3	SRR11558946	2	E	1.326490118	1.536148105	1.4380
20260912	M3	SRR11558946	2	C_default			1.4380
20260912	M3	SRR11558946	2	C_relaxed	1.5013	1.8075	1.4380
20260912	M2	SRR11558949	2	A	1.451654972	1.893124781	1.5100
20260912	M2	SRR11558949	2	B	1.581585833	1.893124781	1.5100
20260912	M2	SRR11558949	2	E	1.504316071	1.700509804	1.5100
20260912	M2	SRR11558949	2	C_default			1.5100
20260912	M2	SRR11558949	2	C_relaxed	1.9238	1.9516	1.5100
20260912	RUN_OUT	SRR11558950	2	A	0.09412084195	1.811247125	
20260912	RUN_OUT	SRR11558950	2	B	0.5717389392	1.806026907	
20260912	RUN_OUT	SRR11558950	2	E			
20260912	RUN_OUT	SRR11558950	2	C_default			
20260912	RUN_OUT	SRR11558950	2	C_relaxed	0.5990	2.0213	
20260912	M27	SRR11558953	2	A	0.4516569352	1.656161368	0.3992
20260912	M27	SRR11558953	2	B	0.6612275405	1.660438007	0.3992
20260912	M27	SRR11558953	2	E	0.3554815369	1.551076997	0.3992
20260912	M27	SRR11558953	2	C_default			0.3992
20260912	M27	SRR11558953	2	C_relaxed	0.6899	1.9053	0.3992
20260912	M25	SRR11558957	2	A	0.5407807629	1.713454499	0.4346
20260912	M25	SRR11558957	2	B	0.754347023	1.713454499	0.4346
20260912	M25	SRR11558957	2	E	0.6065698565	1.595391109	0.4346
20260912	M25	SRR11558957	2	C_default			0.4346
20260912	M25	SRR11558957	2	C_relaxed	1.0085	1.9721	0.4346
20260912	M24	SRR11558960	2	A	0.5660937858	1.650070781	0.4648
20260912	M24	SRR11558960	2	B	0.8431057052	1.650070781	0.4648
20260912	M24	SRR11558960	2	E	0.5588126401	1.574223556	0.4648
20260912	M24	SRR11558960	2	C_default			0.4648
20260912	M24	SRR11558960	2	C_relaxed	0.9314	1.9216	0.4648
20260912	M22	SRR11558963	2	A	0.5764405214	1.72430666	0.4892
20260912	M22	SRR11558963	2	B	0.8226399224	1.72430666	0.4892
20260912	M22	SRR11558963	2	E	0.5743528561	1.58217176	0.4892
20260912	M22	SRR11558963	2	C_default			0.4892
20260912	M22	SRR11558963	2	C_relaxed	0.9781	1.9192	0.4892
20260912	M23	SRR11558964	2	A	0.57264266	1.662803671	0.4770
20260912	M23	SRR11558964	2	B	0.8563568775	1.662803671	0.4770
20260912	M23	SRR11558964	2	E	0.4701883096	1.604271709	0.4770
20260912	M23	SRR11558964	2	C_default			0.4770
