species	n_samples	n_observations	median_log2PTR	q1_log2PTR	q3_log2PTR	median_PTR	median_coverage	median_containment	median_windows	median_anchors	median_ori_confidence	clean_denture_median_log2PTR	unclean_denture_median_log2PTR	unclean_minus_clean_log2PTR	mannwhitney_p	mannwhitney_fdr_bh	median_relative_abundance_all_samples	median_nonzero_relative_abundance
Capnocytophaga_ochracea	5	5	1.315222451	1.096661833	1.629104754	2.488406968	7.022776713	0.03510758777	13.0	421.0	0.9506419882	0.7813109275	1.4721636025	0.690852675			0.0	0.00023515305269435
Pauljensenia_bouchesdurhonensis	5	5	1.30435318	1.194722779	1.335450801	2.469729744	7.182492285	0.02310061602	20.0	1552.0	0.9968070223	1.2495379795	1.335450801	0.08591282150000001			0.0	0.00018082760835164998
Saccharimonas_sp013333645	6	6	1.2987025795	1.0452691195000001	1.52089853875	2.47503741	7.9252896005	0.08403805495	26.5	786.5	0.9961402011		1.2987025795				0.0	0.0003278675699395
Veillonella_atypica	6	6	1.292446475	1.13037185725	2.00820574725	2.4502708665	89.4095876115	0.1267361111	24.5	402.0	0.98914485915	2.746623113	1.25466079	-1.491962323			0.0	0.00143027764722905
Lautropia_dentalis	6	6	1.2614326635	0.99935013595	1.51384895975	2.4326952244999998	39.4479900475	0.007596310363499999	14.5	1426.5	0.9933460634		1.2614326635				0.0	0.0005038192347876
Pauljensenia_sp902373545	8	8	1.2332510540000001	0.97823735345	1.74569663675	2.3510012495000003	9.706087966	0.049661986479999996	51.5	1027.5	0.99642639535	1.224885896	1.241616212	0.01673031600000008			0.0	0.0001355527692222788
Kingella_A_denitrificans	7	7	1.228181324	1.126153127	1.846836014	2.342714786	7.293482822	0.03929866989	22.0	1452.0	0.9991945118	1.536540905	1.19242487	-0.3441160350000001			0.0	0.0001438334807692
Actinomyces_sp001278845	7	7	1.226754952	0.5978928138499999	1.2702696155000002	2.340399722	11.65942692	0.08645533141	22.0	1833.0	0.9910180004	1.263513337	1.1087117174	-0.15480161959999994			0.0	0.0002357526815938
Actinomyces_graevenitzii	7	7	1.202253485	0.8708754751000001	1.338401852	2.300988041	6.018945531	0.04932735426	15.0	493.0	0.9681474243	1.2246419705	1.188313111	-0.03632885949999998			0.0	0.00021764297080175
Pauljensenia_odontolytica_C	5	5	1.200953906	1.195173059	1.287429501	2.298916245	101.8547619	0.04141104294	21.0	1096.0	0.999883785	1.2576080518000001	1.200953906	-0.056654145800000055			0.0	0.0005786197419223
Scardovia_wiggsiae	5	5	1.191362663	0.7607157618	1.629119146	2.283683412	15.4065916	0.2571711177	24.0	963.0	0.9993751141	0.64931529305	1.629119146	0.97980385295			0.0	0.00216285804114095
