genome	std_log2ptr	n	mag	mean_cov	qc_rate_current	qc_any	cov_q
GCA_041398105.1_ASM4139810v1_genomic	0.5473184163826225	9	GCA_041398105.1_ASM4139810v1_genomic	3.5347719056666667	0.2222222222222222	True	Q4
GCA_041398125.1_ASM4139812v1_genomic	0.4529440811971991	9	GCA_041398125.1_ASM4139812v1_genomic	3.133225776666667	0.0	False	Q3
GCA_041398145.1_ASM4139814v1_genomic	0.9452353376818494	9	GCA_041398145.1_ASM4139814v1_genomic	3.8538905263333336	0.0	False	Q4
GCA_041398165.1_ASM4139816v1_genomic	0.5228700760294039	9	GCA_041398165.1_ASM4139816v1_genomic	3.6775441717777775	0.0	False	Q4
GCA_041398185.1_ASM4139818v1_genomic	0.10031471330083344	9	GCA_041398185.1_ASM4139818v1_genomic	2.592269910777778	0.0	False	Q2
GCA_041398205.1_ASM4139820v1_genomic	0.6227624430561044	9	GCA_041398205.1_ASM4139820v1_genomic	3.252224224444445	0.1111111111111111	True	Q3
GCA_041398225.1_ASM4139822v1_genomic	0.4977513201096347	9	GCA_041398225.1_ASM4139822v1_genomic	2.7079192838888893	0.0	False	Q3
GCA_041398245.1_ASM4139824v1_genomic	0.6216839145713352	9	GCA_041398245.1_ASM4139824v1_genomic	2.998965171777778	0.0	False	Q3
GCA_041398265.1_ASM4139826v1_genomic	0.6430372176130151	9	GCA_041398265.1_ASM4139826v1_genomic	3.2906073715555557	0.0	False	Q3
GCA_041398285.1_ASM4139828v1_genomic	0.5001615571167453	9	GCA_041398285.1_ASM4139828v1_genomic	2.8886648153333336	0.0	False	Q3
GCA_041398305.1_ASM4139830v1_genomic	0.7109930957927985	9	GCA_041398305.1_ASM4139830v1_genomic	3.298779925111111	0.0	False	Q3
GCA_041398325.1_ASM4139832v1_genomic	0.6457293815006838	9	GCA_041398325.1_ASM4139832v1_genomic	3.2549272383333334	0.0	False	Q3
GCA_041398345.1_ASM4139834v1_genomic	0.5864297622657164	9	GCA_041398345.1_ASM4139834v1_genomic	3.1013630024444447	0.1111111111111111	True	Q3
GCA_041398365.1_ASM4139836v1_genomic	0.31184220174497596	9	GCA_041398365.1_ASM4139836v1_genomic	3.0944310701111113	0.1111111111111111	True	Q3
GCA_041398385.1_ASM4139838v1_genomic	0.4131338973105043	9	GCA_041398385.1_ASM4139838v1_genomic	4.298451033666667	0.0	False	Q4
GCA_041398405.1_ASM4139840v1_genomic	0.3485883698590892	9	GCA_041398405.1_ASM4139840v1_genomic	2.859126709111111	0.0	False	Q3
GCA_041398425.1_ASM4139842v1_genomic	0.5699982606007881	9	GCA_041398425.1_ASM4139842v1_genomic	3.2089064372222222	0.0	False	Q3
GCA_041398445.1_ASM4139844v1_genomic	0.29810044643962064	9	GCA_041398445.1_ASM4139844v1_genomic	3.5096849199999998	0.1111111111111111	True	Q4
GCA_041398465.1_ASM4139846v1_genomic	0.8561083246296791	9	GCA_041398465.1_ASM4139846v1_genomic	4.858330675888889	0.0	False	Q4
GCA_041398485.1_ASM4139848v1_genomic	0.1993809764336679	9	GCA_041398485.1_ASM4139848v1_genomic	2.4716521264444444	0.0	False	Q2
GCA_041398505.1_ASM4139850v1_genomic	0.7055899823398368	9	GCA_041398505.1_ASM4139850v1_genomic	2.3997522265555555	0.0	False	Q2
GCA_041398525.1_ASM4139852v1_genomic	0.5542874569029527	9	GCA_041398525.1_ASM4139852v1_genomic	1.9337438285555555	0.0	False	Q1
GCA_041398545.1_ASM4139854v1_genomic	0.388361120579581	9	GCA_041398545.1_ASM4139854v1_genomic	2.5490913086666662	0.0	False	Q2
GCA_041398565.1_ASM4139856v1_genomic	0.8027549748937025	9	GCA_041398565.1_ASM4139856v1_genomic	3.6898391157777777	0.1111111111111111	True	Q4
GCA_041398585.1_ASM4139858v1_genomic	0.31975855110194307	9	GCA_041398585.1_ASM4139858v1_genomic	2.481447722888889	0.0	False	Q2
GCA_041398605.1_ASM4139860v1_genomic	0.24742334562575455	9	GCA_041398605.1_ASM4139860v1_genomic	2.224804492666667	0.0	False	Q1
GCA_041398625.1_ASM4139862v1_genomic	0.6944996197462514	9	GCA_041398625.1_ASM4139862v1_genomic	1.9216626746666665	0.0	False	Q1
GCA_041398635.1_ASM4139863v1_genomic	0.4604926226420518	9	GCA_041398635.1_ASM4139863v1_genomic	3.5031746291111108	0.0	False	Q4
GCA_041398665.1_ASM4139866v1_genomic	0.4638270048457782	9	GCA_041398665.1_ASM4139866v1_genomic	2.6974169724444446	0.0	False	Q3
GCA_041398685.1_ASM4139868v1_genomic	0.49684608725031787	9	GCA_041398685.1_ASM4139868v1_genomic	2.900667746111111	0.0	False	Q3
GCA_041398705.1_ASM4139870v1_genomic	0.3013384541254731	9	GCA_041398705.1_ASM4139870v1_genomic	1.859280917888889	0.0	False	Q1
GCA_041398725.1_ASM4139872v1_genomic	0.31873331933744137	9	GCA_041398725.1_ASM4139872v1_genomic	1.9792559175555557	0.1111111111111111	True	Q1
GCA_041398745.1_ASM4139874v1_genomic	0.3117644397647157	9	GCA_041398745.1_ASM4139874v1_genomic	2.464478024888889	0.0	False	Q2
GCA_041398765.1_ASM4139876v1_genomic	0.31755416795713803	9	GCA_041398765.1_ASM4139876v1_genomic	2.2760256824444443	0.0	False	Q2
GCA_041398785.1_ASM4139878v1_genomic	0.6576203634802746	9	GCA_041398785.1_ASM4139878v1_genomic	2.426453533888889	0.1111111111111111	True	Q2
GCA_041398805.1_ASM4139880v1_genomic	0.5094791578855589	9	GCA_041398805.1_ASM4139880v1_genomic	1.7740625814444444	0.0	False	Q1
GCA_041398825.1_ASM4139882v1_genomic	0.8146434458773695	9	GCA_041398825.1_ASM4139882v1_genomic	2.2102249964444445	0.0	False	Q1
GCA_041398845.1_ASM4139884v1_genomic	0.29782542110278387	9	GCA_041398845.1_ASM4139884v1_genomic	2.2496871097777777	0.0	False	Q2
