genome	gc	mode	ptr	rep	depth	log2ptr	note	out
g00_Buchnera_aphidicola_Y	26.0900	A_k2	0.5000	1	1.0000	0.8371	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr0.5__r1__1.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	0.5000	1	2.0000	0.4359	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr0.5__r1__2.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	0.5000	1	5.0000	0.3780	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr0.5__r1__5.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	0.5000	2	0.5000		nan	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr0.5__r2__0.5x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	0.5000	2	1.0000		nan	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr0.5__r2__1.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	0.5000	2	2.0000	0.1929	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr0.5__r2__2.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	0.5000	2	5.0000	0.5818	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr0.5__r2__5.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	1.0000	1	0.5000	0.2563	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr1.0__r1__0.5x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	1.0000	1	1.0000	0.2531	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr1.0__r1__1.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	1.0000	1	2.0000	0.8430	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr1.0__r1__2.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	1.0000	1	5.0000	1.0096	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr1.0__r1__5.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	1.0000	2	0.5000	0.0742	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr1.0__r2__0.5x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	1.0000	2	1.0000	0.2572	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr1.0__r2__1.0x
