genome	gc	mode	depth	n	failed	r	rmse	slope
g05_Staphylococcus_aureus	33.0	A_k16	2.0	8	0	0.986	0.151	1.001
g05_Staphylococcus_aureus	33.0	A_k2	2.0	8	0	0.984	0.123	0.944
g05_Staphylococcus_aureus	33.0	A_k4	2.0	8	0	0.988	0.12	0.968
g05_Staphylococcus_aureus	33.0	A_k8	2.0	8	0	0.989	0.142	0.999
g05_Staphylococcus_aureus	33.0	E_s162	2.0	8	0	0.996	0.053	1.003
g05_Staphylococcus_aureus	33.0	E_s196	2.0	8	0	0.994	0.067	1.029
g05_Staphylococcus_aureus	33.0	A_k16	5.0	8	0	0.999	0.043	0.999
g05_Staphylococcus_aureus	33.0	A_k2	5.0	8	0	0.998	0.038	0.984
g05_Staphylococcus_aureus	33.0	A_k4	5.0	8	0	0.999	0.031	0.989
g05_Staphylococcus_aureus	33.0	A_k8	5.0	8	0	0.999	0.035	1.002
g05_Staphylococcus_aureus	33.0	E_s162	5.0	8	0	0.999	0.028	1.011
g05_Staphylococcus_aureus	33.0	E_s196	5.0	8	0	0.999	0.029	0.995
g06_Bacillus_subtilis	43.5	A_k16	0.5	8	0	0.985	0.469	0.609
g06_Bacillus_subtilis	43.5	A_k2	0.5	8	0	0.96	0.367	0.679
g06_Bacillus_subtilis	43.5	A_k4	0.5	8	0	0.948	0.387	0.805
g06_Bacillus_subtilis	43.5	A_k8	0.5	8	0	0.962	0.403	0.691
g06_Bacillus_subtilis	43.5	E_s120	0.5	8	0	0.986	0.426	0.576
g06_Bacillus_subtilis	43.5	E_s153	0.5	8	0	0.997	0.395	0.647
g06_Bacillus_subtilis	43.5	A_k16	1.0	8	0	0.994	0.187	0.904
g06_Bacillus_subtilis	43.5	A_k2	1.0	8	0	0.986	0.209	0.888
g06_Bacillus_subtilis	43.5	A_k4	1.0	8	0	0.994	0.174	0.958
g06_Bacillus_subtilis	43.5	A_k8	1.0	8	0	0.992	0.178	0.944
g06_Bacillus_subtilis	43.5	E_s120	1.0	8	0	0.99	0.141	0.987
g06_Bacillus_subtilis	43.5	E_s153	1.0	8	0	0.97	0.238	0.985
g06_Bacillus_subtilis	43.5	A_k16	2.0	8	0	0.991	0.106	1.007
g06_Bacillus_subtilis	43.5	A_k2	2.0	8	0	0.993	0.069	1.001
g06_Bacillus_subtilis	43.5	A_k4	2.0	8	0	0.997	0.048	1.003
g06_Bacillus_subtilis	43.5	A_k8	2.0	8	0	0.998	0.058	0.998
g06_Bacillus_subtilis	43.5	E_s120	2.0	8	0	0.995	0.068	1.022
g06_Bacillus_subtilis	43.5	E_s153	2.0	8	0	0.995	0.074	1.029
g06_Bacillus_subtilis	43.5	A_k16	5.0	8	0	0.999	0.024	0.993
g06_Bacillus_subtilis	43.5	A_k2	5.0	8	0	0.999	0.025	0.981
g06_Bacillus_subtilis	43.5	A_k4	5.0	8	0	1.0	0.019	0.992
g06_Bacillus_subtilis	43.5	A_k8	5.0	8	0	1.0	0.023	1.0
