dataset	contrast	taxonomy	n_MIBC	n_NMIBC	median_MIBC	median_NMIBC	median_log2ptr_effect	p	n_benign	n_cancer	median_benign	median_cancer	n_maternal_feces	n_infant_meconium	median_maternal_feces	median_infant_meconium	q
CRA019236	infant_meconium_vs_maternal_feces	s__Pseudomonas_E_sp002843585					-0.6889436551	0.03571428571428571					3.0	5.0	1.328838677	0.6398950219	0.3082631654060226
CRA019236	infant_meconium_vs_maternal_feces	s__Salmonella_enterica					0.5268403970000002	0.07746213607943692					10.0	16.0	1.248995106	1.7758355030000001	0.3082631654060226
CRA019236	infant_meconium_vs_maternal_feces	s__Cupriavidus_pauculus					0.20023209200000003	0.08316815396683931					27.0	13.0	1.10321026	1.303442352	0.3082631654060226
CRA019236	infant_meconium_vs_maternal_feces	s__Enterobacter_hormaechei_A					0.30772211800000004	0.08791208791208792					9.0	6.0	1.15158882	1.459310938	0.3082631654060226
CRA019236	infant_meconium_vs_maternal_feces	s__Klebsiella_A_grimontii					-0.8347447840000002	0.09453781512605043					5.0	13.0	1.983142455	1.148397671	0.3082631654060226
CRA019236	infant_meconium_vs_maternal_feces	s__Ralstonia_pickettii_B					-0.23800496900000012	0.1078921078921079					6.0	8.0	1.3413896365000002	1.1033846675	0.3082631654060226
CRA019236	infant_meconium_vs_maternal_feces	s__Rothia_mucilaginosa					0.23034007850000005	0.12973610496830312					16.0	5.0	1.0473678055	1.277707884	0.3243402624207578
CRA019236	infant_meconium_vs_maternal_feces	s__Streptococcus_thermophilus					0.5619292770500001	0.1775025799793602					16.0	4.0	0.86315724895	1.425086526	0.39445017773191154
CRA019236	infant_meconium_vs_maternal_feces	s__Bacteroides_sp900552405					0.30953200925	0.21968987383892838					24.0	8.0	0.55172624795	0.8612582572	0.43937974767785676
CRA019236	infant_meconium_vs_maternal_feces	s__Lacticaseibacillus_paracasei					0.2712321434	0.26767676767676774					5.0	7.0	0.7286730177	0.9999051611	0.4866850321395777
CRA019236	infant_meconium_vs_maternal_feces	s__Pseudomonas_E_putida_E					0.5202294489999999	0.39285714285714285					5.0	3.0	1.260600517	1.780829966	0.61075380107788
CRA019236	infant_meconium_vs_maternal_feces	s__Ralstonia_sp000620465					-0.7459124334999998	0.4117647058823529					4.0	13.0	1.7482441494999998	1.002331716	0.61075380107788
CRA019236	infant_meconium_vs_maternal_feces	s__Ralstonia_pickettii					0.1555080138	0.427527660754516					17.0	23.0	0.806037156	0.9615451698	0.61075380107788
CRA019236	infant_meconium_vs_maternal_feces	s__Staphylococcus_epidermidis					-0.5162408231000001	0.48181818181818176					3.0	9.0	1.131918908	0.6156780849	0.6424242424242423
CRA019236	infant_meconium_vs_maternal_feces	s__Pseudomonas_F_alcaligenes_A					-0.08687743399999992	0.5337995337995338					7.0	6.0	1.052156535	0.965279101	0.6672494172494172
CRA019236	infant_meconium_vs_maternal_feces	s__Klebsiella_pneumoniae					-0.1033605474	0.6808401848637116					23.0	10.0	0.9171746984	0.813814151	0.8009884527808372
CRA019236	infant_meconium_vs_maternal_feces	s__Enterococcus_faecalis					-0.23800503399999995	0.8571428571428571					4.0	3.0	1.405566243	1.167561209	0.9028763860114682
CRA019236	infant_meconium_vs_maternal_feces	s__Achromobacter_xylosoxidans					0.03050455555000009	0.8577325667108949					6.0	16.0	0.7775869914	0.8080915469500001	0.9028763860114682
CRA019236	infant_meconium_vs_maternal_feces	s__Rothia_mucilaginosa_B					0.010205412400000058	1.0					20.0	3.0	0.9647817392	0.9749871516	1.0
