arm	medium	cov	log2ptr	growth_rate	pred
A_k16	M27	5.0000	0.5302	0.3992	0.5526
A_k16	M2	0.5000	1.0547	1.5100	1.6844
A_k16	M2	10.0000	1.6179	1.5100	1.6844
A_k16	M2	1.0000	1.4290	1.5100	1.6844
A_k16	M2	2.0000	1.4784	1.5100	1.6844
A_k16	M2	5.0000	1.5291	1.5100	1.6844
A_k16	M3	0.5000	0.5195	1.4380	1.4630
A_k16	M3	10.0000	1.5340	1.4380	1.4630
A_k16	M3	1.0000	1.2416	1.4380	1.4630
A_k16	M3	2.0000	1.3115	1.4380	1.4630
A_k16	M3	5.0000	1.4748	1.4380	1.4630
A_k16	M4	0.5000	0.8939	1.3718	1.5315
A_k16	M4	10.0000	1.5175	1.3718	1.5315
A_k16	M4	1.0000	1.1393	1.3718	1.5315
A_k16	M4	2.0000	1.1010	1.3718	1.5315
A_k16	M4	5.0000	1.3080	1.3718	1.5315
A_k16	M6	0.5000	0.6861	1.3549	1.3298
A_k16	M6	10.0000	1.3578	1.3549	1.3298
A_k16	M6	1.0000	1.1770	1.3549	1.3298
A_k16	M6	2.0000	1.1745	1.3549	1.3298
A_k16	M6	5.0000	1.2554	1.3549	1.3298
A_k16	RUN_OUT	0.5000	0.3788		
A_k16	RUN_OUT	10.0000	0.0388		
A_k16	RUN_OUT	1.0000	0.3580		
A_k16	RUN_OUT	2.0000	0.1523		
A_k16	RUN_OUT	5.0000	0.0762		
A_k2	M10	0.5000	0.5890	1.1500	1.2108
A_k2	M10	10.0000	1.2648	1.1500	1.2108
A_k2	M10	1.0000	0.9369	1.1500	1.2108
A_k2	M10	2.0000	1.1915	1.1500	1.2108
A_k2	M10	5.0000	1.2258	1.1500	1.2108
A_k2	M12	0.5000	0.3008	1.0220	1.1568
A_k2	M12	10.0000	1.1717	1.0220	1.1568
A_k2	M12	1.0000	0.9030	1.0220	1.1568
A_k2	M12	2.0000	1.0908	1.0220	1.1568
A_k2	M12	5.0000	1.1980	1.0220	1.1568
A_k2	M13	0.5000	0.6678	0.8612	1.0326
A_k2	M13	10.0000	1.0424	0.8612	1.0326
A_k2	M13	1.0000	0.5336	0.8612	1.0326
A_k2	M13	2.0000	0.9848	0.8612	1.0326
A_k2	M13	5.0000	0.9861	0.8612	1.0326
A_k2	M17	0.5000	0.5769	0.7440	0.7020
A_k2	M17	10.0000	0.7611	0.7440	0.7020
A_k2	M17	1.0000		0.7440	0.7020
A_k2	M17	2.0000	0.6442	0.7440	0.7020
A_k2	M17	5.0000	0.6895	0.7440	0.7020
A_k2	M18	0.5000	0.4991	0.7413	0.8578
A_k2	M18	10.0000	0.8530	0.7413	0.8578
A_k2	M18	1.0000	0.5214	0.7413	0.8578
A_k2	M18	2.0000	0.7548	0.7413	0.8578
A_k2	M18	5.0000	0.8661	0.7413	0.8578
A_k2	M19	0.5000	0.2813	0.5776	0.8862
A_k2	M19	10.0000	0.9152	0.5776	0.8862
A_k2	M19	1.0000	0.6817	0.5776	0.8862
A_k2	M19	2.0000	0.7334	0.5776	0.8862
A_k2	M19	5.0000	0.8670	0.5776	0.8862
A_k2	M1	0.5000	0.3325	1.7207	1.7250
A_k2	M1	10.0000	1.8059	1.7207	1.7250
A_k2	M1	1.0000	1.4805	1.7207	1.7250
A_k2	M1	2.0000	1.7036	1.7207	1.7250
A_k2	M1	5.0000	1.7472	1.7207	1.7250
A_k2	M22	0.5000	0.3971	0.4892	0.7233
A_k2	M22	10.0000	0.6989	0.4892	0.7233
A_k2	M22	1.0000	0.7039	0.4892	0.7233
A_k2	M22	2.0000	0.6728	0.4892	0.7233
A_k2	M22	5.0000	0.6535	0.4892	0.7233
A_k2	M23	0.5000	0.4839	0.4770	0.5420
A_k2	M23	10.0000	0.5747	0.4770	0.5420
A_k2	M23	1.0000	0.6285	0.4770	0.5420
A_k2	M23	2.0000	0.5514	0.4770	0.5420
A_k2	M23	5.0000	0.5663	0.4770	0.5420
A_k2	M24	0.5000	0.5168	0.4648	0.6861
A_k2	M24	10.0000	0.6254	0.4648	0.6861
A_k2	M24	1.0000	0.8264	0.4648	0.6861
A_k2	M24	2.0000	0.7334	0.4648	0.6861
A_k2	M24	5.0000	0.7120	0.4648	0.6861
A_k2	M25	0.5000	0.3669	0.4346	0.6425
A_k2	M25	10.0000	0.6531	0.4346	0.6425
A_k2	M25	1.0000	0.6530	0.4346	0.6425
A_k2	M25	2.0000	0.5081	0.4346	0.6425
A_k2	M25	5.0000	0.6299	0.4346	0.6425
A_k2	M27	0.5000		0.3992	0.5526
A_k2	M27	10.0000	0.5355	0.3992	0.5526
A_k2	M27	1.0000	0.3461	0.3992	0.5526
A_k2	M27	2.0000	0.4911	0.3992	0.5526
A_k2	M27	5.0000	0.5399	0.3992	0.5526
A_k2	M2	0.5000	1.0812	1.5100	1.6844
A_k2	M2	10.0000	1.8973	1.5100	1.6844
A_k2	M2	1.0000	1.4574	1.5100	1.6844
A_k2	M2	2.0000	1.6138	1.5100	1.6844
A_k2	M2	5.0000	1.6514	1.5100	1.6844
A_k2	M3	0.5000	0.6206	1.4380	1.4630
A_k2	M3	10.0000	1.5205	1.4380	1.4630
A_k2	M3	1.0000	1.2805	1.4380	1.4630
A_k2	M3	2.0000	1.4683	1.4380	1.4630
A_k2	M3	5.0000	1.5543	1.4380	1.4630
A_k2	M4	0.5000	0.7955	1.3718	1.5315
A_k2	M4	10.0000	1.4667	1.3718	1.5315
A_k2	M4	1.0000	1.2711	1.3718	1.5315
A_k2	M4	2.0000	1.3774	1.3718	1.5315
A_k2	M4	5.0000	1.4319	1.3718	1.5315
A_k2	M6	0.5000	0.9481	1.3549	1.3298
A_k2	M6	10.0000	1.3621	1.3549	1.3298
A_k2	M6	1.0000	1.2079	1.3549	1.3298
A_k2	M6	2.0000	1.2615	1.3549	1.3298
A_k2	M6	5.0000	1.3914	1.3549	1.3298
A_k2	RUN_OUT	0.5000	0.0139		
A_k2	RUN_OUT	10.0000	0.0522		
A_k2	RUN_OUT	1.0000			
A_k2	RUN_OUT	2.0000			
A_k2	RUN_OUT	5.0000	0.0449		
A_k4	M10	0.5000	0.6295	1.1500	1.2108
A_k4	M10	10.0000	1.2634	1.1500	1.2108
A_k4	M10	1.0000	0.9216	1.1500	1.2108
A_k4	M10	2.0000	1.0897	1.1500	1.2108
A_k4	M10	5.0000	1.2008	1.1500	1.2108
A_k4	M12	0.5000	0.4543	1.0220	1.1568
A_k4	M12	10.0000	1.1558	1.0220	1.1568
A_k4	M12	1.0000	0.8442	1.0220	1.1568
A_k4	M12	2.0000	1.0553	1.0220	1.1568
A_k4	M12	5.0000	1.1411	1.0220	1.1568
A_k4	M13	0.5000	0.6685	0.8612	1.0326
A_k4	M13	10.0000	1.0468	0.8612	1.0326
A_k4	M13	1.0000	0.6794	0.8612	1.0326
A_k4	M13	2.0000	0.9608	0.8612	1.0326
A_k4	M13	5.0000	1.0197	0.8612	1.0326
A_k4	M17	0.5000	0.6295	0.7440	0.7020
A_k4	M17	10.0000	0.7385	0.7440	0.7020
A_k4	M17	1.0000		0.7440	0.7020
A_k4	M17	2.0000	0.6444	0.7440	0.7020
A_k4	M17	5.0000	0.6854	0.7440	0.7020
A_k4	M18	0.5000	0.6608	0.7413	0.8578
A_k4	M18	10.0000	0.8625	0.7413	0.8578
A_k4	M18	1.0000	0.6642	0.7413	0.8578
A_k4	M18	2.0000	0.9171	0.7413	0.8578
A_k4	M18	5.0000	0.8604	0.7413	0.8578
A_k4	M19	0.5000	0.3822	0.5776	0.8862
A_k4	M19	10.0000	0.8687	0.5776	0.8862
A_k4	M19	1.0000	0.9330	0.5776	0.8862
A_k4	M19	2.0000	0.6252	0.5776	0.8862
A_k4	M19	5.0000	0.8346	0.5776	0.8862
A_k4	M1	0.5000	0.3597	1.7207	1.7250
A_k4	M1	10.0000	1.7910	1.7207	1.7250
A_k4	M1	1.0000	1.3506	1.7207	1.7250
A_k4	M1	2.0000	1.7209	1.7207	1.7250
A_k4	M1	5.0000	1.7067	1.7207	1.7250
A_k4	M22	0.5000	0.3619	0.4892	0.7233
A_k4	M22	10.0000	0.6923	0.4892	0.7233
A_k4	M22	1.0000	0.6640	0.4892	0.7233
A_k4	M22	2.0000	0.7092	0.4892	0.7233
A_k4	M22	5.0000	0.6370	0.4892	0.7233
A_k4	M23	0.5000	0.3087	0.4770	0.5420
A_k4	M23	10.0000	0.5803	0.4770	0.5420
A_k4	M23	1.0000	0.5990	0.4770	0.5420
A_k4	M23	2.0000	0.6132	0.4770	0.5420
A_k4	M23	5.0000	0.5762	0.4770	0.5420
A_k4	M24	0.5000	0.7330	0.4648	0.6861
A_k4	M24	10.0000	0.6215	0.4648	0.6861
A_k4	M24	1.0000	0.7275	0.4648	0.6861
A_k4	M24	2.0000	0.7825	0.4648	0.6861
A_k4	M24	5.0000	0.6884	0.4648	0.6861
A_k4	M25	0.5000	0.3666	0.4346	0.6425
A_k4	M25	10.0000	0.6365	0.4346	0.6425
A_k4	M25	1.0000	0.7209	0.4346	0.6425
A_k4	M25	2.0000	0.5524	0.4346	0.6425
A_k4	M25	5.0000	0.6194	0.4346	0.6425
A_k4	M27	0.5000		0.3992	0.5526
A_k4	M27	10.0000	0.5324	0.3992	0.5526
A_k4	M27	1.0000	0.4495	0.3992	0.5526
A_k4	M27	2.0000	0.4713	0.3992	0.5526
A_k4	M27	5.0000	0.5483	0.3992	0.5526
A_k4	M2	0.5000	1.1745	1.5100	1.6844
A_k4	M2	10.0000	1.8332	1.5100	1.6844
A_k4	M2	1.0000	1.5372	1.5100	1.6844
A_k4	M2	2.0000	1.5610	1.5100	1.6844
A_k4	M2	5.0000	1.5902	1.5100	1.6844
A_k4	M3	0.5000	0.5401	1.4380	1.4630
A_k4	M3	10.0000	1.5275	1.4380	1.4630
A_k4	M3	1.0000	1.3315	1.4380	1.4630
A_k4	M3	2.0000	1.4242	1.4380	1.4630
A_k4	M3	5.0000	1.5331	1.4380	1.4630
A_k4	M4	0.5000	0.8974	1.3718	1.5315
A_k4	M4	10.0000	1.5896	1.3718	1.5315
A_k4	M4	1.0000	1.1609	1.3718	1.5315
A_k4	M4	2.0000	1.3372	1.3718	1.5315
A_k4	M4	5.0000	1.3962	1.3718	1.5315
A_k4	M6	0.5000	0.8160	1.3549	1.3298
A_k4	M6	10.0000	1.3663	1.3549	1.3298
A_k4	M6	1.0000	1.1855	1.3549	1.3298
A_k4	M6	2.0000	1.2189	1.3549	1.3298
A_k4	M6	5.0000	1.3805	1.3549	1.3298
A_k4	RUN_OUT	0.5000	0.0617		
A_k4	RUN_OUT	10.0000	0.0668		
A_k4	RUN_OUT	1.0000	0.0538		
A_k4	RUN_OUT	2.0000	0.0929		
A_k4	RUN_OUT	5.0000	0.0489		
A_k8	M10	0.5000	0.6471	1.1500	1.2108
A_k8	M10	10.0000	1.2468	1.1500	1.2108
A_k8	M10	1.0000	0.8644	1.1500	1.2108
A_k8	M10	2.0000	1.0044	1.1500	1.2108
A_k8	M10	5.0000	1.2185	1.1500	1.2108
A_k8	M12	0.5000	0.3426	1.0220	1.1568
A_k8	M12	10.0000	1.1497	1.0220	1.1568
A_k8	M12	1.0000	0.8312	1.0220	1.1568
A_k8	M12	2.0000	1.1460	1.0220	1.1568
A_k8	M12	5.0000	1.1542	1.0220	1.1568
A_k8	M13	0.5000	0.6295	0.8612	1.0326
A_k8	M13	10.0000	1.0443	0.8612	1.0326
A_k8	M13	1.0000	0.6192	0.8612	1.0326
A_k8	M13	2.0000	0.9899	0.8612	1.0326
A_k8	M13	5.0000	1.0412	0.8612	1.0326
A_k8	M17	0.5000	0.5128	0.7440	0.7020
A_k8	M17	10.0000	0.7310	0.7440	0.7020
A_k8	M17	1.0000	0.4563	0.7440	0.7020
A_k8	M17	2.0000	0.6398	0.7440	0.7020
A_k8	M17	5.0000	0.6653	0.7440	0.7020
A_k8	M18	0.5000	0.6451	0.7413	0.8578
A_k8	M18	10.0000	0.8534	0.7413	0.8578
A_k8	M18	1.0000	0.6836	0.7413	0.8578
A_k8	M18	2.0000	0.8988	0.7413	0.8578
A_k8	M18	5.0000	0.8768	0.7413	0.8578
A_k8	M19	0.5000	0.4535	0.5776	0.8862
A_k8	M19	10.0000	0.8765	0.5776	0.8862
A_k8	M19	1.0000	0.9576	0.5776	0.8862
A_k8	M19	2.0000	0.6630	0.5776	0.8862
A_k8	M19	5.0000	0.8017	0.5776	0.8862
A_k8	M1	0.5000	0.3936	1.7207	1.7250
A_k8	M1	10.0000	1.7760	1.7207	1.7250
A_k8	M1	1.0000	1.4094	1.7207	1.7250
A_k8	M1	2.0000	1.7404	1.7207	1.7250
A_k8	M1	5.0000	1.6802	1.7207	1.7250
A_k8	M22	0.5000	0.4255	0.4892	0.7233
A_k8	M22	10.0000	0.6927	0.4892	0.7233
A_k8	M22	1.0000	0.5287	0.4892	0.7233
A_k8	M22	2.0000	0.7197	0.4892	0.7233
A_k8	M22	5.0000	0.6575	0.4892	0.7233
A_k8	M23	0.5000	0.4644	0.4770	0.5420
A_k8	M23	10.0000	0.5792	0.4770	0.5420
A_k8	M23	1.0000	0.4992	0.4770	0.5420
A_k8	M23	2.0000	0.5857	0.4770	0.5420
A_k8	M23	5.0000	0.5512	0.4770	0.5420
A_k8	M24	0.5000	0.6620	0.4648	0.6861
A_k8	M24	10.0000	0.6264	0.4648	0.6861
A_k8	M24	1.0000	0.7457	0.4648	0.6861
A_k8	M24	2.0000	0.6223	0.4648	0.6861
A_k8	M24	5.0000	0.6787	0.4648	0.6861
A_k8	M25	0.5000	0.3242	0.4346	0.6425
A_k8	M25	10.0000	0.6431	0.4346	0.6425
A_k8	M25	1.0000	0.6030	0.4346	0.6425
A_k8	M25	2.0000	0.6279	0.4346	0.6425
A_k8	M25	5.0000	0.6236	0.4346	0.6425
A_k8	M27	0.5000	0.1695	0.3992	0.5526
A_k8	M27	10.0000	0.5157	0.3992	0.5526
A_k8	M27	1.0000	0.3561	0.3992	0.5526
A_k8	M27	2.0000	0.4751	0.3992	0.5526
A_k8	M27	5.0000	0.5609	0.3992	0.5526
A_k8	M2	0.5000	1.0539	1.5100	1.6844
A_k8	M2	10.0000	1.8486	1.5100	1.6844
A_k8	M2	1.0000	1.4939	1.5100	1.6844
A_k8	M2	2.0000	1.5811	1.5100	1.6844
A_k8	M2	5.0000	1.5464	1.5100	1.6844
A_k8	M3	0.5000	0.5259	1.4380	1.4630
A_k8	M3	10.0000	1.5247	1.4380	1.4630
A_k8	M3	1.0000	1.2850	1.4380	1.4630
A_k8	M3	2.0000	1.3476	1.4380	1.4630
A_k8	M3	5.0000	1.5136	1.4380	1.4630
A_k8	M4	0.5000	0.8737	1.3718	1.5315
A_k8	M4	10.0000	1.5766	1.3718	1.5315
A_k8	M4	1.0000	1.1762	1.3718	1.5315
A_k8	M4	2.0000	1.2961	1.3718	1.5315
A_k8	M4	5.0000	1.3764	1.3718	1.5315
A_k8	M6	0.5000	0.6448	1.3549	1.3298
A_k8	M6	10.0000	1.3640	1.3549	1.3298
A_k8	M6	1.0000	1.1603	1.3549	1.3298
A_k8	M6	2.0000	1.2247	1.3549	1.3298
A_k8	M6	5.0000	1.3252	1.3549	1.3298
A_k8	RUN_OUT	0.5000	0.3201		
A_k8	RUN_OUT	10.0000	0.0495		
A_k8	RUN_OUT	1.0000	0.1722		
A_k8	RUN_OUT	2.0000	0.1497		
A_k8	RUN_OUT	5.0000	0.0461		
E_s104	M10	0.5000		1.1500	1.2108
E_s104	M10	10.0000	1.2494	1.1500	1.2108
E_s104	M10	1.0000	0.7839	1.1500	1.2108
E_s104	M10	2.0000	1.0092	1.1500	1.2108
E_s104	M10	5.0000	1.1723	1.1500	1.2108
E_s104	M12	0.5000	0.2813	1.0220	1.1568
E_s104	M12	10.0000	1.1735	1.0220	1.1568
E_s104	M12	1.0000	1.1225	1.0220	1.1568
E_s104	M12	2.0000	0.8425	1.0220	1.1568
E_s104	M12	5.0000	1.0949	1.0220	1.1568
E_s104	M13	0.5000		0.8612	1.0326
E_s104	M13	10.0000	1.0146	0.8612	1.0326
E_s104	M13	1.0000	0.7485	0.8612	1.0326
E_s104	M13	2.0000	0.7910	0.8612	1.0326
E_s104	M13	5.0000	0.9770	0.8612	1.0326
E_s104	M17	0.5000	0.3570	0.7440	0.7020
E_s104	M17	10.0000	0.6881	0.7440	0.7020
E_s104	M17	1.0000	0.7333	0.7440	0.7020
E_s104	M17	2.0000	0.5297	0.7440	0.7020
E_s104	M17	5.0000	0.6683	0.7440	0.7020
E_s104	M18	0.5000		0.7413	0.8578
E_s104	M18	10.0000	0.8324	0.7413	0.8578
E_s104	M18	1.0000	0.8941	0.7413	0.8578
E_s104	M18	2.0000	0.7757	0.7413	0.8578
E_s104	M18	5.0000	0.8789	0.7413	0.8578
E_s104	M19	0.5000	0.1762	0.5776	0.8862
E_s104	M19	10.0000	0.8527	0.5776	0.8862
E_s104	M19	1.0000	0.6973	0.5776	0.8862
E_s104	M19	2.0000	0.4548	0.5776	0.8862
E_s104	M19	5.0000	0.8308	0.5776	0.8862
E_s104	M1	0.5000		1.7207	1.7250
E_s104	M1	10.0000	1.7730	1.7207	1.7250
E_s104	M1	1.0000	1.3349	1.7207	1.7250
E_s104	M1	2.0000	1.6074	1.7207	1.7250
E_s104	M1	5.0000	1.6907	1.7207	1.7250
E_s104	M22	0.5000	0.0697	0.4892	0.7233
E_s104	M22	10.0000	0.7011	0.4892	0.7233
E_s104	M22	1.0000	0.6315	0.4892	0.7233
E_s104	M22	2.0000	0.7091	0.4892	0.7233
E_s104	M22	5.0000	0.6881	0.4892	0.7233
E_s104	M23	0.5000		0.4770	0.5420
E_s104	M23	10.0000	0.5762	0.4770	0.5420
E_s104	M23	1.0000	0.3093	0.4770	0.5420
E_s104	M23	2.0000	0.4087	0.4770	0.5420
E_s104	M23	5.0000	0.5556	0.4770	0.5420
E_s104	M24	0.5000	0.2122	0.4648	0.6861
E_s104	M24	10.0000	0.6479	0.4648	0.6861
E_s104	M24	1.0000	0.4128	0.4648	0.6861
E_s104	M24	2.0000	0.3466	0.4648	0.6861
E_s104	M24	5.0000	0.6228	0.4648	0.6861
E_s104	M25	0.5000		0.4346	0.6425
E_s104	M25	10.0000	0.6688	0.4346	0.6425
E_s104	M25	1.0000	0.5760	0.4346	0.6425
E_s104	M25	2.0000	0.5082	0.4346	0.6425
E_s104	M25	5.0000	0.5579	0.4346	0.6425
E_s104	M27	0.5000	0.0885	0.3992	0.5526
E_s104	M27	10.0000	0.5188	0.3992	0.5526
E_s104	M27	1.0000	0.5311	0.3992	0.5526
E_s104	M27	2.0000	0.2581	0.3992	0.5526
E_s104	M27	5.0000	0.5773	0.3992	0.5526
E_s104	M2	0.5000	0.7585	1.5100	1.6844
E_s104	M2	10.0000	1.7950	1.5100	1.6844
E_s104	M2	1.0000	1.3260	1.5100	1.6844
E_s104	M2	2.0000	1.4867	1.5100	1.6844
E_s104	M2	5.0000	1.5092	1.5100	1.6844
E_s104	M3	0.5000	0.2666	1.4380	1.4630
E_s104	M3	10.0000	1.5628	1.4380	1.4630
E_s104	M3	1.0000	1.1722	1.4380	1.4630
E_s104	M3	2.0000	1.3481	1.4380	1.4630
E_s104	M3	5.0000	1.4654	1.4380	1.4630
E_s104	M4	0.5000	0.5631	1.3718	1.5315
E_s104	M4	10.0000	1.5122	1.3718	1.5315
E_s104	M4	1.0000	1.0177	1.3718	1.5315
E_s104	M4	2.0000	1.2490	1.3718	1.5315
E_s104	M4	5.0000	1.4422	1.3718	1.5315
E_s104	M6	0.5000	0.7202	1.3549	1.3298
E_s104	M6	10.0000	1.4369	1.3549	1.3298
E_s104	M6	1.0000	0.9905	1.3549	1.3298
E_s104	M6	2.0000	1.1065	1.3549	1.3298
E_s104	M6	5.0000	1.4118	1.3549	1.3298
E_s104	RUN_OUT	0.5000	0.1116		
E_s104	RUN_OUT	10.0000	0.0443		
E_s104	RUN_OUT	1.0000	0.0502		
E_s104	RUN_OUT	2.0000			
E_s104	RUN_OUT	5.0000	0.0237		
E_s123	M10	0.5000		1.1500	1.2108
E_s123	M10	10.0000	1.1996	1.1500	1.2108
E_s123	M10	1.0000	0.8652	1.1500	1.2108
E_s123	M10	2.0000	1.0429	1.1500	1.2108
E_s123	M10	5.0000	1.1588	1.1500	1.2108
E_s123	M12	0.5000	0.2635	1.0220	1.1568
E_s123	M12	10.0000	1.1183	1.0220	1.1568
E_s123	M12	1.0000	1.0130	1.0220	1.1568
E_s123	M12	2.0000	1.1201	1.0220	1.1568
E_s123	M12	5.0000	1.1380	1.0220	1.1568
E_s123	M13	0.5000	0.2851	0.8612	1.0326
E_s123	M13	10.0000	1.0196	0.8612	1.0326
E_s123	M13	1.0000	0.6396	0.8612	1.0326
E_s123	M13	2.0000	0.8744	0.8612	1.0326
E_s123	M13	5.0000	0.9845	0.8612	1.0326
E_s123	M17	0.5000	0.3222	0.7440	0.7020
E_s123	M17	10.0000	0.7073	0.7440	0.7020
E_s123	M17	1.0000	0.7757	0.7440	0.7020
E_s123	M17	2.0000	0.5772	0.7440	0.7020
E_s123	M17	5.0000	0.6694	0.7440	0.7020
E_s123	M18	0.5000	0.1822	0.7413	0.8578
E_s123	M18	10.0000	0.8239	0.7413	0.8578
E_s123	M18	1.0000	0.9119	0.7413	0.8578
E_s123	M18	2.0000	0.8153	0.7413	0.8578
E_s123	M18	5.0000	0.8854	0.7413	0.8578
E_s123	M19	0.5000	0.1719	0.5776	0.8862
E_s123	M19	10.0000	0.8317	0.5776	0.8862
E_s123	M19	1.0000	0.6360	0.5776	0.8862
E_s123	M19	2.0000	0.5022	0.5776	0.8862
E_s123	M19	5.0000	0.8285	0.5776	0.8862
E_s123	M1	0.5000		1.7207	1.7250
E_s123	M1	10.0000	1.7510	1.7207	1.7250
E_s123	M1	1.0000	1.3866	1.7207	1.7250
E_s123	M1	2.0000	1.6370	1.7207	1.7250
E_s123	M1	5.0000	1.7260	1.7207	1.7250
E_s123	M22	0.5000		0.4892	0.7233
E_s123	M22	10.0000	0.7327	0.4892	0.7233
E_s123	M22	1.0000	0.6990	0.4892	0.7233
E_s123	M22	2.0000	0.6786	0.4892	0.7233
E_s123	M22	5.0000	0.6323	0.4892	0.7233
E_s123	M23	0.5000		0.4770	0.5420
E_s123	M23	10.0000	0.5775	0.4770	0.5420
E_s123	M23	1.0000	0.3698	0.4770	0.5420
E_s123	M23	2.0000	0.1692	0.4770	0.5420
E_s123	M23	5.0000	0.5617	0.4770	0.5420
E_s123	M24	0.5000	0.2293	0.4648	0.6861
E_s123	M24	10.0000	0.6556	0.4648	0.6861
E_s123	M24	1.0000	0.2976	0.4648	0.6861
E_s123	M24	2.0000	0.5727	0.4648	0.6861
E_s123	M24	5.0000	0.6439	0.4648	0.6861
E_s123	M25	0.5000		0.4346	0.6425
E_s123	M25	10.0000	0.6648	0.4346	0.6425
E_s123	M25	1.0000	0.5637	0.4346	0.6425
E_s123	M25	2.0000	0.6533	0.4346	0.6425
E_s123	M25	5.0000	0.5747	0.4346	0.6425
E_s123	M27	0.5000		0.3992	0.5526
E_s123	M27	10.0000	0.5263	0.3992	0.5526
E_s123	M27	1.0000	0.4705	0.3992	0.5526
E_s123	M27	2.0000	0.2962	0.3992	0.5526
E_s123	M27	5.0000	0.5676	0.3992	0.5526
E_s123	M2	0.5000	0.8113	1.5100	1.6844
E_s123	M2	10.0000	1.7910	1.5100	1.6844
E_s123	M2	1.0000	1.3415	1.5100	1.6844
E_s123	M2	2.0000	1.6572	1.5100	1.6844
E_s123	M2	5.0000	1.5940	1.5100	1.6844
E_s123	M3	0.5000	0.5277	1.4380	1.4630
E_s123	M3	10.0000	1.5003	1.4380	1.4630
E_s123	M3	1.0000	1.1209	1.4380	1.4630
E_s123	M3	2.0000	1.4207	1.4380	1.4630
E_s123	M3	5.0000	1.4668	1.4380	1.4630
E_s123	M4	0.5000	0.6563	1.3718	1.5315
E_s123	M4	10.0000	1.5086	1.3718	1.5315
E_s123	M4	1.0000	0.9632	1.3718	1.5315
E_s123	M4	2.0000	1.3347	1.3718	1.5315
E_s123	M4	5.0000	1.4805	1.3718	1.5315
E_s123	M6	0.5000	0.3285	1.3549	1.3298
E_s123	M6	10.0000	1.4296	1.3549	1.3298
E_s123	M6	1.0000	1.0585	1.3549	1.3298
E_s123	M6	2.0000	1.2073	1.3549	1.3298
E_s123	M6	5.0000	1.4312	1.3549	1.3298
