arm	medium	cov	surv	lm_win	det_frac	n_win
E_s104	M22	2.0000	True	52.0023	0.5202	437
E_s104	M22	5.0000	True	81.8101	0.8185	437
E_s104	M23	0.5000	False	17.5767	0.1758	437
E_s104	M23	10.0000	True	97.0801	0.9712	437
E_s104	M23	1.0000	True	31.3936	0.3141	437
E_s104	M23	2.0000	True	53.5378	0.5356	437
E_s104	M23	5.0000	True	84.6545	0.8469	437
E_s104	M24	0.5000	True	16.9680	0.1698	437
E_s104	M24	10.0000	True	97.0160	0.9706	437
E_s104	M24	1.0000	True	31.3982	0.3141	437
E_s104	M24	2.0000	True	53.7483	0.5377	437
E_s104	M24	5.0000	True	84.5767	0.8461	437
E_s104	M25	0.5000	False	17.4989	0.1751	437
E_s104	M25	10.0000	True	95.3410	0.9538	437
E_s104	M25	1.0000	True	32.0503	0.3206	437
E_s104	M25	2.0000	True	53.0961	0.5312	437
E_s104	M25	5.0000	True	83.4233	0.8346	437
E_s104	M27	0.5000	True	17.6545	0.1766	437
E_s104	M27	10.0000	True	97.1144	0.9715	437
E_s104	M27	1.0000	True	32.3089	0.3232	437
E_s104	M27	2.0000	True	53.4897	0.5351	437
E_s104	M27	5.0000	True	84.5492	0.8458	437
E_s104	M2	0.5000	True	16.5355	0.1655	437
E_s104	M2	10.0000	True	86.6888	0.8673	437
E_s104	M2	1.0000	True	30.1076	0.3012	437
E_s104	M2	2.0000	True	47.4371	0.4746	437
E_s104	M2	5.0000	True	72.6590	0.7269	437
E_s104	M3	0.5000	True	17.7002	0.1771	437
E_s104	M3	10.0000	True	95.8192	0.9586	437
E_s104	M3	1.0000	True	31.5011	0.3151	437
E_s104	M3	2.0000	True	52.3272	0.5236	437
E_s104	M3	5.0000	True	82.3593	0.8240	437
E_s104	M4	0.5000	True	16.9771	0.1699	437
E_s104	M4	10.0000	True	89.4828	0.8952	437
E_s104	M4	1.0000	True	29.9108	0.2992	437
E_s104	M4	2.0000	True	48.3936	0.4841	437
E_s104	M4	5.0000	True	75.4668	0.7550	437
E_s104	M6	0.5000	True	17.7918	0.1780	437
E_s104	M6	10.0000	True	96.1144	0.9616	437
E_s104	M6	1.0000	True	31.6522	0.3167	437
E_s104	M6	2.0000	True	52.8558	0.5288	437
E_s104	M6	5.0000	True	83.0000	0.8304	437
E_s104	RUN_OUT	0.5000	True	17.8146	0.1782	437
E_s104	RUN_OUT	10.0000	True	92.8192	0.9286	437
E_s104	RUN_OUT	1.0000	True	31.7643	0.3177	437
E_s104	RUN_OUT	2.0000	False	52.2037	0.5223	437
E_s104	RUN_OUT	5.0000	True	81.3501	0.8138	437
E_s123	M10	0.5000	False	17.3577	0.1737	369
E_s123	M10	10.0000	True	96.2276	0.9635	369
E_s123	M10	1.0000	True	31.6775	0.3174	369
E_s123	M10	2.0000	True	52.6369	0.5270	369
E_s123	M10	5.0000	True	82.8103	0.8292	369
E_s123	M12	0.5000	True	16.7805	0.1680	369
E_s123	M12	10.0000	True	91.6098	0.9173	369
E_s123	M12	1.0000	True	30.2304	0.3027	369
E_s123	M12	2.0000	True	49.7046	0.4977	369
