arm	medium	cov	log2ptr	est_cov	passed	growth_rate	pred_log2ptr
E	M4	1	0.8157697892	0.9143917677	False	1.3718	1.5315
C_default	M4	1				1.3718	1.5315
C_relaxed	M4	1	1.6610	1.4468		1.3718	1.5315
A	M6	2	1.197140889	1.690874282	True	1.3549	1.3298
B	M6	2	1.296323077	1.690874282	True	1.3549	1.3298
E	M6	2	1.207806043	1.574348831	False	1.3549	1.3298
C_default	M6	2				1.3549	1.3298
C_relaxed	M6	2	1.4398	1.9033		1.3549	1.3298
A	M3	2	1.342230719	1.682673779	True	1.4380	1.4630
B	M3	2	1.381087633	1.682673779	True	1.4380	1.4630
E	M3	2	1.318122091	1.541877208	False	1.4380	1.4630
C_default	M3	2				1.4380	1.4630
C_relaxed	M3	2	1.3231	1.8517		1.4380	1.4630
A	M2	2	1.44460296	1.88620429	False	1.5100	1.6844
B	M2	2	1.582379246	1.88620429	False	1.5100	1.6844
E	M2	2	1.380760736	1.718496437	False	1.5100	1.6844
C_default	M2	2				1.5100	1.6844
C_relaxed	M2	2	1.8439	1.9772		1.5100	1.6844
A	RUN_OUT	2	0.1023426596	1.75839801	False		
B	RUN_OUT	2	0.6259240976	1.760748148	False		
E	RUN_OUT	2			False		
C_default	RUN_OUT	2					
C_relaxed	RUN_OUT	2	0.6461	2.0438			
A	M27	2	0.4585948548	1.625455062	True	0.3992	0.5526
B	M27	2	0.6831792964	1.639948342	True	0.3992	0.5526
E	M27	2	0.3970693902	1.54348017	True	0.3992	0.5526
C_default	M27	2				0.3992	0.5526
C_relaxed	M27	2	0.6476	1.8931		0.3992	0.5526
A	M25	2	0.6545199943	1.673546202	True	0.4346	0.6425
B	M25	2	0.873693689	1.682446526	True	0.4346	0.6425
E	M25	2	0.6277663254	1.583326154	True	0.4346	0.6425
C_default	M25	2				0.4346	0.6425
C_relaxed	M25	2	0.9518	1.9640		0.4346	0.6425
A	M24	2	0.7815667646	1.647695702	False	0.4648	0.6861
B	M24	2	0.8605638751	1.642268496	True	0.4648	0.6861
E	M24	2	0.6940226068	1.560362545	True	0.4648	0.6861
C_default	M24	2				0.4648	0.6861
C_relaxed	M24	2	1.0522	1.9224		0.4648	0.6861
A	M22	2	0.6978279332	1.768072014	True	0.4892	0.7233
B	M22	2	0.839663204	1.760796298	True	0.4892	0.7233
E	M22	2	0.7344908536	1.597391888	False	0.4892	0.7233
C_default	M22	2				0.4892	0.7233
C_relaxed	M22	2	1.1003	1.9567		0.4892	0.7233
A	M23	2	0.528494435	1.72710254	False	0.4770	0.5420
B	M23	2	0.7781547132	1.72710254	False	0.4770	0.5420
E	M23	2	0.4639714947	1.577923715	True	0.4770	0.5420
C_default	M23	2				0.4770	0.5420
C_relaxed	M23	2	0.8106	1.8831		0.4770	0.5420
A	M19	2	0.6760302809	1.644581351	False	0.5776	0.8862
B	M19	2	1.123393951	1.638920693	False	0.5776	0.8862
E	M19	2			False	0.5776	0.8862
