species	sample	slope	slope_prox	intercept	n_anchors	r2	median_df
MGYG000000695	S01	0.148849	-0.148849	0.61244	147	0.0027	0.909091
MGYG000000707	S01	-0.074708	0.074708	0.548512	84	0.0007	0.663636
MGYG000000723	S01	-0.009435	0.009435	0.500561	813	0.0	0.6
MGYG000000741	S01	0.189928	-0.189928	0.290306	44	0.0061	0.333333
MGYG000000743	S01	0.039694	-0.039694	0.213211	193	0.0004	0.0
MGYG000000781	S01	-0.109759	0.109759	0.632468	44	0.0019	0.763889
MGYG000000788	S01	-0.617257	0.617257	0.816698	52	0.0757	0.75
MGYG000000823	S01	-0.178283	0.178283	0.517743	99	0.0048	0.5
MGYG000000839	S01	0.34928	-0.34928	0.319501	50	0.0251	0.5
MGYG000000841	S01	-0.015761	0.015761	0.439131	348	0.0	0.5
MGYG000000884	S01	-0.1175	0.1175	0.389287	375	0.0028	0.5
MGYG000001029	S01	-0.172149	0.172149	0.5622	429	0.0046	0.666667
MGYG000001131	S01	-0.134928	0.134928	0.754788	24	0.003	0.818182
MGYG000001136	S01	-0.125666	0.125666	0.423906	736	0.0029	0.5
MGYG000001146	S01	-0.402661	0.402661	0.5661	29	0.0364	0.545455
MGYG000001178	S01	-0.292955	0.292955	0.240476	47	0.018	0.0
MGYG000001193	S01	-0.474765	0.474765	0.32745	56	0.054	0.0
MGYG000001202	S01	-0.441833	0.441833	0.680694	124	0.033	0.666667
MGYG000001246	S01	-0.25361	0.25361	0.265857	106	0.0205	0.0
MGYG000001254	S01	-0.253436	0.253436	0.394634	69	0.0153	0.333333
MGYG000001255	S01	-0.215265	0.215265	0.478872	222	0.0073	0.5
MGYG000001294	S01	-0.103871	0.103871	0.248534	292	0.0022	0.0
MGYG000001300	S01	-0.129586	0.129586	0.479723	633	0.0026	0.5
MGYG000001306	S01	-0.06278	0.06278	0.835468	1572	0.0013	0.928571
MGYG000001315	S01	-0.039049	0.039049	0.455022	470	0.0003	0.5
MGYG000001331	S01	-0.104189	0.104189	0.120732	50	0.0045	0.0
MGYG000001337	S01	0.786889	-0.786889	0.444415	118	0.0644	0.882353
MGYG000001345	S01	-0.033792	0.033792	0.554613	1299	0.0002	0.666667
MGYG000001346	S01	-0.041099	0.041099	0.828159	1991	0.0005	0.931507
MGYG000001359	S01	0.114349	-0.114349	0.244065	625	0.0032	0.0
MGYG000001361	S01	-0.01982	0.01982	0.631519	1785	0.0001	0.75
MGYG000001364	S01	-0.010683	0.010683	0.825138	710	0.0	0.944444
MGYG000001365	S01	-0.139559	0.139559	0.753146	904	0.0041	0.853571
MGYG000001370	S01	0.377856	-0.377856	0.545995	166	0.0148	0.84413
MGYG000001372	S01	-0.164818	0.164818	0.713605	478	0.0049	0.833333
MGYG000001374	S01	-0.261338	0.261338	0.292394	240	0.0164	0.0
MGYG000001378	S01	0.064281	-0.064281	0.595244	1704	0.0008	0.727273
MGYG000001385	S01	0.056132	-0.056132	0.451686	1493	0.0006	0.5
MGYG000001387	S01	-0.257036	0.257036	0.267397	94	0.0148	0.0
MGYG000001420	S01	-0.054728	0.054728	0.543623	1835	0.0005	0.666667
MGYG000001422	S01	-0.101885	0.101885	0.757013	278	0.0017	0.875
MGYG000001433	S01	-0.00827	0.00827	0.683413	1671	0.0	0.818182
MGYG000001489	S01	-0.243971	0.243971	0.595271	1784	0.0108	0.666667
MGYG000001493	S01	-0.822585	0.822585	0.554199	59	0.0989	0.5
MGYG000001512	S01	-0.746621	0.746621	0.672552	36	0.0611	0.6
MGYG000001527	S01	-0.177559	0.177559	0.551311	63	0.0042	0.666667
MGYG000001552	S01	-1.319978	1.319978	0.695465	51	0.2837	0.5
MGYG000001565	S01	0.084227	-0.084227	0.343863	343	0.0014	0.5
MGYG000001576	S01	-0.826337	0.826337	0.437784	64	0.1193	0.0
MGYG000001627	S01	-0.124641	0.124641	0.361019	389	0.0023	0.333333
MGYG000001655	S01	-0.012708	0.012708	0.539828	739	0.0	0.666667
MGYG000001661	S01	0.08183	-0.08183	0.593709	116	0.0011	0.75
MGYG000001663	S01	-0.559696	0.559696	0.641299	41	0.0518	0.6
MGYG000001707	S01	-0.545971	0.545971	0.431404	130	0.0489	0.0
MGYG000001714	S01	0.228261	-0.228261	0.225815	262	0.0087	0.0
MGYG000001750	S01	0.091104	-0.091104	0.678166	30	0.0014	0.809091
MGYG000001763	S01	-0.087849	0.087849	0.752111	571	0.0012	0.928571
MGYG000001780	S01	-0.134263	0.134263	0.595665	184	0.0028	0.7
MGYG000001835	S01	-0.302971	0.302971	0.75264	87	0.0128	0.888889
MGYG000001927	S01	-1.467687	1.467687	1.004037	39	0.1464	0.945455
MGYG000001983	S01	-0.595728	0.595728	0.631058	34	0.0373	0.6
MGYG000002033	S01	-0.131373	0.131373	0.660501	300	0.0033	0.759615
MGYG000002040	S01	0.211029	-0.211029	0.409208	337	0.0069	0.5
MGYG000002060	S01	-0.046864	0.046864	0.206534	89	0.0006	0.0
MGYG000002080	S01	-0.076193	0.076193	0.727902	405	0.0007	0.977273
MGYG000002082	S01	-0.17082	0.17082	0.57303	135	0.0052	0.666667
MGYG000002098	S01	-0.057162	0.057162	0.123824	78	0.0015	0.0
MGYG000002102	S01	0.401595	-0.401595	0.315245	40	0.0346	0.5
MGYG000002203	S01	-0.308984	0.308984	0.618468	100	0.0154	0.690476
MGYG000002271	S01	-0.228838	0.228838	0.476722	147	0.008	0.5
MGYG000002272	S01	-0.128377	0.128377	0.399689	633	0.003	0.5
MGYG000002278	S01	-0.380209	0.380209	0.460106	160	0.016	0.333333
MGYG000002279	S01	0.01367	-0.01367	0.440879	482	0.0	0.5
MGYG000002280	S01	-0.549146	0.549146	0.483438	169	0.0428	0.333333
MGYG000002282	S01	-0.193059	0.193059	0.483576	144	0.0058	0.5
MGYG000002286	S01	-0.075304	0.075304	0.454248	398	0.001	0.5
MGYG000002287	S01	-0.495894	0.495894	0.616296	132	0.0353	0.585714
MGYG000002291	S01	-0.148888	0.148888	0.518357	925	0.0037	0.571429
MGYG000002295	S01	-0.475843	0.475843	0.724117	126	0.0319	0.822917
MGYG000002298	S01	-0.238862	0.238862	0.356762	517	0.0112	0.333333
MGYG000002300	S01	0.201566	-0.201566	0.614413	110	0.0048	0.811765
MGYG000002303	S01	-0.458088	0.458088	0.506068	93	0.0367	0.5
MGYG000002304	S01	0.135337	-0.135337	0.325885	294	0.0036	0.5
MGYG000002320	S01	-0.637285	0.637285	0.393488	72	0.0724	0.0
MGYG000002321	S01	-0.066937	0.066937	0.607172	608	0.0008	0.714286
MGYG000002340	S01	-0.34997	0.34997	0.341595	127	0.0235	0.0
MGYG000002353	S01	1.411562	-1.411562	-0.058661	69	0.2341	0.0
MGYG000002394	S01	0.321786	-0.321786	0.525281	152	0.0117	0.833333
MGYG000002448	S01	0.264543	-0.264543	0.151948	131	0.0144	0.0
MGYG000002470	S01	-0.015826	0.015826	0.578804	778	0.0	0.714286
MGYG000002480	S01	-0.131373	0.131373	0.179897	152	0.006	0.0
MGYG000002487	S01	-0.089954	0.089954	0.15909	64	0.0028	0.0
MGYG000002492	S01	-0.183656	0.183656	0.743682	660	0.0074	0.833333
MGYG000002506	S01	-0.081655	0.081655	0.148003	106	0.0028	0.0
MGYG000002517	S01	0.106317	-0.106317	0.540683	965	0.002	0.666667
MGYG000002545	S01	-0.025318	0.025318	0.478438	1013	0.0001	0.5
MGYG000002549	S01	-0.055966	0.055966	0.666158	1441	0.0007	0.777778
MGYG000002560	S01	-0.497189	0.497189	0.818151	35	0.0508	0.777778
MGYG000002561	S01	0.221237	-0.221237	0.534078	85	0.0074	0.727273
MGYG000002568	S01	-0.35708	0.35708	0.765703	43	0.0134	0.875
MGYG000002585	S01	-0.405614	0.405614	0.752495	68	0.0261	0.845238
MGYG000002603	S01	-0.081645	0.081645	0.759827	369	0.0012	0.973684
MGYG000002610	S01	0.01422	-0.01422	0.448958	287	0.0	0.5
MGYG000002617	S01	-0.14835	0.14835	0.332401	202	0.0042	0.166667
MGYG000002619	S01	0.029402	-0.029402	0.454386	436	0.0001	0.5
MGYG000002641	S01	-0.000156	0.000156	0.441498	472	0.0	0.5
MGYG000002653	S01	-1.022189	1.022189	0.915953	55	0.0882	0.884615
MGYG000002670	S01	-0.221365	0.221365	0.703787	257	0.0078	0.818182
MGYG000002675	S01	-0.346609	0.346609	0.703316	23	0.0174	0.75
MGYG000002689	S01	-0.216624	0.216624	0.20513	167	0.0159	0.0
MGYG000002691	S01	0.048524	-0.048524	0.389985	45	0.0002	0.5
MGYG000002715	S01	-0.414408	0.414408	0.536177	152	0.0273	0.5
MGYG000002882	S01	0.232495	-0.232495	0.348898	140	0.0082	0.5
MGYG000002926	S01	-0.233937	0.233937	0.411595	255	0.0125	0.5
MGYG000002933	S01	0.202239	-0.202239	0.663113	27	0.0046	0.882353
MGYG000002990	S01	-0.405575	0.405575	0.235291	57	0.0576	0.0
MGYG000002992	S01	-0.085687	0.085687	0.42243	86	0.0015	0.5
MGYG000003017	S01	-0.125431	0.125431	0.736904	441	0.0028	0.863636
MGYG000003019	S01	0.204374	-0.204374	0.501652	59	0.0084	0.666667
MGYG000003022	S01	-0.148853	0.148853	0.188099	76	0.0075	0.0
MGYG000003224	S01	0.009167	-0.009167	0.155179	258	0.0	0.0
MGYG000003311	S01	0.22521	-0.22521	0.420551	43	0.0157	0.5
MGYG000003552	S01	0.028015	-0.028015	0.764442	292	0.0002	0.908034
MGYG000003591	S01	-0.037134	0.037134	0.590891	28	0.0003	0.690476
MGYG000003656	S01	-0.121055	0.121055	0.178782	223	0.0048	0.0
MGYG000003662	S01	-0.583628	0.583628	0.933692	64	0.0892	0.965517
MGYG000003681	S01	-0.08845	0.08845	0.731484	1549	0.0017	0.846154
MGYG000003694	S01	-0.034176	0.034176	0.430441	590	0.0002	0.5
MGYG000003695	S01	-0.154758	0.154758	0.345893	389	0.0049	0.333333
MGYG000003916	S01	0.046163	-0.046163	0.15394	163	0.0008	0.0
MGYG000003925	S01	0.083623	-0.083623	0.210963	183	0.0019	0.0
MGYG000003948	S01	0.062216	-0.062216	0.468185	29	0.0007	0.5
MGYG000003952	S01	-0.428862	0.428862	0.675482	69	0.036	0.666667
MGYG000004004	S01	0.382177	-0.382177	0.363689	41	0.0293	0.6
MGYG000004006	S01	0.023731	-0.023731	0.583984	166	0.0001	0.714286
MGYG000004016	S01	0.318833	-0.318833	0.027282	54	0.0356	0.0
MGYG000004019	S01	0.195002	-0.195002	0.666489	90	0.0061	0.895526
MGYG000004071	S01	-0.269062	0.269062	0.535577	37	0.0138	0.5
MGYG000004111	S01	-0.091376	0.091376	0.466793	361	0.0016	0.5
MGYG000004114	S01	-0.481438	0.481438	0.337536	150	0.0441	0.0
MGYG000004159	S01	-0.243607	0.243607	0.169122	102	0.0209	0.0
MGYG000004172	S01	-0.230884	0.230884	0.45852	24	0.0053	0.5
MGYG000004188	S01	-0.563453	0.563453	0.744967	59	0.0311	0.75
MGYG000004196	S01	-0.180134	0.180134	0.459706	289	0.005	0.5
MGYG000004222	S01	-0.099702	0.099702	0.672633	78	0.0025	0.720779
MGYG000004250	S01	-0.025075	0.025075	0.719335	452	0.0001	0.868116
MGYG000004253	S01	-0.220218	0.220218	0.349316	106	0.0114	0.0
MGYG000004262	S01	-0.295512	0.295512	0.321939	175	0.0201	0.0
MGYG000004271	S01	0.10844	-0.10844	0.608527	584	0.0023	0.766968
MGYG000004276	S01	-0.083527	0.083527	0.483348	764	0.0013	0.5
MGYG000004317	S01	-0.223047	0.223047	0.359854	169	0.0115	0.333333
MGYG000004323	S01	0.028959	-0.028959	0.807957	888	0.0003	0.925926
MGYG000004390	S01	-0.009807	0.009807	0.677911	111	0.0	0.925926
MGYG000004526	S01	-0.116264	0.116264	0.345131	575	0.0027	0.333333
MGYG000004534	S01	-0.159145	0.159145	0.573733	62	0.0058	0.645833
MGYG000004536	S01	-0.115682	0.115682	0.608757	72	0.0018	0.714286
MGYG000004544	S01	0.37149	-0.37149	0.535676	121	0.0156	0.8
MGYG000004582	S01	0.093349	-0.093349	0.277948	177	0.0018	0.333333
MGYG000004632	S01	-0.873309	0.873309	0.784925	20	0.1257	0.683333
MGYG000004673	S01	-1.167413	1.167413	0.537308	23	0.3461	0.0
MGYG000004676	S01	-0.07324	0.07324	0.766689	22	0.0007	0.92266
MGYG000004677	S01	-0.430829	0.430829	0.386189	39	0.034	0.333333
MGYG000004740	S01	0.375283	-0.375283	0.372977	66	0.0141	0.666667
MGYG000004748	S01	-0.401653	0.401653	0.779869	72	0.0318	0.777778
MGYG000004763	S01	1.314179	-1.314179	0.323912	32	0.2122	0.825758
MGYG000004824	S01	-0.155973	0.155973	0.660799	20	0.0027	0.833333
MGYG000004866	S01	0.174676	-0.174676	0.250783	92	0.0062	0.1
MGYG000004876	S01	-0.031814	0.031814	0.526067	73	0.0001	0.6
MGYG000004880	S01	-0.053784	0.053784	0.395952	20	0.0005	0.291667
MGYG000004885	S01	-0.146588	0.146588	0.70434	32	0.0013	0.818182
MGYG000004899	S01	0.125745	-0.125745	0.61445	72	0.0015	0.763889
MGYG000000002	S06	-0.162314	0.162314	0.429228	460	0.0049	0.5
MGYG000000003	S06	-0.124902	0.124902	0.591185	807	0.0026	0.666667
MGYG000000013	S06	0.132157	-0.132157	0.586899	649	0.003	0.75
MGYG000000018	S06	-0.259429	0.259429	0.674799	174	0.0117	0.777778
MGYG000000022	S06	-0.015241	0.015241	0.51221	846	0.0	0.6
MGYG000000029	S06	-0.10151	0.10151	0.483853	931	0.0018	0.5
MGYG000000031	S06	0.098388	-0.098388	0.485947	256	0.0016	0.607692
MGYG000000033	S06	-0.766501	0.766501	0.427565	136	0.1168	0.0
MGYG000000034	S06	-0.348661	0.348661	0.272754	125	0.0325	0.0
MGYG000000038	S06	0.178719	-0.178719	0.450291	193	0.0054	0.6
MGYG000000041	S06	-0.086941	0.086941	0.721112	1087	0.0018	0.818182
MGYG000000044	S06	0.048463	-0.048463	0.804203	1945	0.0008	0.927273
MGYG000000050	S06	0.033482	-0.033482	0.465168	131	0.0001	0.5
MGYG000000051	S06	-0.326058	0.326058	0.573136	218	0.014	0.6125
MGYG000000053	S06	-0.074908	0.074908	0.656509	71	0.0009	0.75
MGYG000000060	S06	-0.12627	0.12627	0.537485	246	0.0029	0.6
MGYG000000065	S06	-0.127226	0.127226	0.45776	55	0.0029	0.5
MGYG000000069	S06	-0.197084	0.197084	0.348529	270	0.0086	0.333333
MGYG000000070	S06	-0.489777	0.489777	0.742975	266	0.035	0.785714
MGYG000000074	S06	0.034193	-0.034193	0.713069	2882	0.0002	0.863636
MGYG000000077	S06	-0.235106	0.235106	0.487619	102	0.0114	0.5
MGYG000000086	S06	0.064754	-0.064754	0.411438	122	0.0006	0.5
MGYG000000092	S06	0.156977	-0.156977	0.263234	516	0.0045	0.0
MGYG000000099	S06	-0.03408	0.03408	0.472046	676	0.0002	0.5
MGYG000000105	S06	0.164833	-0.164833	0.669202	209	0.0042	0.846154
MGYG000000113	S06	-0.063085	0.063085	0.234107	105	0.0008	0.0
MGYG000000128	S06	-0.392274	0.392274	0.757207	150	0.0272	0.857143
MGYG000000131	S06	-0.86562	0.86562	0.479536	56	0.1219	0.0
MGYG000000137	S06	-0.047545	0.047545	0.266786	452	0.0004	0.0
MGYG000000138	S06	-0.105618	0.105618	0.81489	623	0.0026	0.923077
MGYG000000141	S06	0.108656	-0.108656	0.311946	307	0.002	0.2
MGYG000000142	S06	-0.090526	0.090526	0.662587	664	0.0015	0.777778
MGYG000000144	S06	-0.255361	0.255361	0.440664	859	0.0131	0.5
MGYG000000146	S06	-0.028168	0.028168	0.427928	352	0.0001	0.5
MGYG000000153	S06	0.134954	-0.134954	0.684857	64	0.0053	0.866071
MGYG000000154	S06	-0.824016	0.824016	0.567679	149	0.0834	0.0
MGYG000000164	S06	-0.451784	0.451784	0.554448	194	0.0305	0.5
MGYG000000168	S06	-0.2465	0.2465	0.722055	114	0.012	0.825758
MGYG000000169	S06	0.073155	-0.073155	0.716848	241	0.0013	0.857143
MGYG000000170	S06	-0.214002	0.214002	0.590458	1804	0.0081	0.666667
MGYG000000176	S06	0.099314	-0.099314	0.560492	30	0.0021	0.633333
MGYG000000177	S06	-0.075558	0.075558	0.534494	617	0.0009	0.666667
MGYG000000178	S06	-0.275759	0.275759	0.524132	130	0.0127	0.5
MGYG000000183	S06	-0.538271	0.538271	0.765853	332	0.0604	0.777778
MGYG000000184	S06	-0.416615	0.416615	0.559036	172	0.0217	0.5
MGYG000000189	S06	0.097107	-0.097107	0.724034	719	0.0028	0.857143
MGYG000000190	S06	-0.144791	0.144791	0.6146	983	0.004	0.714286
MGYG000000192	S06	-0.009972	0.009972	0.167199	469	0.0	0.0
MGYG000000194	S06	0.241819	-0.241819	0.317251	276	0.0068	0.333333
MGYG000000195	S06	-0.342156	0.342156	0.524244	882	0.015	0.5
MGYG000000196	S06	0.02501	-0.02501	0.709947	2020	0.0001	0.85
MGYG000000200	S06	-0.003055	0.003055	0.538145	236	0.0	0.666667
MGYG000000201	S06	-0.247536	0.247536	0.515962	206	0.0089	0.5
MGYG000000203	S06	-0.184929	0.184929	0.567158	703	0.0071	0.666667
MGYG000000205	S06	-0.573772	0.573772	0.535636	631	0.0575	0.5
MGYG000000206	S06	-0.020971	0.020971	0.307183	267	0.0001	0.0
MGYG000000208	S06	0.163624	-0.163624	0.732082	216	0.0066	0.88549
MGYG000000211	S06	0.115496	-0.115496	0.606077	706	0.0026	0.75
MGYG000000212	S06	0.204599	-0.204599	0.367254	551	0.0075	0.5
MGYG000000217	S06	-0.038038	0.038038	0.681493	1069	0.0003	0.8
MGYG000000220	S06	0.123402	-0.123402	0.327822	186	0.0025	0.5
MGYG000000222	S06	-0.084635	0.084635	0.70259	56	0.001	0.833333
MGYG000000224	S06	0.157336	-0.157336	0.718932	157	0.0049	0.9
MGYG000000229	S06	-0.006197	0.006197	0.388347	409	0.0	0.5
MGYG000000231	S06	0.074552	-0.074552	0.571669	597	0.0012	0.714286
MGYG000000242	S06	0.398445	-0.398445	0.257584	270	0.02	0.333333
MGYG000000245	S06	0.004621	-0.004621	0.491915	162	0.0	0.5
MGYG000000249	S06	-0.245548	0.245548	0.546969	390	0.0117	0.5
MGYG000000251	S06	-0.136671	0.136671	0.474458	1032	0.0035	0.5
MGYG000000252	S06	-0.456523	0.456523	0.451919	218	0.0359	0.125
MGYG000000254	S06	-0.068188	0.068188	0.739226	1451	0.001	0.853659
MGYG000000255	S06	-0.014141	0.014141	0.347868	435	0.0	0.333333
MGYG000000258	S06	-0.055567	0.055567	0.682147	654	0.0006	0.8
MGYG000000259	S06	0.109047	-0.109047	0.290783	242	0.0017	0.0
MGYG000000265	S06	-0.09092	0.09092	0.493882	956	0.0016	0.5
MGYG000000268	S06	0.333593	-0.333593	0.414857	109	0.0136	0.6
MGYG000000273	S06	-0.062637	0.062637	0.930428	1304	0.0027	0.972222
MGYG000000280	S06	-0.152048	0.152048	0.327446	296	0.0039	0.0
MGYG000000304	S06	-0.218662	0.218662	0.369761	90	0.0134	0.5
MGYG000000343	S06	-0.718816	0.718816	0.906446	71	0.0547	0.842105
MGYG000000344	S06	0.032278	-0.032278	0.188549	213	0.0002	0.0
MGYG000000359	S06	-0.061378	0.061378	0.199387	154	0.0008	0.0
MGYG000000364	S06	-0.19276	0.19276	0.656684	112	0.0065	0.75
MGYG000000366	S06	-0.023756	0.023756	0.292843	657	0.0001	0.25
MGYG000000389	S06	-0.634627	0.634627	0.758783	25	0.0399	0.833333
MGYG000000404	S06	0.071953	-0.071953	0.198645	136	0.0013	0.0
MGYG000000414	S06	-0.084698	0.084698	0.618192	43	0.0009	0.777778
MGYG000000417	S06	-0.137696	0.137696	0.493944	24	0.0009	0.5
MGYG000000429	S06	0.08847	-0.08847	0.458574	776	0.0014	0.5
MGYG000000476	S06	0.232786	-0.232786	0.275803	46	0.0113	0.5
MGYG000000515	S06	0.085894	-0.085894	0.71689	31	0.0024	0.833333
MGYG000000530	S06	0.066511	-0.066511	0.148284	234	0.0014	0.0
MGYG000000534	S06	0.693223	-0.693223	0.492765	38	0.0831	0.869748
MGYG000000537	S06	-0.306979	0.306979	0.260287	113	0.0225	0.0
MGYG000000553	S06	-0.326933	0.326933	0.795351	202	0.0147	0.968343
MGYG000000583	S06	-0.281541	0.281541	0.736417	140	0.0142	0.818182
MGYG000000616	S06	0.05141	-0.05141	0.209551	146	0.0006	0.0
MGYG000000636	S06	0.365278	-0.365278	0.506458	37	0.0247	0.833333
MGYG000000643	S06	-0.129474	0.129474	0.194587	126	0.0055	0.0
MGYG000000652	S06	-0.521986	0.521986	0.864849	62	0.0371	0.93833
