sample-id	S_8123220	S_0313206	S_8123213	S_1411224	S_1313229	S_8123225	S_1413229	S_8123218	S_8221232	S_1413216	S_1413230	S_0313216	S_8221227	S_1211212	S_1313218	S_1313221	S_1313202	S_8123214	S_8123227	S_0313222	S_1213209	S_0313218	S_8221222	S_1213218	S_1211209	S_1213211	S_1313223	S_1413233	S_1413221	S_8221213	S_8222219	S_8123226	S_1413231	S_1311202	S_8123202	S_0313207	S_8221231	S_1212203
s__Actinomyces_oris_A	203827	149466	298022	3977982	308529	7538862	1977021	518037	6453118	120544	291535	1789981	602766	311931	224479	55133	381583	525548	45498	245744	2609095	1167772	86963	777791	452315	11419424	794712	282072	5282950	139927	1517631	4534786	5364733	235280	17920	177203	938232	2839789
s__Actinomyces_oris_B	62207	79419	54855	79601	51431	92615	1763118	212333	68083	33542	127396	24600	23262	29269	24048	27366	11303	92640	45999	8352	53422	24211	12768	203447	254530	94701	5351	4671	89203	24830	158083	70163	91791	70158	5346	42975	60096	139280
s__Actinomyces_oris_C	352577	112213	278941	776460	75646	298917	1202737	145705	411446	143503	234400	366734	112026	97131	70641	309880	63817	135684	187570	44410	117751	119852	53283	520882	289901	226206	76820	37205	203287	89408	105477	208412	626797	115166	18320	68319	120204	219288
s__Actinomyces_oris_D	55897	58814	23023	30114	1897840	1159077	24199830	72052	45856	95418	1487763	34741	58154	24057	1532530	18144	135754	89324	23050	207688	1430270	27613	7329	18430	134098	4409360	6292	23603	97522	27533	51966	284570	64233	94878	156083	2349696	26342	82276
s__Actinomyces_oris_E	1079283	3164817	1839793	525915	819026	2669339	1810822	19240	502098	98522	1896687	591866	442397	429819	926548	508121	170993	1833239	127528	394091	1258549	531921	298435	772703	3054713	1932108	121174	382889	4400658	1567059	431590	933761	455199	126130	19321	594801	302887	6518688
s__Actinomyces_sp000195595	1737602	8052	9890	400224	11907	590474	199521	284842	778958	1852075	216788	263891	11731	646492	395403	6115	378222	129030	55419	4291	103202	110669	64945	226418	669721	91898	84322	767997	494927	193426	755798	31028	814172	11610	7668	134192	20833	1615739
s__Actinomyces_sp000220835	30553	0	1632865	172563	41525	32109	30960	0	113884	1024964	63124	134810	25869	56334	122870	25361	5271	0	2613784	0	113453	0	109320	686620	1942618	541279	246710	21903	43198	385170	13717	373504	240997	0	44148	4217	8714	33731
s__Actinomyces_sp001278845	0	1690	7147	16563	5924	41541	18436	0	109774	5587	5062	28214	3399	29871	11824	0	15204	10450	31768	0	12105	24211	46548	0	32589	90497	6322	5631	24155	3564	57373	2823	18939	8087	10812	6902	0	9509
s__Actinomyces_sp002999235	0	0	0	0	0	0	31962	8969	43553	0	0	0	72492	14835	12124	0	0	0	9059	0	0	0	50871	11820	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_sp011751985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7598	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_sp011752065	7633	8092	4615	12045	0	0	35469	7376	5156	0	6863	14157	0	0	10321	0	0	0	0	0	7773	0	0	0	8864	0	0	0	25759	0	0	13612	32968	0	0	12822	0	7737
s__Actinomyces_sp900323545	41071	21205	13113	43765	252781	406672	152829	31967	30437	70688	45918	21286	7209	48114	24749	64556	16504	14971	14431	4221	45819	8404	15482	27045	65780	47551	11303	19602	42497	724054	34043	15614	126626	9198	9881	36363	21334	67862
s__Actinomyces_timonensis	0	0	0	0	0	0	16432	0	0	6708	0	0	0	14735	0	0	4221	0	0	0	0	0	0	0	0	0	0	2740	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_viscosus	23040	11103	0	8020	0	28898	25650	15533	23729	23029	4562	14459	0	0	0	33280	4821	0	0	2381	6863	0	9119	0	6448	42946	0	5721	11426	13116	0	14313	79164	0	3594	0	0	18717
s__Bowdeniella_nasicola_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19808	0	0	0	0	0	0	0	0	0	0	9098	0	0	0	0	0	0
s__KH17_sp900199505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11425	0	0	0	0	0	0	0	0	0	0	0	0	75768	0	0	0	0	42868	0
s__Pauljensenia_bouchesdurhonensis	51389	14303	1304621	10540	215579	190882	96689	1475338	38146	30338	559839	18575	103757	362745	384987	107237	191718	94046	8609	162386	341850	81238	14779	6451623	22862	9050	61716	59707	60738	26933	142201	139109	232411	36030	97307	682908	30448	23221
s__Pauljensenia_cardiffensis	0	0	0	0	0	0	12825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10505	0	0	0	0	2791	0	0	0	0	0	0	0	0	11720	0	0
s__Pauljensenia_culturomici	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14906	0	0	0	0	0	0	0	6094	0	0	0	0	0	0	0	0	0
s__Pauljensenia_georgiae	102163	13603	17918	41055	24015	0	46891	39082	37946	247442	19607	11647	38602	97632	56112	43204	0	0	16736	0	6243	49223	59818	16928	1432992	68773	8962	5371	6485	9321	26033	11310	56417	0	11413	20235	0	19818
s__Pauljensenia_hongkongensis	180826	166375	610159	435535	90455	0	115283	32168	448787	122057	124153	293125	58856	750758	85671	76986	814736	69530	598484	33107	165218	52925	22218	254091	254743	308545	96625	24503	156566	311766	28737	40537	192711	52443	44849	76734	0	597058
s__Pauljensenia_hyovaginalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5912	0	0	0	0	0	0	5038	0	0	0	22203	0	0	0	0	36375	0	0	0	0	0
s__Pauljensenia_marseillensis	150459	21505	825709	44869	352417	543459	76549	268356	452505	113751	315878	52714	137807	339873	476566	121930	887978	141654	441505	670037	1015194	107281	159264	230748	33491	43847	28307	734762	827237	81598	298791	743681	92091	189046	118566	164060	240280	82776
s__Pauljensenia_mediterranea	0	0	0	0	0	0	0	0	0	3685	14005	0	0	0	4890	0	0	0	0	2911	6803	0	0	0	0	0	0	10401	0	0	0	6906	0	0	0	0	0	0
s__Pauljensenia_meyeri	0	0	9490	0	43727	73851	58614	0	0	5126	34813	0	5043	0	5992	25462	35709	78874	0	6001	36515	19709	0	12721	0	0	93424	22003	5903	7379	110905	25623	0	0	16218	170462	0	0
s__Pauljensenia_odontolytica	14325	25506	99500	43163	440314	281334	89174	49805	60674	59574	161865	54923	25267	51723	49098	29672	89123	67621	63737	192347	308295	31215	24430	125516	24667	66972	73419	404908	85194	37445	98525	432706	73653	27623	82991	199366	97956	51948
s__Pauljensenia_odontolytica_A	301424	493764	920701	464993	3670057	557669	485590	1615771	1339463	466595	606823	2260360	573159	347993	618097	321079	1518643	346866	533196	297676	1456573	340511	320878	1994811	146782	490246	376462	453576	402892	329211	331363	4791885	1439135	177749	331611	1124586	1301098	590039
s__Pauljensenia_odontolytica_B	229214	462676	944380	883477	776070	1301734	2255437	403449	254002	1006654	1001256	68177	536449	348488	1365767	1011142	516274	978569	1139377	1205878	3692212	461923	622902	188844	1003984	2145907	579462	2009643	654351	96416	2773214	5620804	154927	93177	2380437	1243979	3169720	219242
s__Pauljensenia_odontolytica_C	1391095	600944	377496	459020	1666427	445234	329926	313895	290091	183745	622732	234234	233146	417803	264450	321353	163753	224272	955891	345127	590519	2005307	692554	1056210	111544	481181	300410	623432	215012	304867	774868	840550	149027	1574035	488673	498167	1221619	255631
s__Pauljensenia_polynesiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11805	0	0	0	0	0	6112	0	0	0	0	0	0	0	0	0	0	0
s__Pauljensenia_pyogenes_A	2131440	98124	1932237	897725	1076433	905635	648805	693289	31138	76795	263185	74302	853017	553335	344382	363776	310256	164804	697520	1278185	314507	2333682	1308972	837880	58961	2907114	2796568	104397	438723	297878	3172831	4832509	200430	854150	1530875	1408839	689467	63959
s__Pauljensenia_sp000185285	477234	12603	347267	29210	91556	335825	171011	72853	278960	57872	72428	695380	48328	85102	61723	181505	64617	43908	234045	109832	237686	55226	10958	166936	27876	106669	153096	143862	117649	385006	152918	217355	168916	13911	45450	120519	319991	112081
s__Pauljensenia_sp000278725	383998	2509356	8116727	3386730	30727825	13542252	4298300	6222942	3098654	1668403	14981359	1223680	1080408	1915742	3421451	763198	6286107	16068135	1984135	2442968	10252697	4000105	2147245	2988320	433969	5662333	4739911	9906970	4910131	4999558	4897242	13969350	9640607	3336976	2946851	13223821	896680	2607245
s__Pauljensenia_sp000308055	4202985	118216	4465292	363059	4522656	779777	342627	3492716	51062	276381	211496	312399	317876	2153753	921433	407788	1338079	959476	2181278	715687	815749	920505	559433	3111703	202715	3352024	3614437	485137	151294	731913	1655383	2600676	831124	331741	928444	545228	3247052	190461
s__Pauljensenia_sp000411415	59803	91522	425202	128441	618752	750277	263008	228635	105511	1162895	124790	19178	65975	138167	178566	104395	64517	143886	387379	715803	700994	197635	88973	137879	87840	127602	182839	582681	108296	233629	268047	559847	67440	235531	176990	417436	7433409	47143
s__Pauljensenia_sp000466265	407646	51712	605685	57316	2367988	4290499	1086844	1192025	317519	403468	8358783	15563	1174356	228465	3033063	714985	2082510	691062	85283	520812	2366127	325743	752023	652207	41614	6214116	263079	651943	2468929	55867	1409892	1652748	471065	3176062	772325	4604439	388634	20819
s__Pauljensenia_sp000758755	496056	230753	4454519	121259	1117590	699429	141574	1290260	953765	617469	1371049	216696	846441	1468503	1144922	692803	4964375	803392	1945379	1045970	520821	897903	741980	981605	128964	525203	265772	2162450	350753	438827	1806178	790296	307360	1120741	446066	1031271	1575198	320457
s__Pauljensenia_sp001064145	67316	81119	365842	149874	396386	370769	208754	1005637	711680	69586	409404	52714	98060	368163	341979	112809	95625	1040371	333220	566665	4603412	145116	79523	5574554	63574	409382	181493	471146	1404008	54566	468445	1361428	161996	119238	251338	589015	481898	69164
s__Pauljensenia_sp001072465	482637	770040	666779	581614	2915524	555558	820798	380401	540666	299240	955608	135121	397629	2532267	404438	582879	285836	2208476	1212827	1070823	2052750	995466	920019	1305209	239679	941741	1123167	1547804	259036	392076	950041	1875072	185887	140546	812165	1639633	1648442	284780
s__Pauljensenia_sp001838165	228805	386049	719109	397709	1154693	709997	692205	3218644	993832	1111889	1030871	717719	282337	3128011	181378	380755	566074	942056	978198	813158	4075106	559891	494251	3123059	200728	564415	2475696	1269547	1310621	265797	3811781	2030759	1644152	130056	628278	1659163	2185524	1160241
s__Pauljensenia_sp011038875	0	0	0	0	0	0	0	50105	0	0	0	0	0	0	67535	0	0	0	0	0	0	0	0	0	0	0	0	0	8038	0	21327	185837	0	0	8089	0	0	0
s__Pauljensenia_sp900541895	585435	248438	410291	114663	971429	156828	146351	573902	57270	37146	158700	36850	101081	146807	216938	21452	156203	101017	321374	311737	1121772	381398	198654	288886	26272	1930065	673758	105517	93212	135572	511145	643568	89987	52944	128412	309290	504022	16015
s__Pauljensenia_sp900554605	126144	92322	1062781	21983	287240	314726	94384	191144	726633	59974	208212	26809	158285	237850	349907	96032	737537	120469	293488	1011358	1567910	162060	188880	59799	43920	338406	244684	381661	368318	95015	554253	1483497	69945	169212	125843	166215	397608	20119
s__Pauljensenia_sp900556405	25444	47011	245179	25697	92856	304920	30760	84077	54867	109433	162972	24700	37800	62849	70942	32679	37910	102544	692542	524626	156183	100708	37198	198299	6688	124249	146896	274967	78077	217175	46860	178556	27457	183613	29332	146378	37915659	9589
s__Pauljensenia_sp902373435	30252	40010	282804	49989	252952	89103	154483	31566	156262	49762	453480	31026	42613	186674	53807	70370	110043	277457	115386	323389	1037998	108507	56400	64206	31386	148814	173465	474825	278575	17221	170713	779592	51908	16614	133530	382768	66606	9909
s__Pauljensenia_sp902373545	18231	36209	4754177	195506	1239731	3550638	431415	311504	1139775	418189	1566784	54421	181212	3122545	190151	2085468	3202601	5274755	59127	5172621	22640187	7347811	43129	248526	20957	232347	205005	5634941	4070233	143554	3913664	1747449	416204	100326	1923664	7620463	95252	39737
s__Pauljensenia_turicensis	0	0	0	0	0	0	0	0	0	0	0	0	0	11227	0	0	0	0	0	0	0	0	0	0	0	0	7122	0	0	0	0	0	0	0	0	0	0	0
s__Peptidiphaga_gingivicola	352425	0	20921	760789	74645	348697	71840	46799	203812	0	79830	3926	13636	168167	18437	10626	55114	300366	224720	123768	1861	17008	112846	92954	234731	282893	92124	78210	21850	0	179315	23621	58622	19716	30133	58602	74418	683364
s__Peptidiphaga_sp000466165	1810655	3961	2932383	531434	742499	815977	614904	220818	326336	576071	178597	27612	0	743191	66533	0	353276	167909	243826	0	86236	74635	1498051	82236	1586386	297861	3447162	1059948	203328	0	515146	474166	63933	149277	164008	7733	0	39136
s__Trueperella_pyogenes	0	0	0	0	0	0	0	11825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Varibaculum_cambriense	0	0	0	0	0	0	0	0	20625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Alloscardovia_omnicolens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143107	0	0	0	0	0	0
s__Bifidobacterium_dentium	14525	0	11712	14455	0	0	0	204186	2383	0	0	108353	0	0	0	0	0	0	683061	0	0	7564	0	293092	23965	0	0	0	0	854337	0	0	71749	0	0	0	0	281581
s__Bifidobacterium_moukalabense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4921	0	0	0	0	0	0	0	0	0	0	13216	0	0	0	0	0	0	0	0
s__Parascardovia_denticolens	0	0	201682	382009	0	0	0	0	113755	0	174279	1149244	0	0	0	703031	0	0	0	0	0	41019	0	1775774	714911	0	0	0	0	317097	0	0	35975	0	0	0	0	0
s__Scardovia_inopinata	219229	0	0	0	0	0	0	0	57870	0	0	119964	0	0	0	0	0	0	0	0	0	0	0	67311	0	0	0	0	0	0	0	0	48100	0	0	0	0	0
s__Scardovia_wiggsiae	18532	58114	835021	481767	0	0	77952	1924527	242257	753497	83732	306543	206400	0	335717	533017	47412	132527	530888	196069	0	8664	913745	141005	224587	70776	8082	0	415496	22627	0	125197	505572	296588	226085	9917	16426	0
s__Cellulomonas_composti	0	0	0	0	0	0	11723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Rarobacter_faecitabidus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4405	0	0	0	0	0	0	0	0	0	0	0	0
s__Brachybacterium_muris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Brachybacterium_paraconglomeratum	0	0	0	0	0	0	0	0	0	0	0	2842	0	0	0	3338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Dermabacter_hominis	0	0	0	0	0	0	0	0	0	0	0	0	0	3448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Dermacoccus_abyssi	0	0	0	0	0	0	0	0	5116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Janibacter_hoylei	0	0	0	0	0	0	0	0	0	6548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Janibacter_indicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5637	0	0	0	0	0	0	0	0
s__Leucobacter_sp000633415	0	0	0	0	0	0	0	0	4626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Microbacterium_barkeri	0	0	0	0	0	0	0	0	2894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Microbacterium_sp903645325	0	0	0	0	0	0	0	0	0	0	0	1757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Pseudoclavibacter_helvolus	0	0	0	0	0	23480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__UBA3913_sp002391425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22829	0	0	0	0	0	0	0
s__Kocuria_atrinae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Kocuria_carniphila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Kocuria_palustris	0	0	0	0	0	0	19037	13829	6658	2994	0	13957	4442	0	0	0	0	10751	0	0	0	0	0	0	0	0	0	0	0	8440	0	0	0	0	4415	0	17929	0
s__Kocuria_rosea	0	0	0	0	0	0	0	4980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9332	0	0	0	0	0	0	0
s__Kocuria_salsicia	0	0	0	0	0	0	0	0	35844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Micrococcus_luteus	0	0	0	0	0	0	0	0	8230	8230	0	17170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7038	0	0	20442	0	0	7002	0	0
s__Rothia_aeria	43769561	13401426	6572514	38294612	33860562	28636071	8241343	1728257	37860036	9360679	14833044	46313190	10495279	15135882	31628938	31209970	6060605	22253271	5981497	2828627	6602169	4196546	23353469	11473956	22356335	10667592	6801321	17619119	9033164	7758762	2817913	21987912	6459945	14097946	3056752	7074419	7704170	31133405
s__Rothia_dentocariosa	18067749	1555353	1325597	7674102	9626649	26183218	4148178	5639795	13370909	7171486	8640780	10439985	3624399	8651022	2569066	2703950	358289	6498337	7658176	478127	607729	5795531	2858470	12201395	5424615	8457374	6384828	3111903	10851213	2264937	5877550	20999840	31653792	4055147	1802596	1726222	1961612	17111842
s__Rothia_mucilaginosa	42019844	76521579	53870166	27533525	19821693	56696240	47207485	12216865	12378437	66051753	29525977	50817065	76493809	40231738	38469451	9156668	7002403	24050912	39675398	71308483	51970722	106946465	47790095	73198227	51638202	34920234	62250320	53219382	9550576	86455360	117752153	70426041	17336551	7926458	37049443	54418851	26946643	14332599
s__Rothia_mucilaginosa_A	11537554	4059314	10311928	2532504	626428	1978379	6303780	14816470	7386164	4263042	619816	1054888	2347806	222316	412365	186749	6592226	790777	4106514	6343804	1084049	4471231	1859840	4662709	780463	1445360	8181203	573853	433671	39342029	6435689	6046625	361962	11231303	1874915	38105433	15686825	7011327
s__Rothia_mucilaginosa_B	1296562	55928214	56239797	37301122	45003060	50634225	28011071	8674346	21368219	1938699	32373834	1489652	8733986	1209255	2258385	30317137	6702570	42213331	39864615	100829850	66756872	8656771	21873601	3758506	2900991	18811956	58967859	17911528	13596391	5626532	6006827	54001885	7463440	12542029	36780653	6099725	22913190	14018132
s__Rothia_sp001808955	5787793	30095932	29441563	16746332	20823697	37446579	10060351	6500580	8641479	22173266	24402315	8805157	15209222	5613088	7376966	4629036	4985883	14095537	20685228	46657276	40943786	30399814	20875651	11358234	7938421	19401877	30264868	19861922	4596829	16056917	27097313	26134202	5200057	11156041	44785473	21619951	13966246	4313635
s__Rothia_sp902373285	256786	691185	707953	442539	23114	707274	21943	285549	139204	137007	919161	0	0	116600	141561	109558	163218	131893	541448	270202	1998264	107865	408948	285326	50638	423739	579611	329872	24456	906675	100783	318184	99406	165216	1009798	1090894	321038	126184
s__Rothia_terrae	0	0	0	0	0	0	0	0	0	0	0	0	0	7438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Frankia_coriariae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106934	0	0	0
s__Corynebacterium_afermentans	0	0	0	0	0	0	0	0	0	0	0	0	16544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40492	0	0	0	0	0	0	0	0	0
s__Corynebacterium_amycolatum_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47543	0	0	0	83045	0	0
s__Corynebacterium_argentoratense	0	0	0	0	0	6783	0	0	0	0	0	0	5856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1558379	0	0	0	0	0	0
s__Corynebacterium_aurimucosum_E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16738	0	0	0	0	0	0	0	0	0
s__Corynebacterium_durum	1056214	272325	1201907	1414726	1125871	2454356	10009959	224136	853627	2378471	1556193	2269406	346544	680667	1045588	728156	248317	842953	683105	293032	420395	355624	467931	1328911	916285	4529405	260112	3701185	1632600	4906892	875420	551492	4037991	868495	58164	491691	1068885	4075918
s__Corynebacterium_efficiens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9196	0	0
s__Corynebacterium_jeddahense	0	0	0	0	0	0	2745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Corynebacterium_matruchotii	3440841	658239	4603948	2977387	2491668	2850139	2413283	2373105	14859345	2318529	1262361	3536144	734241	1765827	2024958	1287156	1129484	2522506	3668126	429453	2466548	1336904	3405538	20516113	4578191	11569433	836126	267733	732844	2018056	2124376	1915301	4362457	1626924	1354664	2333667	1593001	1499522
s__Corynebacterium_propinquum	0	0	0	0	0	0	94785	0	0	33842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Corynebacterium_pseudodiphtheriticum	6341	4601	10611	0	0	0	0	0	0	296996	0	23997	0	0	0	0	0	18890	0	0	0	0	5509	0	0	0	0	2130	0	168774	0	0	0	0	0	5590	8263	12211
s__Corynebacterium_simulans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6236
s__Corynebacterium_sp900539985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6946	0	0	0	0	0	0	0	0	0
s__Corynebacterium_tuberculostearicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18241	0	0	0	0	0	0	0	0	0
s__Corynebacterium_tuberculostearicum_C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13831	0	0	0	0	0	0	0	0	0
s__Gordonia_aichiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2216	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Gordonia_sputi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3540	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Lawsonella_clevelandensis_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Mycobacterium_sp001665295	0	0	0	0	0	0	0	0	0	0	0	0	3068	0	3447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3868	0	3764	0	0	0
s__Rhodococcus_B_fascians	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2463	0	0	0
s__Rhodococcus_B_sp002259415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3720	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Tsukamurella_tyrosinosolvens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14239	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Saccharopolyspora_sp004348435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2393	0	0	0	3633	0	0	0	0
s__Nocardioides_sp003660455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
