genome	gc	mode	err	mm	n_windows	n_motif_passed	n_recorded	n_correct	n_wrong_tie	n_wrong_only	frac_wrong_recorded
g07_Bacillus_atrophaeus	43.48	fmh_k16matched	e0001	2	1620360	0	13507	13417	0	90	0.00666321
g07_Bacillus_atrophaeus	43.48	fmh_k16matched	e01	0	1620360	0	10669	10669	0	0	0.0
g07_Bacillus_atrophaeus	43.48	fmh_k16matched	e01	1	1620360	0	13129	13114	0	15	0.00114251
g07_Bacillus_atrophaeus	43.48	fmh_k16matched	e01	2	1620360	0	13439	13389	0	50	0.00372051
g08_Escherichia_coli	50.8	enzyme_k16	e0	0	19252	19252	19246	19246	0	0	0.0
g08_Escherichia_coli	50.8	enzyme_k16	e0	1	19252	19252	19246	19246	0	0	0.0
g08_Escherichia_coli	50.8	enzyme_k16	e0	2	19252	19252	19246	19246	0	0	0.0
g08_Escherichia_coli	50.8	enzyme_k16	e0001	0	19280	19280	18799	18799	0	0	0.0
g08_Escherichia_coli	50.8	enzyme_k16	e0001	1	19280	19280	19159	19159	0	0	0.0
g08_Escherichia_coli	50.8	enzyme_k16	e0001	2	19280	19280	19165	19165	0	0	0.0
g08_Escherichia_coli	50.8	enzyme_k16	e01	0	19202	19202	15477	15476	0	1	6.461e-05
g08_Escherichia_coli	50.8	enzyme_k16	e01	1	19202	19202	18268	18267	0	1	5.474e-05
g08_Escherichia_coli	50.8	enzyme_k16	e01	2	19202	19202	18504	18503	0	1	5.404e-05
g08_Escherichia_coli	50.8	fmh_k16matched	e0	0	2067360	0	19236	19236	0	0	0.0
g08_Escherichia_coli	50.8	fmh_k16matched	e0	1	2067360	0	19460	19236	0	224	0.01151079
g08_Escherichia_coli	50.8	fmh_k16matched	e0	2	2067360	0	19722	19236	0	486	0.02464253
g08_Escherichia_coli	50.8	fmh_k16matched	e0001	0	2067360	0	19295	19295	0	0	0.0
g08_Escherichia_coli	50.8	fmh_k16matched	e0001	1	2067360	0	19934	19736	0	198	0.00993278
g08_Escherichia_coli	50.8	fmh_k16matched	e0001	2	2067360	0	20173	19740	0	433	0.02146433
g08_Escherichia_coli	50.8	fmh_k16matched	e01	0	2067360	0	15363	15362	0	1	6.509e-05
g08_Escherichia_coli	50.8	fmh_k16matched	e01	1	2067360	0	19089	18877	0	212	0.01110587
g08_Escherichia_coli	50.8	fmh_k16matched	e01	2	2067360	0	19748	19294	0	454	0.02298967
g09_Escherichia_sp005843885	50.74	enzyme_k16	e0	0	19137	19137	19137	19137	0	0	0.0
g09_Escherichia_sp005843885	50.74	enzyme_k16	e0	1	19137	19137	19137	19137	0	0	0.0
g09_Escherichia_sp005843885	50.74	enzyme_k16	e0	2	19137	19137	19137	19137	0	0	0.0
g09_Escherichia_sp005843885	50.74	enzyme_k16	e0001	0	19248	19248	18880	18880	0	0	0.0
g09_Escherichia_sp005843885	50.74	enzyme_k16	e0001	1	19248	19248	19178	19177	1	0	5.214e-05
g09_Escherichia_sp005843885	50.74	enzyme_k16	e0001	2	19248	19248	19182	19181	1	0	5.213e-05
g09_Escherichia_sp005843885	50.74	enzyme_k16	e01	0	18940	18940	15331	15330	0	1	6.523e-05
g09_Escherichia_sp005843885	50.74	enzyme_k16	e01	1	18940	18940	17883	17873	7	3	0.00055919
g09_Escherichia_sp005843885	50.74	enzyme_k16	e01	2	18940	18940	18099	18088	8	3	0.00060777
g09_Escherichia_sp005843885	50.74	fmh_k16matched	e0	0	2048280	0	19552	19552	0	0	0.0
g09_Escherichia_sp005843885	50.74	fmh_k16matched	e0	1	2048280	0	19896	19552	0	344	0.01728991
g09_Escherichia_sp005843885	50.74	fmh_k16matched	e0	2	2048280	0	20389	19552	0	837	0.04105155
g09_Escherichia_sp005843885	50.74	fmh_k16matched	e0001	0	2048280	0	19558	19557	0	1	5.113e-05
g09_Escherichia_sp005843885	50.74	fmh_k16matched	e0001	1	2048280	0	20377	20012	0	365	0.01791235
g09_Escherichia_sp005843885	50.74	fmh_k16matched	e0001	2	2048280	0	21019	20018	0	1001	0.04762358
g09_Escherichia_sp005843885	50.74	fmh_k16matched	e01	0	2048280	0	15764	15764	0	0	0.0
g09_Escherichia_sp005843885	50.74	fmh_k16matched	e01	1	2048280	0	19771	19413	0	358	0.01810733
g09_Escherichia_sp005843885	50.74	fmh_k16matched	e01	2	2048280	0	20734	19873	0	861	0.041526
g10_Klebsiella_pneumoniae	57.0	enzyme_k16	e0	0	21281	21281	21281	21281	0	0	0.0
g10_Klebsiella_pneumoniae	57.0	enzyme_k16	e0	1	21281	21281	21281	21281	0	0	0.0
g10_Klebsiella_pneumoniae	57.0	enzyme_k16	e0	2	21281	21281	21281	21281	0	0	0.0
g10_Klebsiella_pneumoniae	57.0	enzyme_k16	e0001	0	21374	21374	20946	20946	0	0	0.0
g10_Klebsiella_pneumoniae	57.0	enzyme_k16	e0001	1	21374	21374	21273	21273	0	0	0.0
g10_Klebsiella_pneumoniae	57.0	enzyme_k16	e0001	2	21374	21374	21280	21280	0	0	0.0
g10_Klebsiella_pneumoniae	57.0	enzyme_k16	e01	0	21393	21393	17171	17171	0	0	0.0
g10_Klebsiella_pneumoniae	57.0	enzyme_k16	e01	1	21393	21393	20170	20169	1	0	4.958e-05
g10_Klebsiella_pneumoniae	57.0	enzyme_k16	e01	2	21393	21393	20413	20412	1	0	4.899e-05
g10_Klebsiella_pneumoniae	57.0	fmh_k16matched	e0	0	2332080	0	22133	22133	0	0	0.0
g10_Klebsiella_pneumoniae	57.0	fmh_k16matched	e0	1	2332080	0	22380	22133	0	247	0.01103664
g10_Klebsiella_pneumoniae	57.0	fmh_k16matched	e0	2	2332080	0	22575	22133	0	442	0.01957918
g10_Klebsiella_pneumoniae	57.0	fmh_k16matched	e0001	0	2332080	0	21576	21576	0	0	0.0
g10_Klebsiella_pneumoniae	57.0	fmh_k16matched	e0001	1	2332080	0	22291	22101	0	190	0.00852362
g10_Klebsiella_pneumoniae	57.0	fmh_k16matched	e0001	2	2332080	0	22526	22104	0	422	0.01873391
g10_Klebsiella_pneumoniae	57.0	fmh_k16matched	e01	0	2332080	0	17585	17584	0	1	5.687e-05
g10_Klebsiella_pneumoniae	57.0	fmh_k16matched	e01	1	2332080	0	21787	21629	0	158	0.00725203
g10_Klebsiella_pneumoniae	57.0	fmh_k16matched	e01	2	2332080	0	22480	22115	0	365	0.01623665
g11_Klebsiella_variicola	57.02	enzyme_k16	e0	0	20809	20809	20809	20809	0	0	0.0
g11_Klebsiella_variicola	57.02	enzyme_k16	e0	1	20809	20809	20809	20809	0	0	0.0
g11_Klebsiella_variicola	57.02	enzyme_k16	e0	2	20809	20809	20809	20809	0	0	0.0
g11_Klebsiella_variicola	57.02	enzyme_k16	e0001	0	21079	21079	20662	20662	0	0	0.0
g11_Klebsiella_variicola	57.02	enzyme_k16	e0001	1	21079	21079	20988	20988	0	0	0.0
g11_Klebsiella_variicola	57.02	enzyme_k16	e0001	2	21079	21079	20994	20994	0	0	0.0
g11_Klebsiella_variicola	57.02	enzyme_k16	e01	0	21036	21036	16913	16912	0	1	5.913e-05
g11_Klebsiella_variicola	57.02	enzyme_k16	e01	1	21036	21036	19803	19800	2	1	0.00015149
g11_Klebsiella_variicola	57.02	enzyme_k16	e01	2	21036	21036	20048	20044	2	2	0.00019952
g11_Klebsiella_variicola	57.02	fmh_k16matched	e0	0	2278560	0	21808	21808	0	0	0.0
g11_Klebsiella_variicola	57.02	fmh_k16matched	e0	1	2278560	0	21939	21808	0	131	0.0059711
g11_Klebsiella_variicola	57.02	fmh_k16matched	e0	2	2278560	0	22128	21808	0	320	0.01446132
g11_Klebsiella_variicola	57.02	fmh_k16matched	e0001	0	2278560	0	21391	21391	0	0	0.0
g11_Klebsiella_variicola	57.02	fmh_k16matched	e0001	1	2278560	0	22026	21874	0	152	0.00690094
g11_Klebsiella_variicola	57.02	fmh_k16matched	e0001	2	2278560	0	22196	21879	0	317	0.01428185
g11_Klebsiella_variicola	57.02	fmh_k16matched	e01	0	2278560	0	17390	17390	0	0	0.0
g11_Klebsiella_variicola	57.02	fmh_k16matched	e01	1	2278560	0	21451	21328	0	123	0.005734
g11_Klebsiella_variicola	57.02	fmh_k16matched	e01	2	2278560	0	22087	21788	0	299	0.01353737
g12_Aquipseudomonas_alloputida	61.52	enzyme_k16	e0	0	22979	22979	22976	22976	0	0	0.0
g12_Aquipseudomonas_alloputida	61.52	enzyme_k16	e0	1	22979	22979	22976	22976	0	0	0.0
g12_Aquipseudomonas_alloputida	61.52	enzyme_k16	e0	2	22979	22979	22976	22976	0	0	0.0
g12_Aquipseudomonas_alloputida	61.52	enzyme_k16	e0001	0	22974	22974	22482	22482	0	0	0.0
g12_Aquipseudomonas_alloputida	61.52	enzyme_k16	e0001	1	22974	22974	22864	22864	0	0	0.0
g12_Aquipseudomonas_alloputida	61.52	enzyme_k16	e0001	2	22974	22974	22864	22864	0	0	0.0
g12_Aquipseudomonas_alloputida	61.52	enzyme_k16	e01	0	23528	23528	19032	19028	0	4	0.00021017
g12_Aquipseudomonas_alloputida	61.52	enzyme_k16	e01	1	23528	23528	22184	22178	2	4	0.00027047
g12_Aquipseudomonas_alloputida	61.52	enzyme_k16	e01	2	23528	23528	22450	22444	2	4	0.00026726
g12_Aquipseudomonas_alloputida	61.52	fmh_k16matched	e0	0	2472720	0	24064	24064	0	0	0.0
g12_Aquipseudomonas_alloputida	61.52	fmh_k16matched	e0	1	2472720	0	24535	24064	0	471	0.01919707
g12_Aquipseudomonas_alloputida	61.52	fmh_k16matched	e0	2	2472720	0	25218	24064	0	1154	0.04576096
g12_Aquipseudomonas_alloputida	61.52	fmh_k16matched	e0001	0	2472720	0	23197	23197	0	0	0.0
g12_Aquipseudomonas_alloputida	61.52	fmh_k16matched	e0001	1	2472720	0	24224	23789	0	435	0.0179574
g12_Aquipseudomonas_alloputida	61.52	fmh_k16matched	e0001	2	2472720	0	24985	23791	0	1194	0.04778867
g12_Aquipseudomonas_alloputida	61.52	fmh_k16matched	e01	0	2472720	0	19004	19003	0	1	5.262e-05
g12_Aquipseudomonas_alloputida	61.52	fmh_k16matched	e01	1	2472720	0	23797	23419	1	377	0.01588436
g12_Aquipseudomonas_alloputida	61.52	fmh_k16matched	e01	2	2472720	0	24940	23915	1	1024	0.04109864
g13_Pseudomonas_aeruginosa	65.3	enzyme_k16	e0	0	27940	27940	27940	27940	0	0	0.0
g13_Pseudomonas_aeruginosa	65.3	enzyme_k16	e0	1	27940	27940	27940	27940	0	0	0.0
g13_Pseudomonas_aeruginosa	65.3	enzyme_k16	e0	2	27940	27940	27940	27940	0	0	0.0
g13_Pseudomonas_aeruginosa	65.3	enzyme_k16	e0001	0	27815	27815	27179	27179	0	0	0.0
g13_Pseudomonas_aeruginosa	65.3	enzyme_k16	e0001	1	27815	27815	27670	27669	1	0	3.614e-05
g13_Pseudomonas_aeruginosa	65.3	enzyme_k16	e0001	2	27815	27815	27675	27674	1	0	3.613e-05
g13_Pseudomonas_aeruginosa	65.3	enzyme_k16	e01	0	28383	28383	22837	22837	0	0	0.0
g13_Pseudomonas_aeruginosa	65.3	enzyme_k16	e01	1	28383	28383	26684	26684	0	0	0.0
g13_Pseudomonas_aeruginosa	65.3	enzyme_k16	e01	2	28383	28383	27018	27015	0	3	0.00011104
g13_Pseudomonas_aeruginosa	65.3	fmh_k16matched	e0	0	3013560	0	29341	29341	0	0	0.0
g13_Pseudomonas_aeruginosa	65.3	fmh_k16matched	e0	1	3013560	0	29717	29341	0	376	0.01265269
g13_Pseudomonas_aeruginosa	65.3	fmh_k16matched	e0	2	3013560	0	30155	29341	0	814	0.02699387
g13_Pseudomonas_aeruginosa	65.3	fmh_k16matched	e0001	0	3013560	0	28591	28591	0	0	0.0
g13_Pseudomonas_aeruginosa	65.3	fmh_k16matched	e0001	1	3013560	0	29636	29271	0	365	0.0123161
g13_Pseudomonas_aeruginosa	65.3	fmh_k16matched	e0001	2	3013560	0	30086	29273	0	813	0.02702254
