genome	gc	mode	ptr	rep	depth	log2ptr	note
g08_Escherichia_coli	50.8000	E_s106	1.5000	2	2.0000	1.4633	ok
g08_Escherichia_coli	50.8000	E_s106	1.5000	2	5.0000	1.5036	ok
g08_Escherichia_coli	50.8000	E_s106	2.0000	1	0.5000	1.5391	ok
g08_Escherichia_coli	50.8000	E_s106	2.0000	1	1.0000	1.8567	ok
g08_Escherichia_coli	50.8000	E_s106	2.0000	1	2.0000	1.9551	ok
g08_Escherichia_coli	50.8000	E_s106	2.0000	1	5.0000	1.9887	ok
g08_Escherichia_coli	50.8000	E_s106	2.0000	2	0.5000	1.3311	ok
g08_Escherichia_coli	50.8000	E_s106	2.0000	2	1.0000	1.8065	ok
g08_Escherichia_coli	50.8000	E_s106	2.0000	2	2.0000	1.9581	ok
g08_Escherichia_coli	50.8000	E_s106	2.0000	2	5.0000	2.0487	ok
g08_Escherichia_coli	50.8000	E_s125	0.5000	1	0.5000	0.3122	ok
g08_Escherichia_coli	50.8000	E_s125	0.5000	1	1.0000	0.4299	ok
g08_Escherichia_coli	50.8000	E_s125	0.5000	1	2.0000	0.3922	ok
g08_Escherichia_coli	50.8000	E_s125	0.5000	1	5.0000	0.4725	ok
g08_Escherichia_coli	50.8000	E_s125	0.5000	2	0.5000	0.2331	ok
g08_Escherichia_coli	50.8000	E_s125	0.5000	2	1.0000	0.4156	ok
g08_Escherichia_coli	50.8000	E_s125	0.5000	2	2.0000	0.5118	ok
g08_Escherichia_coli	50.8000	E_s125	0.5000	2	5.0000	0.4496	ok
g08_Escherichia_coli	50.8000	E_s125	1.0000	1	0.5000	0.6564	ok
g08_Escherichia_coli	50.8000	E_s125	1.0000	1	1.0000	0.8900	ok
g08_Escherichia_coli	50.8000	E_s125	1.0000	1	2.0000	0.9764	ok
g08_Escherichia_coli	50.8000	E_s125	1.0000	1	5.0000	1.0230	ok
g08_Escherichia_coli	50.8000	E_s125	1.0000	2	0.5000	0.5424	ok
g08_Escherichia_coli	50.8000	E_s125	1.0000	2	1.0000	0.9069	ok
g08_Escherichia_coli	50.8000	E_s125	1.0000	2	2.0000	0.9777	ok
g08_Escherichia_coli	50.8000	E_s125	1.0000	2	5.0000	1.0062	ok
g08_Escherichia_coli	50.8000	E_s125	1.5000	1	0.5000	1.2932	ok
g08_Escherichia_coli	50.8000	E_s125	1.5000	1	1.0000	1.3827	ok
g08_Escherichia_coli	50.8000	E_s125	1.5000	1	2.0000	1.4767	ok
g08_Escherichia_coli	50.8000	E_s125	1.5000	1	5.0000	1.4942	ok
g08_Escherichia_coli	50.8000	E_s125	1.5000	2	0.5000	0.9205	ok
g08_Escherichia_coli	50.8000	E_s125	1.5000	2	1.0000	1.2387	ok
g08_Escherichia_coli	50.8000	E_s125	1.5000	2	2.0000	1.4572	ok
g08_Escherichia_coli	50.8000	E_s125	1.5000	2	5.0000	1.5096	ok
g08_Escherichia_coli	50.8000	E_s125	2.0000	1	0.5000	1.5980	ok
g08_Escherichia_coli	50.8000	E_s125	2.0000	1	1.0000	1.9112	ok
g08_Escherichia_coli	50.8000	E_s125	2.0000	1	2.0000	1.9165	ok
g08_Escherichia_coli	50.8000	E_s125	2.0000	1	5.0000	2.0001	ok
g08_Escherichia_coli	50.8000	E_s125	2.0000	2	0.5000	1.4713	ok
g08_Escherichia_coli	50.8000	E_s125	2.0000	2	1.0000	1.7379	ok
g08_Escherichia_coli	50.8000	E_s125	2.0000	2	2.0000	1.9747	ok
g08_Escherichia_coli	50.8000	E_s125	2.0000	2	5.0000	2.0377	ok
g08_Escherichia_coli	50.8000	E_s200	0.5000	1	0.5000	0.2797	ok
g08_Escherichia_coli	50.8000	E_s200	0.5000	1	1.0000	0.4406	ok
g08_Escherichia_coli	50.8000	E_s200	0.5000	1	2.0000	0.4113	ok
g08_Escherichia_coli	50.8000	E_s200	0.5000	1	5.0000	0.4798	ok
g08_Escherichia_coli	50.8000	E_s200	0.5000	2	0.5000	0.2197	ok
g08_Escherichia_coli	50.8000	E_s200	0.5000	2	1.0000	0.3806	ok
g08_Escherichia_coli	50.8000	E_s200	0.5000	2	2.0000	0.5067	ok
g08_Escherichia_coli	50.8000	E_s200	0.5000	2	5.0000	0.4675	ok
g08_Escherichia_coli	50.8000	E_s200	1.0000	1	0.5000	0.6576	ok
g08_Escherichia_coli	50.8000	E_s200	1.0000	1	1.0000	0.8519	ok
g08_Escherichia_coli	50.8000	E_s200	1.0000	1	2.0000	1.0042	ok
g08_Escherichia_coli	50.8000	E_s200	1.0000	1	5.0000	1.0124	ok
g08_Escherichia_coli	50.8000	E_s200	1.0000	2	0.5000	0.7452	ok
g08_Escherichia_coli	50.8000	E_s200	1.0000	2	1.0000	0.8955	ok
g08_Escherichia_coli	50.8000	E_s200	1.0000	2	2.0000	1.0208	ok
g08_Escherichia_coli	50.8000	E_s200	1.0000	2	5.0000	1.0087	ok
g08_Escherichia_coli	50.8000	E_s200	1.5000	1	0.5000	1.2929	ok
g08_Escherichia_coli	50.8000	E_s200	1.5000	1	1.0000	1.3392	ok
g08_Escherichia_coli	50.8000	E_s200	1.5000	1	2.0000	1.4918	ok
g08_Escherichia_coli	50.8000	E_s200	1.5000	1	5.0000	1.4727	ok
g08_Escherichia_coli	50.8000	E_s200	1.5000	2	0.5000	1.0273	ok
g08_Escherichia_coli	50.8000	E_s200	1.5000	2	1.0000	1.3912	ok
g08_Escherichia_coli	50.8000	E_s200	1.5000	2	2.0000	1.4440	ok
