medium	srr	cov	log2ptr	est_cov	pass_qc	fusion_model	method	qc_reason	excluded	note	growth_rate
M12	SRR11558976	5	1.260551627	4.196206004	True	fixed	v_shape		-		1.0220
M1	SRR11558977	5	1.753768896	4.097618779	True	fixed	v_shape		-		1.7207
M10	SRR11558980	5	1.148118106	4.11296252	True	fixed	v_shape		-		1.1500
M4	SRR11558983	5	1.394987338	4.354525919	True	fixed	v_shape		-		1.3718
M6	SRR11558945	10	1.347062992	8.078962652	True	fixed	v_shape		-		1.3549
M3	SRR11558946	10	1.503594581	8.054714384	True	fixed	v_shape,v_shape_segmented		-		1.4380
M2	SRR11558949	10	1.802591474	8.458594476	False	random	v_shape	enzymes disagree (p=0.01)	-	enzymes disagree (Q=30.6, p=0.01); largest deviation from BaeI	1.5100
RUN_OUT	SRR11558950	10	0.06394936736	8.675956692	False	fixed	v_shape	only 11/16 enzymes produced a fit	BcgI:no downhill origin: profile has no replication gradient;BplI:no downhill origin: profile has no replication gradient;Bsp24I:no downhill origin: profile has no replication gradient;CjePI:no downhill origin: profile has no replication gradient;Hin4I:no downhill origin: profile has no replication gradient		
M27	SRR11558953	10	0.520061394	8.202336756	True	fixed	v_shape		-		0.3992
M25	SRR11558957	10	0.6438211253	8.351419277	True	fixed	v_shape		-		0.4346
M24	SRR11558960	10	0.6442468288	8.138518682	True	fixed	v_shape		-		0.4648
M22	SRR11558963	10	0.7636538015	8.333558592	True	fixed	v_shape		-		0.4892
M23	SRR11558964	10	0.5637511175	8.192104414	True	fixed	v_shape		-		0.4770
M19	SRR11558965	10	0.9362687406	7.503633458	True	fixed	v_shape		-		0.5776
M18	SRR11558969	10	0.8397292979	8.211686482	True	fixed	v_shape		-		0.7413
M17	SRR11558970	10	0.6810481122	8.457624806	True	fixed	v_shape		-		0.7440
M13	SRR11558973	10	1.008173394	8.183668524	True	fixed	v_shape		-		0.8612
M12	SRR11558976	10	1.224278684	8.279563822	True	fixed	v_shape		-		1.0220
M1	SRR11558977	10	1.81389611	8.06987744	True	fixed	v_shape		-		1.7207
M10	SRR11558980	10	1.244437173	8.176410504	True	fixed	v_shape,v_shape_segmented		-		1.1500
M4	SRR11558983	10	1.548475124	8.700351305	True	fixed	v_shape		-		1.3718
