repeat	contrast	auroc_delta	p_permutation
30	B-A	-0.0478354978354979	0.08691308691308691
30	C-A	-0.018181818181818188	0.4935064935064935
31	B-A	-0.05129870129870129	0.01898101898101898
31	C-A	-0.03246753246753242	0.03996003996003996
32	B-A	-0.04826839826839835	0.03296703296703297
32	C-A	-0.021212121212121127	0.6593406593406593
33	B-A	-0.0296536796536796	0.052947052947052944
33	C-A	-0.01450216450216446	0.3196803196803197
34	B-A	-0.03961038961038954	0.04795204795204795
34	C-A	-0.012770562770562766	0.4255744255744256
35	B-A	-0.02359307359307361	0.4195804195804196
35	C-A	-0.015151515151515138	0.3546453546453546
36	B-A	-0.05324675324675321	0.007992007992007992
36	C-A	-0.02510822510822519	0.05194805194805195
37	B-A	-0.03376623376623389	0.013986013986013986
37	C-A	-0.011471861471861633	0.21178821178821178
38	B-A	-0.018831168831168976	0.22277722277722278
38	C-A	-0.01558441558441559	0.1998001998001998
39	B-A	-0.054545454545454564	0.007992007992007992
39	C-A	-0.018181818181818188	0.1258741258741259
40	B-A	-0.04025974025974044	0.04495504495504495
40	C-A	-0.018398268398268525	0.4675324675324675
41	B-A	-0.04112554112554101	0.03496503496503497
41	C-A	-0.02402597402597384	0.03196803196803197
42	B-A	-0.06471861471861473	0.007992007992007992
42	C-A	-0.03008658008657994	0.04295704295704296
43	B-A	-0.027272727272727337	0.28771228771228774
43	C-A	-0.01255411255411265	0.2177822177822178
44	B-A	-0.01666666666666672	0.2837162837162837
44	C-A	-0.00021645021645011475	0.999000999000999
45	B-A	-0.027272727272727115	0.07792207792207792
45	C-A	-0.012770562770562655	0.14085914085914086
46	B-A	-0.025324675324675416	0.08491508491508491
46	C-A	-0.012987012987012991	0.3126873126873127
47	B-A	-0.029870129870129714	0.13086913086913088
47	C-A	-0.010606060606060619	0.3926073926073926
48	B-A	-0.02705627705627711	0.04595404595404595
48	C-A	-0.01406926406926401	0.23476523476523475
49	B-A	-0.04177489177489169	0.3436563436563437
49	C-A	-0.0235930735930735	0.37162837162837165
50	B-A	-0.0043290043290044045	0.8011988011988012
50	C-A	0.00043290043290045155	0.967032967032967
51	B-A	-0.034848484848484906	0.03696303696303696
51	C-A	-0.0322510822510822	0.0939060939060939
52	B-A	-0.010822510822510845	0.5074925074925075
52	C-A	-0.006709956709956666	0.6433566433566433
53	B-A	-0.05021645021645027	0.060939060939060936
53	C-A	-0.030952380952380953	0.1038961038961039
54	B-A	-0.04978354978354971	0.10989010989010989
54	C-A	-0.024242424242424176	0.4785214785214785
55	B-A	-0.028354978354978466	0.060939060939060936
55	C-A	-0.01709956709956706	0.15084915084915085
56	B-A	-0.04047619047619044	0.07092907092907093
56	C-A	-0.01861471861471853	0.24075924075924077
57	B-A	-0.018398268398268525	0.2097902097902098
57	C-A	-0.003030303030303161	0.6333666333666333
58	B-A	-0.03874458874458875	0.13386613386613386
58	C-A	-0.019480519480519543	0.17382617382617382
59	B-A	-0.029870129870129936	0.04495504495504495
59	C-A	-0.0181818181818183	0.12687312687312688
60	B-A	-0.01969696969696977	0.22777222777222778
60	C-A	-0.008874458874459035	0.25574425574425574
61	B-A	-0.038311688311688186	0.13186813186813187
61	C-A	-0.013636363636363558	0.27172827172827174
62	B-A	-0.01753246753246762	0.23676323676323677
62	C-A	-0.01406926406926412	0.16783216783216784
63	B-A	-0.04220779220779225	0.04295704295704296
63	C-A	-0.009740259740259827	0.6593406593406593
64	B-A	-0.016017316017316152	0.42657342657342656
64	C-A	-0.01709956709956717	0.2077922077922078
65	B-A	-0.0365800865800866	0.03496503496503497
65	C-A	-0.018831168831168754	0.24175824175824176
66	B-A	-0.03051948051948039	0.3886113886113886
66	C-A	-0.01709956709956706	0.3386613386613387
67	B-A	-0.034848484848484906	0.027972027972027972
67	C-A	-0.029220779220779147	0.002997002997002997
68	B-A	-0.035281385281385136	0.02197802197802198
68	C-A	-0.008658008658008587	0.6173826173826173
69	B-A	-0.024891774891774965	0.3336663336663337
69	C-A	-0.006926406926406892	0.6033966033966034
70	B-A	-0.01558441558441559	0.26573426573426573
70	C-A	-0.004112554112554179	0.6473526473526473
71	B-A	-0.0532467532467531	0.001998001998001998
71	C-A	-0.034415584415584344	0.15884115884115885
72	B-A	-0.01363636363636378	0.33466533466533466
72	C-A	-0.006060606060605989	0.5364635364635365
73	B-A	-0.045887445887445866	0.026973026973026972
73	C-A	-0.018831168831168865	0.059940059940059943
74	B-A	0.01406926406926401	0.6943056943056943
74	C-A	0.0051948051948050855	0.929070929070929
75	B-A	-0.08116883116883111	0.000999000999000999
75	C-A	-0.0359307359307357	0.011988011988011988
76	B-A	-0.027272727272727226	0.19080919080919082
76	C-A	-0.014935064935064912	0.23976023976023977
77	B-A	-0.055411255411255356	0.003996003996003996
77	C-A	-0.02359307359307361	0.11688311688311688
78	B-A	-0.033982683982684	0.04895104895104895
78	C-A	-0.02316017316017316	0.08491508491508491
79	B-A	-0.051515151515151625	0.005994005994005994
79	C-A	-0.022510822510822592	0.17282717282717283
80	B-A	-0.038961038961038974	0.15684315684315683
80	C-A	-0.02402597402597406	0.37962037962037964
81	B-A	-0.024675324675324628	0.20679320679320679
81	C-A	-0.01861471861471864	0.7622377622377622
82	B-A	-0.05216450216450219	0.01098901098901099
82	C-A	-0.0209956709956709	0.41858141858141856
83	B-A	-0.00497835497835486	0.7592407592407593
83	C-A	0.008441558441558361	0.44955044955044954
84	B-A	-0.030519480519480502	0.12187812187812187
84	C-A	-0.015367965367965364	0.3256743256743257
85	B-A	-0.0015151515151515804	0.929070929070929
85	C-A	-0.010173160173160056	0.4175824175824176
86	B-A	-0.016450216450216493	0.3096903096903097
86	C-A	-0.006277056277056325	0.7742257742257742
87	B-A	-0.03376623376623378	0.18981018981018982
87	C-A	-0.023809523809523725	0.13486513486513488
88	B-A	-0.019913419913419994	0.11388611388611389
88	C-A	-0.002813852813852824	0.7742257742257742
89	B-A	-0.01904761904761898	0.23676323676323677
89	C-A	-0.01298701298701288	0.3226773226773227
90	B-A	-0.03722943722943728	0.03996003996003996
90	C-A	-0.016666666666666607	0.24375624375624375
91	B-A	-0.02251082251082248	0.15284715284715283
91	C-A	-0.008658008658008698	0.6373626373626373
92	B-A	-0.0575757575757575	0.03496503496503497
92	C-A	-0.0296536796536796	0.37462537462537465
93	B-A	0.022727272727272707	0.7282717282717283
93	C-A	0.017099567099566948	0.4925074925074925
94	B-A	-0.024675324675324628	0.15284715284715283
94	C-A	-0.014069264069263898	0.27172827172827174
95	B-A	-0.06753246753246755	0.04095904095904096
95	C-A	-0.04480519480519485	0.10789210789210789
96	B-A	-0.031385281385281405	0.18981018981018982
96	C-A	-0.02857142857142858	0.008991008991008992
97	B-A	-0.059956709956709986	0.056943056943056944
97	C-A	-0.017316017316017396	0.15484515484515485
98	B-A	-0.040909090909090784	0.1028971028971029
98	C-A	-0.01645021645021638	0.17582417582417584
99	B-A	-0.031385281385281294	0.030969030969030968
99	C-A	-0.018614718614718417	0.1018981018981019
