genome	gc	arm	cond	ptr	rep	depth	log2ptr	coverage	note
g06_Bacillus_subtilis	43.5000	sketch	scafSelf	0.5000	2	5.0000	0.5079	3.9740	ok
g06_Bacillus_subtilis	43.5000	sketch	scafSelf	1.0000	1	1.0000	0.8529	0.7841	ok
g06_Bacillus_subtilis	43.5000	sketch	scafSelf	1.0000	1	5.0000	1.0169	4.0101	ok
g06_Bacillus_subtilis	43.5000	sketch	scafSelf	1.0000	2	1.0000	0.8935	0.7944	ok
g06_Bacillus_subtilis	43.5000	sketch	scafSelf	1.0000	2	5.0000	1.0281	4.0064	ok
g06_Bacillus_subtilis	43.5000	sketch	scafSelf	2.0000	1	1.0000	1.7659	0.8135	ok
g06_Bacillus_subtilis	43.5000	sketch	scafSelf	2.0000	1	5.0000	1.9846	3.9839	ok
g06_Bacillus_subtilis	43.5000	sketch	scafSelf	2.0000	2	1.0000	1.8421	0.7809	ok
g06_Bacillus_subtilis	43.5000	sketch	scafSelf	2.0000	2	5.0000	1.9913	3.9843	ok
g08_Escherichia_coli	50.8000	enzyme	complete	0.5000	1	1.0000	0.5262	0.7858	ok
g08_Escherichia_coli	50.8000	enzyme	complete	0.5000	1	5.0000	0.4936	4.0597	ok
g08_Escherichia_coli	50.8000	enzyme	complete	0.5000	2	1.0000	0.2594	0.8210	ok
g08_Escherichia_coli	50.8000	enzyme	complete	0.5000	2	5.0000	0.4766	4.1301	ok
g08_Escherichia_coli	50.8000	enzyme	complete	1.0000	1	1.0000	0.9085	0.8280	ok
g08_Escherichia_coli	50.8000	enzyme	complete	1.0000	1	5.0000	0.9857	4.0740	ok
g08_Escherichia_coli	50.8000	enzyme	complete	1.0000	2	1.0000	0.8864	0.8208	ok
g08_Escherichia_coli	50.8000	enzyme	complete	1.0000	2	5.0000	1.0297	4.0722	ok
g08_Escherichia_coli	50.8000	enzyme	complete	2.0000	1	1.0000	1.8594	0.8266	ok
g08_Escherichia_coli	50.8000	enzyme	complete	2.0000	1	5.0000	2.0210	4.0813	ok
g08_Escherichia_coli	50.8000	enzyme	complete	2.0000	2	1.0000	1.7051	0.8645	ok
g08_Escherichia_coli	50.8000	enzyme	complete	2.0000	2	5.0000	1.9955	3.9920	ok
g08_Escherichia_coli	50.8000	sketch	complete	0.5000	1	1.0000	0.3405	0.8058	ok
g08_Escherichia_coli	50.8000	sketch	complete	0.5000	1	5.0000	0.4692	4.0015	ok
g08_Escherichia_coli	50.8000	sketch	complete	0.5000	2	1.0000	0.3447	0.7952	ok
g08_Escherichia_coli	50.8000	sketch	complete	0.5000	2	5.0000	0.4538	4.0134	ok
g08_Escherichia_coli	50.8000	sketch	complete	1.0000	1	1.0000	0.9040	0.8014	ok
g08_Escherichia_coli	50.8000	sketch	complete	1.0000	1	5.0000	1.0242	4.0312	ok
g08_Escherichia_coli	50.8000	sketch	complete	1.0000	2	1.0000	0.8556	0.8016	ok
g08_Escherichia_coli	50.8000	sketch	complete	1.0000	2	5.0000	1.0019	4.0310	ok
g08_Escherichia_coli	50.8000	sketch	complete	2.0000	1	1.0000	1.8567	0.8218	ok
g08_Escherichia_coli	50.8000	sketch	complete	2.0000	1	5.0000	1.9887	4.0473	ok
g08_Escherichia_coli	50.8000	sketch	complete	2.0000	2	1.0000	1.8065	0.8104	ok
g08_Escherichia_coli	50.8000	sketch	complete	2.0000	2	5.0000	2.0487	4.0348	ok
g08_Escherichia_coli	50.8000	enzyme	frag	0.5000	1	1.0000	0.1025	0.9510	ok
g08_Escherichia_coli	50.8000	enzyme	frag	0.5000	1	5.0000	0.1779	4.0689	ok
g08_Escherichia_coli	50.8000	enzyme	frag	0.5000	2	1.0000	0.1419	1.0077	ok
g08_Escherichia_coli	50.8000	enzyme	frag	0.5000	2	5.0000	0.1592	4.1603	ok
g08_Escherichia_coli	50.8000	enzyme	frag	1.0000	1	1.0000	0.4455	0.9485	ok
g08_Escherichia_coli	50.8000	enzyme	frag	1.0000	1	5.0000	0.3699	4.0351	ok
g08_Escherichia_coli	50.8000	enzyme	frag	1.0000	2	1.0000	0.3279	0.9358	ok
g08_Escherichia_coli	50.8000	enzyme	frag	1.0000	2	5.0000	0.3449	4.0714	ok
g08_Escherichia_coli	50.8000	enzyme	frag	2.0000	1	1.0000	0.6612	1.0165	ok
g08_Escherichia_coli	50.8000	enzyme	frag	2.0000	1	5.0000	0.7176	3.9673	ok
g08_Escherichia_coli	50.8000	enzyme	frag	2.0000	2	1.0000	0.4998	1.0262	ok
g08_Escherichia_coli	50.8000	enzyme	frag	2.0000	2	5.0000	0.7250	3.9046	ok
g08_Escherichia_coli	50.8000	sketch	frag	0.5000	1	1.0000			nan
g08_Escherichia_coli	50.8000	sketch	frag	0.5000	1	5.0000	0.1577	4.0020	ok
g08_Escherichia_coli	50.8000	sketch	frag	0.5000	2	1.0000			nan
g08_Escherichia_coli	50.8000	sketch	frag	0.5000	2	5.0000	0.1502	4.0230	ok
g08_Escherichia_coli	50.8000	sketch	frag	1.0000	1	1.0000	0.2587	0.8040	ok
g08_Escherichia_coli	50.8000	sketch	frag	1.0000	1	5.0000	0.3384	4.0271	ok
g08_Escherichia_coli	50.8000	sketch	frag	1.0000	2	1.0000	0.3072	0.7975	ok
g08_Escherichia_coli	50.8000	sketch	frag	1.0000	2	5.0000	0.3724	4.0335	ok
g08_Escherichia_coli	50.8000	sketch	frag	2.0000	1	1.0000	0.7073	0.8165	ok
g08_Escherichia_coli	50.8000	sketch	frag	2.0000	1	5.0000	0.7236	4.0475	ok
g08_Escherichia_coli	50.8000	sketch	frag	2.0000	2	1.0000	0.6026	0.8138	ok
g08_Escherichia_coli	50.8000	sketch	frag	2.0000	2	5.0000	0.7137	4.0364	ok
g08_Escherichia_coli	50.8000	enzyme	scafRel	0.5000	1	1.0000	0.4025	0.8118	ok
g08_Escherichia_coli	50.8000	enzyme	scafRel	0.5000	1	5.0000	0.4198	4.0816	ok
g08_Escherichia_coli	50.8000	enzyme	scafRel	0.5000	2	1.0000	0.2705	0.8736	ok
g08_Escherichia_coli	50.8000	enzyme	scafRel	0.5000	2	5.0000	0.4061	4.1854	ok
g08_Escherichia_coli	50.8000	enzyme	scafRel	1.0000	1	1.0000	0.8173	0.8358	ok
g08_Escherichia_coli	50.8000	enzyme	scafRel	1.0000	1	5.0000	0.8648	4.1267	ok
g08_Escherichia_coli	50.8000	enzyme	scafRel	1.0000	2	1.0000	0.7795	0.8364	ok
g08_Escherichia_coli	50.8000	enzyme	scafRel	1.0000	2	5.0000	0.8802	4.1333	ok
g08_Escherichia_coli	50.8000	enzyme	scafRel	2.0000	1	1.0000	1.5843	0.8748	ok
g08_Escherichia_coli	50.8000	enzyme	scafRel	2.0000	1	5.0000	1.7945	4.1798	ok
g08_Escherichia_coli	50.8000	enzyme	scafRel	2.0000	2	1.0000	1.5840	0.8657	ok
g08_Escherichia_coli	50.8000	enzyme	scafRel	2.0000	2	5.0000	1.7931	4.1205	ok
g08_Escherichia_coli	50.8000	sketch	scafRel	0.5000	1	1.0000	0.1688	0.8057	ok
g08_Escherichia_coli	50.8000	sketch	scafRel	0.5000	1	5.0000	0.4302	4.0027	ok
g08_Escherichia_coli	50.8000	sketch	scafRel	0.5000	2	1.0000	0.3628	0.7962	ok
g08_Escherichia_coli	50.8000	sketch	scafRel	0.5000	2	5.0000	0.4151	4.0241	ok
g08_Escherichia_coli	50.8000	sketch	scafRel	1.0000	1	1.0000	0.8297	0.7982	ok
g08_Escherichia_coli	50.8000	sketch	scafRel	1.0000	1	5.0000	0.9446	4.0395	ok
g08_Escherichia_coli	50.8000	sketch	scafRel	1.0000	2	1.0000	0.8549	0.8008	ok
g08_Escherichia_coli	50.8000	sketch	scafRel	1.0000	2	5.0000	0.9076	4.0471	ok
g08_Escherichia_coli	50.8000	sketch	scafRel	2.0000	1	1.0000	1.7040	0.8222	ok
g08_Escherichia_coli	50.8000	sketch	scafRel	2.0000	1	5.0000	1.8479	4.0582	ok
g08_Escherichia_coli	50.8000	sketch	scafRel	2.0000	2	1.0000	1.5849	0.8153	ok
g08_Escherichia_coli	50.8000	sketch	scafRel	2.0000	2	5.0000	1.8555	4.0469	ok
g08_Escherichia_coli	50.8000	enzyme	scafSelf	0.5000	1	1.0000	0.5247	0.7895	ok
g08_Escherichia_coli	50.8000	enzyme	scafSelf	0.5000	1	5.0000	0.4984	4.0788	ok
g08_Escherichia_coli	50.8000	enzyme	scafSelf	0.5000	2	1.0000	0.2525	0.8179	ok
g08_Escherichia_coli	50.8000	enzyme	scafSelf	0.5000	2	5.0000	0.4824	4.1522	ok
g08_Escherichia_coli	50.8000	enzyme	scafSelf	1.0000	1	1.0000	0.8934	0.8397	ok
g08_Escherichia_coli	50.8000	enzyme	scafSelf	1.0000	1	5.0000	0.9997	4.1111	ok
g08_Escherichia_coli	50.8000	enzyme	scafSelf	1.0000	2	1.0000	0.8606	0.8208	ok
g08_Escherichia_coli	50.8000	enzyme	scafSelf	1.0000	2	5.0000	1.0411	4.1119	ok
g08_Escherichia_coli	50.8000	enzyme	scafSelf	2.0000	1	1.0000	1.8889	0.8304	ok
