flag_config	arm	medium	cov	log2ptr	growth_rate	pred
with_windows	E_s104	M24	2.0000	0.3466	0.4648	0.6861
with_windows	E_s104	M24	5.0000	0.6228	0.4648	0.6861
with_windows	E_s104	M25	0.5000		0.4346	0.6425
with_windows	E_s104	M25	10.0000	0.6688	0.4346	0.6425
with_windows	E_s104	M25	1.0000	0.5760	0.4346	0.6425
with_windows	E_s104	M25	2.0000	0.5082	0.4346	0.6425
with_windows	E_s104	M25	5.0000	0.5579	0.4346	0.6425
with_windows	E_s104	M27	0.5000	0.0885	0.3992	0.5526
with_windows	E_s104	M27	10.0000	0.5188	0.3992	0.5526
with_windows	E_s104	M27	1.0000	0.5311	0.3992	0.5526
with_windows	E_s104	M27	2.0000	0.2581	0.3992	0.5526
with_windows	E_s104	M27	5.0000	0.5773	0.3992	0.5526
with_windows	E_s104	M2	0.5000	0.7585	1.5100	1.6844
with_windows	E_s104	M2	10.0000	1.7950	1.5100	1.6844
with_windows	E_s104	M2	1.0000	1.3260	1.5100	1.6844
with_windows	E_s104	M2	2.0000	1.4867	1.5100	1.6844
with_windows	E_s104	M2	5.0000	1.5092	1.5100	1.6844
with_windows	E_s104	M3	0.5000	0.2666	1.4380	1.4630
with_windows	E_s104	M3	10.0000	1.5628	1.4380	1.4630
with_windows	E_s104	M3	1.0000	1.1722	1.4380	1.4630
with_windows	E_s104	M3	2.0000	1.3481	1.4380	1.4630
with_windows	E_s104	M3	5.0000	1.4654	1.4380	1.4630
with_windows	E_s104	M4	0.5000	0.5631	1.3718	1.5315
with_windows	E_s104	M4	10.0000	1.5122	1.3718	1.5315
with_windows	E_s104	M4	1.0000	1.0177	1.3718	1.5315
with_windows	E_s104	M4	2.0000	1.2490	1.3718	1.5315
with_windows	E_s104	M4	5.0000	1.4422	1.3718	1.5315
with_windows	E_s104	M6	0.5000	0.7202	1.3549	1.3298
with_windows	E_s104	M6	10.0000	1.4369	1.3549	1.3298
with_windows	E_s104	M6	1.0000	0.9905	1.3549	1.3298
with_windows	E_s104	M6	2.0000	1.1065	1.3549	1.3298
with_windows	E_s104	M6	5.0000	1.4118	1.3549	1.3298
with_windows	E_s104	RUN_OUT	0.5000	0.1116		
with_windows	E_s104	RUN_OUT	10.0000	0.0443		
with_windows	E_s104	RUN_OUT	1.0000	0.0502		
with_windows	E_s104	RUN_OUT	2.0000			
with_windows	E_s104	RUN_OUT	5.0000	0.0237		
with_windows	E_s250	M10	0.5000		1.1500	1.2108
with_windows	E_s250	M10	10.0000	1.1946	1.1500	1.2108
with_windows	E_s250	M10	1.0000	0.7575	1.1500	1.2108
with_windows	E_s250	M10	2.0000	1.0285	1.1500	1.2108
with_windows	E_s250	M10	5.0000	1.1736	1.1500	1.2108
with_windows	E_s250	M12	0.5000	0.0889	1.0220	1.1568
